,Group
GCF_000012825,
GMBC10.001_419,1
GMBC10.001_420,1
GMBC10.001_452,1
GMBC10.001_470,1
GMBC10.001_471,1
GMBC10.002_036,1
GMBC10.002_050,1
GMBC10.002_053,1
GMBC10.002_232,1
GMBC10.002_814,1
GMBC10.002_922,1
GMBC10.002_976,1
GMBC10.003_106,1
GMBC10.003_116,1
GMBC10.003_121,1
GMBC10.003_125,1
GMBC10.003_158,1
GMBC10.003_466,1
GMBC10.003_496,1
GMBC10.003_585,1
GMBC10.003_711,1
GMBC10.003_818,1
GMBC10.003_899,1
GMBC10.003_946,1
GMBC10.004_852,1
GMBC10.004_856,1
GMBC10.004_947,1
GMBC10.005_053,1
GMBC10.005_215,1
GMBC10.005_374,1
GMBC10.005_402,1
GMBC10.005_418,1
GMBC10.005_563,1
GMBC10.005_581,1
GMBC10.005_586,1
GMBC10.005_593,1
GMBC10.005_611,1
GMBC10.005_618,1
GMBC10.005_623,1
GMBC10.005_624,1
GMBC10.005_625,1
GMBC10.005_629,1
GMBC10.005_634,1
GMBC10.005_642,1
GMBC10.005_643,1
GMBC10.006_042,1
GMBC10.006_094,1
GMBC10.006_414,1
GMBC10.006_659,1
GMBC10.006_764,1
GMBC10.006_790,1
GMBC10.006_792,1
GMBC10.006_796,1
GMBC10.006_804,1
GMBC10.006_821,1
GMBC10.006_855,1
GMBC10.006_862,1
GMBC10.006_867,1
GMBC10.006_869,1
GMBC10.006_870,1
GMBC10.007_026,1
GMBC10.007_145,1
GMBC10.007_154,1
GMBC10.007_297,1
GMBC10.007_380,1
GMBC10.007_542,1
GMBC10.007_551,1
GMBC10.007_569,1
GMBC10.007_646,1
GMBC10.007_647,1
GMBC10.007_649,1
GMBC10.007_655,1
GMBC10.007_663,1
GMBC10.007_680,1
GMBC10.007_939,1
GMBC10.007_977,1
GMBC10.008_006,1
GMBC10.008_057,1
GMBC10.008_058,1
GMBC10.008_072,1
GMBC10.008_132,1
GMBC10.008_257,1
GMBC10.008_320,1
GMBC10.008_508,1
GMBC10.008_512,1
GMBC10.008_631,1
GMBC10.008_713,1
GMBC10.008_741,1
GMBC10.008_891,1
GMBC10.008_931,1
GMBC10.008_999,1
GMBC10.009_007,1
GMBC10.009_030,1
GMBC10.009_034,1
GMBC10.009_060,1
GMBC10.009_160,1
GMBC10.009_186,1
GMBC10.009_258,1
GMBC10.009_264,1
GMBC10.009_429,1
GMBC10.009_473,1
GMBC10.009_479,1
GMBC10.009_511,1
GMBC10.009_583,1
GMBC10.009_878,1
GMBC10.009_941,1
GMBC10.009_998,1
GMBC10.010_182,1
GMBC10.010_223,1
GMBC10.010_225,1
GMBC10.010_230,1
GMBC10.010_398,1
GMBC10.010_412,1
GMBC10.010_470,1
GMBC10.010_588,1
GMBC10.010_621,1
GMBC10.010_656,1
GMBC10.010_716,1
GMBC10.010_745,1
GMBC10.010_822,1
GMBC10.010_838,1
GMBC10.011_015,1
GMBC10.011_019,1
GMBC10.011_118,1
GMBC10.011_119,1
GMBC10.011_146,1
