,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
10613,k__Bacteria (UID203), 5449,104,58, 56,47, 1,0, 0,0, 72.41,0.86, 0.00,924,713,104,phylum,0.92,0.71,0.06,0.03,0.06,0.45,0.32,True
13712,k__Bacteria (UID203), 5449,104,58, 66,38, 0,0, 0,0, 54.83,0.00, 0.00,1341,1261,259,class,0.92,0.87,0.18,0.28,0.84,0.55,0.48,True
14149,p__Euryarchaeota (UID3),148, 188, 125, 41, 146, 1,0, 0,0, 76.20,0.80,100.00,1306,1182,125,kingdom,1.0,0.91,0.26,0.07,0.14,0.63,0.57,True
14316,root (UID1),5656, 56,24, 56,0,0,0, 0,0,0.00,0.00, 0.00,331,72,21,kingdom,1.0,0.22,0.0,0.08,0.18,0.39,0.09,True
14558,root (UID1),5656, 56,24, 56,0,0,0, 0,0,0.00,0.00, 0.00,292,78,14,kingdom,1.0,0.27,0.0,0.09,0.2,0.37,0.1,True
16986,k__Bacteria (UID203), 5449, 95,49, 95,0,0,0, 0,0,0.00,0.00, 0.00,341,136,20,kingdom,1.0,0.4,0.0,0.03,0.06,0.42,0.17,True
20236, k__Archaea (UID2), 207, 149, 107,134,8,7,0, 0,0,4.30,0.50, 0.00,405,100,25,kingdom,1.0,0.25,0.0,0.16,0.37,0.38,0.09,True
24669,k__Bacteria (UID203), 5449,103,57, 9, 39, 25, 8, 14, 8, 84.21, 43.70,21.97,2327,2047,297,class,0.77,0.68,0.55,0.56,2.56,0.54,0.36,False
26728, k__Archaea (UID2), 207, 149, 107,132,10, 0,7, 0,0,4.45,1.01, 0.00,411,110,21,kingdom,1.0,0.27,0.0,0.18,0.42,0.38,0.1,True
27773,root (UID1),5656, 56,24, 56,0,0,0, 0,0,0.00,0.00, 0.00,213,32,22,kingdom,1.0,0.15,0.0,0.12,0.28,0.34,0.05,True
28389,root (UID1),5656, 56,24, 54,2,0,0, 0,0,8.33,0.00, 0.00,604,545,92,family,0.54,0.49,0.31,0.23,0.64,0.5,0.25,True
28431, k__Archaea (UID2), 207, 149, 107,143,6,0,0, 0,0,0.43,0.00, 0.00,240,15,10,kingdom,1.0,0.06,0.0,0.47,0.99,0.34,0.02,True
28599, k__Archaea (UID2), 207, 149, 107,135,14, 0,0, 0,0,2.97,0.00, 0.00,288,56,33,kingdom,1.0,0.19,0.0,0.16,0.37,0.35,0.07,True
29004,root (UID1),5656, 56,24, 45,1,4,0, 0,6,9.38, 21.76, 0.68,2037,603,106,kingdom,1.0,0.3,0.0,0.13,0.29,0.37,0.11,True
29805,k__Bacteria (UID203), 5449,104,58, 91,11, 2,0, 0,0, 20.69,3.45, 0.00,402,375,18,class,0.88,0.82,0.18,0.22,0.62,0.48,0.39,True
4105, p__Euryarchaeota (UID3),148, 188, 125,108,79, 1,0, 0,0, 39.10,0.80, 0.00,1145,1024,304,phylum,0.97,0.87,0.45,0.03,0.06,0.64,0.55,False
4394, p__Euryarchaeota (UID3),148, 188, 125, 21, 167, 0,0, 0,0, 85.20,0.00, 0.00,1255,1158,15,kingdom,1.0,0.92,0.0,0.06,0.13,0.6,0.55,True
5174,k__Archaea (UID2), 207, 149, 107,131,11, 7,0, 0,0,4.45,0.50, 0.00,577,168,21,kingdom,1.0,0.29,0.0,0.12,0.27,0.37,0.11,True
5562, root (UID1),5656, 56,24, 56,0,0,0, 0,0,0.00,0.00, 0.00,578,123,49,kingdom,1.0,0.21,0.0,0.36,0.85,0.42,0.09,True
8211,k__Archaea (UID2), 207, 149, 107,130,12, 7,0, 0,0,5.38,0.50, 0.00,526,139,9,kingdom,1.0,0.26,0.0,0.13,0.29,0.36,0.1,True
