sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	nosemi_500/output_recluster_bins/bin.45.fa	1030869		1.0	1637143	1534116	1534116		1.0	13	6	6
gsa	nosemi_500/output_recluster_bins/recluster_43.bin.4.fa	1286_BU	0.5001215718153764	0.9996182288406485	5868959	2935193	2936314	0.4	0.9230769230769231	30	12	13
gsa	nosemi_500/output_recluster_bins/recluster_49.bin.0.fa	1285_BF	1.0	0.9995929488956459	4164857	4164857	4166553	1.0	0.8888888888888888	8	8	9
gsa	nosemi_500/output_recluster_bins/recluster_3.bin.1.fa	1220_E	0.9841826862341503	0.9991994222657559	7393354	7276411	7282241	0.7777777777777778	0.7777777777777778	36	28	36
gsa	nosemi_500/output_recluster_bins/recluster_3.bin.0.fa	1048885	0.9370535595558087	0.999122982137779	13085172	12261507	12272270	0.5	0.9148936170212766	86	43	47
gsa	nosemi_500/output_recluster_bins/recluster_24.bin.0.fa	1035993	0.9875960094407953	0.9985947933471104	2819254	2784284	2788202	0.7619047619047619	0.9411764705882353	42	32	34
gsa	nosemi_500/output_recluster_bins/recluster_9.bin.0.fa	1036683	0.9946338545108748	0.9985720762309431	4854136	4828088	4834992	0.927710843373494	0.9390243902439024	83	77	82
gsa	nosemi_500/output_recluster_bins/recluster_24.bin.2.fa	1036629	0.9379165611677979	0.9985519975796046	2614562	2452241	2455797	0.8693181818181818	0.9807692307692307	176	153	156
gsa	nosemi_500/output_recluster_bins/recluster_43.bin.2.fa	1286_BD	0.969965642111369	0.9983802194579728	3116897	3023283	3028188	0.5789473684210527	0.6875	19	11	16
gsa	nosemi_500/output_recluster_bins/recluster_5.bin.0.fa	1286_AF	0.9875415172377253	0.9983504260771608	4831728	4771532	4779416	0.4722222222222222	0.5862068965517241	36	17	29
gsa	nosemi_500/output_recluster_bins/recluster_2.bin.1.fa	1030881	0.731880893284822	0.9983382043399912	4503961	3296363	3301850	0.625	0.9523809523809523	32	20	21
gsa	nosemi_500/output_recluster_bins/recluster_35.bin.1.fa	1285_CG	1.0	0.9982100595084227	3726403	3726403	3733085	1.0	0.7857142857142857	11	11	14
gsa	nosemi_500/output_recluster_bins/recluster_10.bin.2.fa	1048861	0.9987509753671263	0.9980809603944266	9734796	9722637	9741331	0.9705882352941176	0.9705882352941176	136	132	136
gsa	nosemi_500/output_recluster_bins/recluster_56.bin.1.fa	1220_AX	1.0	0.9978194334576411	4238258	4238258	4247520	1.0	0.6153846153846154	8	8	13
gsa	nosemi_500/output_recluster_bins/recluster_24.bin.1.fa	1049035	1.0	0.9974021767071354	3146753	3146753	3154949	1.0	0.8666666666666667	26	26	30
gsa	nosemi_500/output_recluster_bins/recluster_15.bin.0.fa	1220_A	1.0	0.9973911316577343	3857105	3857105	3867194	1.0	0.5652173913043478	13	13	23
gsa	nosemi_500/output_recluster_bins/recluster_39.bin.2.fa	1053040	1.0	0.9973687622569164	7123094	7123094	7141886	1.0	0.8888888888888888	64	64	72
gsa	nosemi_500/output_recluster_bins/bin.58.fa	1052998	0.982203229309357	0.9973518910683467	2549957	2504576	2511226	0.696969696969697	0.92	33	23	25
gsa	nosemi_500/output_recluster_bins/recluster_16.bin.0.fa	1053022	0.9817663440039273	0.9972107428202278	3742091	3673859	3684135	0.8536585365853658	0.875	41	35	40
gsa	nosemi_500/output_recluster_bins/bin.32.fa	1053055	0.8856710251045101	0.9970080919592919	5658067	5011186	5026224	0.8181818181818182	0.8780487804878049	44	36	41
gsa	nosemi_500/output_recluster_bins/recluster_41.bin.1.fa	1052968	0.999563008515106	0.9967640873471287	3853622	3851938	3864443	0.984375	0.9264705882352942	64	63	68
gsa	nosemi_500/output_recluster_bins/bin.51.fa	1021_AS	0.9979573580993337	0.9966820341629055	5568279	5556905	5575404	0.9166666666666666	0.6875	24	22	32
gsa	nosemi_500/output_recluster_bins/recluster_10.bin.3.fa	1021_AP	0.9714411204178146	0.9964057205939375	6848588	6653000	6676999	0.8833333333333333	0.7464788732394366	60	53	71
gsa	nosemi_500/output_recluster_bins/recluster_41.bin.2.fa	1048966	0.9996653114929241	0.9963168481559012	3654144	3652921	3666425	0.9629629629629629	0.8666666666666667	27	26	30
gsa	nosemi_500/output_recluster_bins/bin.25.fa	1139_CF	0.9983862057005537	0.9960224378007475	6054675	6044904	6069044	0.9545454545454546	0.6	44	42	70
gsa	nosemi_500/output_recluster_bins/recluster_40.bin.6.fa	1052950	0.8053177747562414	0.9954519629126892	6709611	5403369	5428056	0.7123287671232876	0.9203539823008849	146	104	113
