sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_1000/output_recluster_bins/bin.211.fa	1036698	0.8739078410084797	1.0	3913693	3420207	3420207	0.7468354430379747	1.0	79	59	59
gsa	S3N2Bin_1000/output_recluster_bins/bin.0.fa	1030824	0.9984213826855477	1.0	2117676	2114333	2114333	0.9811320754716981	1.0	106	104	104
gsa	S3N2Bin_1000/output_recluster_bins/recluster_99.bin.0.fa	1285_AZ	1.0	1.0	4201623	4201623	4201623	1.0	1.0	10	10	10
gsa	S3N2Bin_1000/output_recluster_bins/recluster_49.bin.4.fa	1048879	0.9989721475384489	1.0	9358347	9348728	9348728	0.9259259259259259	1.0	54	50	50
gsa	S3N2Bin_1000/output_recluster_bins/recluster_9.bin.0.fa	1030746	0.9862467299290404	1.0	3597399	3547923	3547923	0.2222222222222222	1.0	9	2	2
gsa	S3N2Bin_1000/output_recluster_bins/bin.77.fa	1036647	0.9572583397515031	1.0	4178242	3999657	3999657	0.8611111111111112	1.0	72	62	62
gsa	S3N2Bin_1000/output_recluster_bins/recluster_14.bin.6.fa	1285_BK	0.99967446506262	1.0	3461994	3460867	3460867	0.9	1.0	10	9	9
gsa	S3N2Bin_1000/output_recluster_bins/bin.208.fa	1035987	0.9804963708167775	1.0	2070025	2029652	2029652	0.6964285714285714	1.0	56	39	39
gsa	S3N2Bin_1000/output_recluster_bins/recluster_62.bin.3.fa	1048948	0.9836851499086212	1.0	3929794	3865680	3865680	0.9264705882352942	1.0	68	63	63
gsa	S3N2Bin_1000/output_recluster_bins/recluster_109.bin.1.fa	1048960	0.9893081077988589	1.0	3950283	3908047	3908047	0.8909090909090909	1.0	55	49	49
gsa	S3N2Bin_1000/output_recluster_bins/recluster_89.bin.0.fa	1030743	0.9901483199996927	1.0	3643541	3607646	3607646	0.6	1.0	5	3	3
gsa	S3N2Bin_1000/output_recluster_bins/recluster_92.bin.0.fa	1030893	0.981639290133979	1.0	2980168	2925450	2925450	0.6923076923076923	1.0	13	9	9
gsa	S3N2Bin_1000/output_recluster_bins/bin.280.fa	1030758	1.0	1.0	2978743	2978743	2978743	1.0	1.0	8	8	8
gsa	S3N2Bin_1000/output_recluster_bins/recluster_16.bin.10.fa	1036542	0.9735874610304744	1.0	5378241	5236188	5236188	0.6206896551724138	1.0	29	18	18
gsa	S3N2Bin_1000/output_recluster_bins/bin.285.fa	1048582	0.9995463803967126	1.0	5548702	5546185	5546185	0.9545454545454546	1.0	22	21	21
gsa	S3N2Bin_1000/output_recluster_bins/recluster_128.bin.4.fa	1048855	0.9987735761953205	1.0	4743874	4738056	4738056	0.9666666666666667	1.0	30	29	29
gsa	S3N2Bin_1000/output_recluster_bins/recluster_12.bin.5.fa	evo_1036569.031	0.9515713827383655	1.0	3543917	3372290	3372290	0.6511627906976745	1.0	43	28	28
gsa	S3N2Bin_1000/output_recluster_bins/recluster_18.bin.1.fa	1036746	0.9966576706892504	1.0	2414783	2406712	2406712	0.8947368421052632	1.0	38	34	34
gsa	S3N2Bin_1000/output_recluster_bins/recluster_12.bin.4.fa	1030821	0.9415409282046544	1.0	4362163	4107155	4107155	0.7840909090909091	1.0	88	69	69
gsa	S3N2Bin_1000/output_recluster_bins/recluster_191.bin.1.fa	1053046	0.9954001574414196	1.0	5405185	5380322	5380322	0.896551724137931	1.0	29	26	26
gsa	S3N2Bin_1000/output_recluster_bins/recluster_116.bin.2.fa	1036713	0.9986785895835592	1.0	4400601	4394786	4394786	0.9760479041916168	1.0	167	163	163
