sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_1000/output_recluster_bins/recluster_10.bin.0.fa	1030821	0.9858202773682017	1.0	4166231	4107155	4107155	0.9857142857142858	1.0	70	69	69
gsa	S3N2Bin_1000/output_recluster_bins/recluster_17.bin.5.fa	1036542	0.6471355577963626	1.0	8091331	5236188	5236188	0.4090909090909091	1.0	44	18	18
gsa	S3N2Bin_1000/output_recluster_bins/bin.436.fa	1036719	0.9827989377439535	1.0	6732840	6617028	6617028	0.9024390243902439	1.0	82	74	74
gsa	S3N2Bin_1000/output_recluster_bins/recluster_72.bin.5.fa	1048948	0.9592776979002834	1.0	4029782	3865680	3865680	0.875	1.0	72	63	63
gsa	S3N2Bin_1000/output_recluster_bins/bin.91.fa	1036647	0.9851961582922327	1.0	4059757	3999657	3999657	0.9253731343283582	1.0	67	62	62
gsa	S3N2Bin_1000/output_recluster_bins/recluster_143.bin.0.fa	1053046	0.9900352839970742	1.0	5434475	5380322	5380322	0.9285714285714286	1.0	28	26	26
gsa	S3N2Bin_1000/output_recluster_bins/recluster_55.bin.1.fa	1048999	1.0	1.0	7933412	7933412	7933412	1.0	1.0	11	11	11
gsa	S3N2Bin_1000/output_recluster_bins/recluster_10.bin.3.fa	1030746	0.9800889557765315	1.0	3620001	3547923	3547923	0.2222222222222222	1.0	9	2	2
gsa	S3N2Bin_1000/output_recluster_bins/recluster_103.bin.0.fa	1030743	0.9990706180722138	1.0	3611002	3607646	3607646	0.75	1.0	4	3	3
gsa	S3N2Bin_1000/output_recluster_bins/recluster_106.bin.3.fa	1030893	0.9728323889720057	1.0	3007147	2925450	2925450	0.6428571428571429	1.0	14	9	9
gsa	S3N2Bin_1000/output_recluster_bins/recluster_52.bin.5.fa	1030758	1.0	1.0	2978743	2978743	2978743	1.0	1.0	8	8	8
gsa	S3N2Bin_1000/output_recluster_bins/recluster_9.bin.1.fa	1048930	1.0	1.0	4407838	4407838	4407838	1.0	1.0	21	21	21
gsa	S3N2Bin_1000/output_recluster_bins/recluster_47.bin.3.fa	1220_K	0.9986307563266945	0.9998007728567985	3879514	3874202	3874974	0.6666666666666666	0.6666666666666666	3	2	3
