sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	299	1030743	1.0	1.0	3607646	3607646	3607646	1.0	1.0	3	3	3
gsa	525	1030746	1.0	1.0	3547923	3547923	3547923	1.0	1.0	2	2	2
gsa	476	1048999	1.0	1.0	7933412	7933412	7933412	1.0	1.0	11	11	11
gsa	307	1220_K	1.0	0.9998007728567985	3874202	3874202	3874974	1.0	0.6666666666666666	2	2	3
gsa	480	1287_H	1.0	0.9997138082450929	4041587	4041587	4042744	1.0	0.6666666666666666	6	6	9
gsa	149	1285_BX	1.0	0.9997039736835377	3245372	3245372	3246333	1.0	0.8333333333333334	10	10	12
gsa	102	1285_AH	1.0	0.9996280837390408	3125885	3125885	3127048	1.0	0.8181818181818182	9	9	11
gsa	598	1049029	1.0	0.9996181256724079	4025965	4025965	4027503	1.0	0.9230769230769231	12	12	13
gsa	48	1285_AB	1.0	0.9995961979370864	4426124	4426124	4427912	1.0	0.7692307692307693	10	10	13
gsa	153	1365_D	1.0	0.9995697672584279	2787988	2787988	2789188	1.0	0.85	17	17	20
gsa	344	1048927	1.0	0.9995179914702538	4929071	4929071	4931448	1.0	0.8	4	4	5
gsa	302	1048882	1.0	0.9994589239066086	7634349	7634349	7638482	1.0	0.8181818181818182	9	9	11
gsa	105	1220_F	0.5516698109737191	0.9994433668624932	8563095	4724001	4726632	0.14285714285714285	0.875	49	7	8
gsa	501	1036542	1.0	0.99937912848049	5232937	5232937	5236188	1.0	0.9444444444444444	17	17	18
gsa	131	1365_H	1.0	0.9993080825302809	3422894	3422894	3425264	1.0	0.7857142857142857	11	11	14
gsa	248	1220_BW	1.0	0.9993031147571084	3592061	3592061	3594566	1.0	0.625	5	5	8
gsa	60	1048888	1.0	0.9992546167047598	8630729	8630729	8637167	1.0	0.926829268292683	38	38	41
gsa	385	1049068	1.0	0.9991526261488487	3588052	3588052	3591095	1.0	0.8947368421052632	17	17	19
gsa	146	1048912	1.0	0.9990842712637128	5610058	5610058	5615200	1.0	0.8333333333333334	10	10	12
gsa	467	1285_L	0.9107345494659596	0.9989927153477545	6069952	5528115	5533689	0.574468085106383	0.7105263157894737	47	27	38
gsa	379	1285_H	0.9987779199299308	0.9987561880744987	3630695	3626258	3630774	0.875	0.7	8	7	10
gsa	233	1048924	1.0	0.9987457087429114	5041141	5041141	5047472	1.0	0.85	17	17	20
gsa	493	1220_BK	1.0	0.9987260985347846	3710625	3710625	3715358	1.0	0.6428571428571429	9	9	14
gsa	515	1285_A	0.9996069675761993	0.9986622982749918	6549078	6546504	6555273	0.9622641509433962	0.7846153846153846	53	51	65
gsa	442	1036593	1.0	0.9986382994172684	4290982	4290982	4296833	1.0	0.9310344827586207	27	27	29
gsa	292	1021_AG	1.0	0.998607751237965	3919122	3919122	3924586	1.0	0.75	3	3	4
gsa	59	1053046	1.0	0.9985868875505964	5372719	5372719	5380322	1.0	0.8846153846153846	23	23	26
gsa	465	1285_BA	1.0	0.9985701524502957	4386495	4386495	4392776	1.0	0.6666666666666666	6	6	9
gsa	406	1286_M	1.0	0.9984594063599735	3884714	3884714	3890708	1.0	0.5833333333333334	7	7	12
gsa	584	1286_CM	1.0	0.998417313086016	3798269	3798269	3804290	1.0	0.8571428571428571	12	12	14
gsa	252	1286_CB	1.0	0.998380825582047	3954864	3954864	3961278	1.0	0.7692307692307693	10	10	13
gsa	5	1049062	1.0	0.9983620436359747	3323086	3323086	3328538	1.0	0.9387755102040817	46	46	49
gsa	561	1030794	1.0	0.9983271819344144	9401887	9401887	9417641	1.0	0.7567567567567568	28	28	37
gsa	310	1285_AY	1.0	0.9983092351471194	4014458	4014458	4021257	1.0	0.7647058823529411	13	13	17
gsa	413	1286_AT	1.0	0.9982360017316081	3544194	3544194	3550457	1.0	0.7142857142857143	5	5	7
gsa	109	1286_BP	1.0	0.9981793352285812	3970426	3970426	3977668	1.0	0.5714285714285714	8	8	14
gsa	306	1030893	1.0	0.9981554974448376	2920054	2920054	2925450	1.0	0.8888888888888888	8	8	9
gsa	478	1286_AY	1.0	0.9981483951338973	3517445	3517445	3523970	1.0	0.6363636363636364	14	14	22
gsa	195	1286_BX	1.0	0.9981233485499961	4575626	4575626	4584229	1.0	0.71875	23	23	32
gsa	236	1285_BG	1.0	0.9981197084097977	3338405	3338405	3344694	1.0	0.7142857142857143	5	5	7
gsa	35	1285_T	1.0	0.9980817792862687	3727547	3727547	3734711	1.0	0.6428571428571429	9	9	14
gsa	182	1048864	1.0	0.9980693768968193	8093643	8093643	8109299	1.0	0.8974358974358975	35	35	39
gsa	549	1036746	1.0	0.9980450506749458	2402007	2402007	2406712	1.0	0.9117647058823529	31	31	34
gsa	596	1139_CM	1.0	0.9980161376025013	3405262	3405262	3412031	1.0	0.5	3	3	6
gsa	517	1285_F	1.0	0.9980075448042489	3935519	3935519	3943376	1.0	0.5	7	7	14
gsa	199	1286_BE	1.0	0.9980053478698725	3534906	3534906	3541971	1.0	0.6	6	6	10
gsa	67	1139_O	1.0	0.9979692421322351	2632083	2632083	2637439	1.0	0.9	9	9	10
gsa	530	1048948	1.0	0.9978966184474659	3857549	3857549	3865680	1.0	0.9365079365079365	59	59	63
gsa	492	1036563	1.0	0.9978426978652658	3700798	3700798	3708799	1.0	0.7333333333333333	11	11	15
gsa	284	1286_AV	1.0	0.9977929409011166	3887988	3887988	3896588	1.0	0.625	10	10	16
gsa	79	1220_Y	1.0	0.9977811009944407	3596942	3596942	3604941	1.0	0.7142857142857143	15	15	21
gsa	534	1139_BV	1.0	0.997750078382171	3812425	3812425	3821022	1.0	0.9032258064516129	28	28	31
gsa	257	1220_BT	1.0	0.9977247128783857	4057925	4057925	4067179	1.0	0.5833333333333334	7	7	12
gsa	128	1036638		0.9975944546492942	1631454	1631454	1635388		0.8181818181818182	9	9	11
gsa	278	1220_CE	1.0	0.9975649843016293	4160659	4160659	4170815	1.0	0.5416666666666666	13	13	24
gsa	593	1286_V	1.0	0.9975549715057224	6049723	6049723	6064551	1.0	0.5	11	11	22
