sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	bins/1985.fna	1030743	1.0	1.0	3607646	3607646	3607646	1.0	1.0	3	3	3
gsa	bins/84.fna	1220_F	0.5002500386567701	1.0	9448539	4726632	4726632	0.12307692307692308	1.0	65	8	8
gsa	bins/1239.fna	1030746	1.0	1.0	3547923	3547923	3547923	1.0	1.0	2	2	2
gsa	bins/849.fna	1053013	0.25224325419694205	0.9998011304250929	29238550	7375227	7376694	0.16541353383458646	0.9565217391304348	133	22	23
gsa	bins/5334.fna	1220_K	1.0	0.9998007728567985	3874202	3874202	3874974	1.0	0.6666666666666666	2	2	3
gsa	bins/1891.fna	1287_H	1.0	0.9997138082450929	4041587	4041587	4042744	1.0	0.6666666666666666	6	6	9
gsa	bins/392.fna	1285_BX	1.0	0.9997039736835377	3245372	3245372	3246333	1.0	0.8333333333333334	10	10	12
gsa	bins/570.fna	1049029	0.9758585618153357	0.9996181256724079	4125562	4025965	4027503	0.9230769230769231	0.9230769230769231	13	12	13
gsa	bins/1246.fna	1286_F	0.5107627770788692	0.9995912967180516	7369427	3764029	3765568	0.2413793103448276	0.7777777777777778	29	7	9
gsa	bins/3363.fna	1048927	1.0	0.9995179914702538	4929071	4929071	4931448	1.0	0.8	4	4	5
gsa	bins/231.fna	1048777	1.0	0.9994730924696263	6989952	6989952	6993637	1.0	0.8823529411764706	15	15	17
gsa	bins/1228.fna	1287_BW	0.500436894844319	0.9993809480405355	6835741	3420857	3422976	0.5	0.6666666666666666	12	6	9
gsa	bins/401.fna	1365_H	1.0	0.9993080825302809	3422894	3422894	3425264	1.0	0.7857142857142857	11	11	14
gsa	bins/319.fna	1220_BW	1.0	0.9993031147571084	3592061	3592061	3594566	1.0	0.625	5	5	8
gsa	bins/451.fna	1048888	1.0	0.9992942130214687	8631071	8631071	8637167	1.0	0.9024390243902439	37	37	41
gsa	bins/191.fna	1048912	1.0	0.9990842712637128	5610058	5610058	5615200	1.0	0.8333333333333334	10	10	12
gsa	bins/815.fna	1048582	1.0	0.999025275932916	5540779	5540779	5546185	1.0	0.9047619047619048	19	19	21
gsa	bins/35.fna	1030821	0.9968622357499585	0.9990061246775445	4115988	4103073	4107155	0.9850746268656716	0.9565217391304348	67	66	69
gsa	bins/568.fna	1220_BK	0.27521142467567605	0.9987260985347846	13482816	3710625	3715358	0.1956521739130435	0.6428571428571429	46	9	14
gsa	bins/625.fna	1021_AG	1.0	0.998607751237965	3919122	3919122	3924586	1.0	0.75	3	3	4
gsa	bins/294.fna	1053046	1.0	0.9985868875505964	5372719	5372719	5380322	1.0	0.8846153846153846	23	23	26
gsa	bins/1488.fna	1285_BA	1.0	0.9985701524502957	4386495	4386495	4392776	1.0	0.6666666666666666	6	6	9
gsa	bins/745.fna	1286_M	1.0	0.9984594063599735	3884714	3884714	3890708	1.0	0.5833333333333334	7	7	12
gsa	bins/2646.fna	1285_AH	1.0	0.9984394227399132	3122168	3122168	3127048	1.0	0.7272727272727273	8	8	11
gsa	bins/223.fna	1286_CM	1.0	0.998417313086016	3798269	3798269	3804290	1.0	0.8571428571428571	12	12	14
gsa	bins/1399.fna	1286_CB	0.504034903100259	0.998380825582047	7846409	3954864	3961278	0.47619047619047616	0.7692307692307693	21	10	13
gsa	bins/1091.fna	1285_AY	1.0	0.9983092351471194	4014458	4014458	4021257	1.0	0.7647058823529411	13	13	17
gsa	bins/1138.fna	1286_AT	1.0	0.9982360017316081	3544194	3544194	3550457	1.0	0.7142857142857143	5	5	7
gsa	bins/1751.fna	1286_BP	1.0	0.9981793352285812	3970426	3970426	3977668	1.0	0.5714285714285714	8	8	14
gsa	bins/795.fna	1286_BX	1.0	0.9981233485499961	4575626	4575626	4584229	1.0	0.71875	23	23	32
gsa	bins/3590.fna	1285_BG	1.0	0.9981197084097977	3338405	3338405	3344694	1.0	0.7142857142857143	5	5	7
gsa	bins/118.fna	1285_T	1.0	0.9980817792862687	3727547	3727547	3734711	1.0	0.6428571428571429	9	9	14
gsa	bins/1426.fna	1139_CM	1.0	0.9980161376025013	3405262	3405262	3412031	1.0	0.5	3	3	6
gsa	bins/1080.fna	1285_F	1.0	0.9980075448042489	3935519	3935519	3943376	1.0	0.5	7	7	14
gsa	bins/1103.fna	1286_BE	1.0	0.9980053478698725	3534906	3534906	3541971	1.0	0.6	6	6	10
gsa	bins/2812.fna	1139_O	1.0	0.9979692421322351	2632083	2632083	2637439	1.0	0.9	9	9	10
gsa	bins/140.fna	1285_L	1.0	0.9978690526337856	5521897	5521897	5533689	1.0	0.6052631578947368	23	23	38
gsa	bins/611.fna	1036563	1.0	0.9978426978652658	3700798	3700798	3708799	1.0	0.7333333333333333	11	11	15
