Accuracy (bp)	Accuracy (seq)	Adjusted Rand index (bp)	Adjusted Rand index (seq)	Average completeness (bp)	Average completeness (seq)	Average purity (bp)	Average purity (seq)	CAMI 1 average completeness (bp)	CAMI 1 average completeness (seq)	Completeness (bp)	Completeness (seq)	F1 score (bp)	F1 score (seq)	F1 score for sample (bp)	F1 score for sample (seq)	Misclassification rate (bp)	Misclassification rate (seq)	Percentage of binned bp	Percentage of binned sequences	Purity (bp)	Purity (seq)	Rand index (bp)	Rand index (seq)	Sample	Std error of average completeness (bp)	Std error of average completeness (seq)	Std error of average purity (bp)	Std error of average purity (seq)	Tool	UniFrac (bp)	UniFrac (seq)	avg_precision_bp_var	avg_recall_bp_var	binning type	rank
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.9999999999999999	1.0	gsa	0.0	0.0	0.0	0.0	Gold standard			0.0	0.0	genome	NA
0.4630541939870486	0.3619834312686639	0.957048264891263	0.7876096551937753	0.4901471362901277	0.37636000973912587	0.9626237300511626	0.810305993753674	0.4763677363917879	0.3456089771128598	0.4682819520032122	0.37961179077160195	0.6495549649859992	0.5139892283139047	0.6300010443140176	0.5068048756777855	0.037658641717265184	0.23781755489072565	0.4798701127400644	0.4691231742708978	0.9623413582827348	0.7621824451092744	0.9996934504561212	0.9961718302983825	gsa	0.019295224605935746	0.01397664469914021	0.005401954078231803	0.01247273797099	Maxbin2			0.008900237898314184	0.22189419278573091	genome	NA
0.7966061835981424	0.5051777285425296	0.6796334722950456	0.7619390116875836	0.9436126905391721	0.5957793124526105	0.9135693119913092	0.8900373016512388	0.7144565202137436	0.4670471227352554	0.9432172840310135	0.5822656776803776	0.928347997458037	0.7137702009810607	0.871662675065805	0.6658888434636363	0.18980087383063027	0.22244050707984286	0.9805572013841332	0.6417526999381512	0.8101991261693697	0.7775594929201571	0.9983839224446012	0.9977491280239923	gsa	0.003412256782872311	0.0074633420728870015	0.00871350678274461	0.009203268571733677	Metabat2_200			0.039632954636432766	0.0069395238259458225	genome	NA
0.7717337175068184	0.4855264425392544	0.6209279146735311	0.7077247106883859	0.9472038532045278	0.6009949063983487	0.9103828370849499	0.8819098897500343	0.7026732174983407	0.45976666909805486	0.9468372661735551	0.5845053463057509	0.9284284127205442	0.7148447466334373	0.8581218167326807	0.6524129560600701	0.21539318786202932	0.26182630345635616	0.9809264192834606	0.649697892383082	0.7846068121379707	0.7381736965436438	0.9978945545141308	0.9971193912630872	gsa	0.0032261245993831455	0.007325624014192219	0.009203578262129277	0.010022980609815145	Metabat2_500			0.04243763226639642	0.0062030964387240544	genome	NA
0.7683332302585093	0.4897649552066275	0.6174194363004636	0.6949492380877108	0.9476096406562871	0.601689278078382	0.9090768865717647	0.88348603123327	0.703223788489482	0.45987489739706683	0.9471627522690914	0.5879250553896542	0.9279434187518038	0.7158536355838817	0.8559683767740502	0.6557663176290592	0.21920759060385675	0.2586935918932711	0.9813751683706305	0.6526000285456016	0.7807924093961432	0.7413064081067289	0.9978634728995308	0.9969176222594224	gsa	0.0031625042744843792	0.007317134469670224	0.009336446815015303	0.010039058628008113	Metabat2_1000			0.04332311184741588	0.005960854238534653	genome	NA
0.3409627962763165	0.2951786918408631	0.24052810550994488	0.2589245190041062	0.9230208171545474	0.5976176376987011	0.5953854216375369	0.4571471733018023	0.25847266271496105	0.19833588224899082	0.919123542195384	0.5488633079664772	0.7238552165578062	0.5180286845749378	0.4971686294491847	0.3931007242783589	0.6592597621086501	0.6937969971770466	1.0	1.0	0.3407402378913499	0.3062030028229534	0.9901722235452012	0.992597204769448	gsa	0.004652337436944857	0.008296781164405645	0.0218339586548299	0.019206581248883157	COCACOLA			0.1220407681384503	0.01289996920181039	genome	NA
0.8753038610766396	0.5367979963394663	0.7892103322013028	0.16325125079719136	0.9101663802390163	0.5655220467747307	0.9241534003123707	0.9032807035058931	0.8458475708223827	0.5316187322349893	0.9020920175404779	0.5427704460071284	0.9171065634968497	0.6955667153553124	0.8877025918625358	0.5721026066141269	0.12623498490373852	0.3952138050792272	0.999045396711823	0.8767305770969123	0.8737650150962615	0.6047861949207728	0.9991713591069082	0.975576331393566	gsa	0.005848279519598627	0.008542822546606101	0.007618113985243982	0.009138320565169264	SolidBin-naive			0.033834790183535086	0.020384614510256614	genome	NA
0.8471021510263539	0.5272131779212021	0.7784840060188224	0.3546857141864167	0.893595641641624	0.5948874723560175	0.872838300282363	0.5950278349753898	0.7329781038625274	0.4975583080807765	0.8843508774000337	0.5301030729216838	0.8830950113432161	0.5949576453871039	0.8645496797674835	0.5602442405826158	0.1543842137057101	0.4059803549139849	0.999045396711823	0.8767305770969123	0.8456157862942899	0.5940196450860151	0.9991500300221047	0.9951880189634332	gsa	0.006293765337870067	0.00903945100545454	0.007099493979771543	0.009759179887539654	SolidBin-SFS-CL			0.029183229751142372	0.023608443348392127	genome	NA
0.865855940768235	0.542746363548791	0.7866405658291299	0.23659454470546964	0.9004580416721009	0.582155277476654	0.9083703478176532	0.8712532345976591	0.8227322962910646	0.5364187007270237	0.8944479719954631	0.5521385223003564	0.9043968894579564	0.697951971969322	0.8791330267201869	0.5802997129587041	0.13566629510125938	0.3885120468851747	0.999045396711823	0.8767305770969123	0.8643337048987406	0.6114879531148253	0.9991649143267611	0.9839429372531174	gsa	0.006278270832276177	0.008806905016025237	0.008325299586614422	0.010549089702029942	SolidBin-CL			0.04075464056564677	0.023492344047472233	genome	NA
0.8659939926838813	0.5302234852133706	0.793390556409582	0.2704686572729758	0.9091600095328404	0.5792929332160868	0.9106234771942254	0.886908064242782	0.8270063229928845	0.5283716200169286	0.8997989365197949	0.5400250457566709	0.9098911549040783	0.700831025103181	0.8817815304562591	0.5672559721638932	0.1355284858906266	0.4026210115042327	0.999045396711823	0.8767305770969123	0.8644715141093734	0.5973789884957673	0.9991953344967606	0.9889744205206183	gsa	0.005892186663512761	0.008758245808536983	0.008333958295830252	0.01000301493171853	SolidBin-coalign			0.04021436444757333	0.020691846751895872	genome	NA
