sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_500/output_recluster_bins/bin.19.fa	evo_1035930.029	1.0	0.9988669764896585	2409397	2409397	2412130	1.0	0.9661016949152542	57	57	59
gsa	S3N2Bin_500/output_recluster_bins/recluster_18.bin.1.fa	evo_1286_AP.008	0.9770657345261063	0.9988203079610891	3459278	3379942	3383934	0.875	0.7777777777777778	16	14	18
gsa	S3N2Bin_500/output_recluster_bins/bin.32.fa	evo_1035930.032	1.0	0.9988108056758864	2292102	2292102	2294831	1.0	0.9655172413793104	56	56	58
gsa	S3N2Bin_500/output_recluster_bins/bin.24.fa	1035930	0.873186873435142	0.9987721696644901	2513407	2194674	2197372	0.90625	0.9666666666666667	64	58	60
gsa	S3N2Bin_500/output_recluster_bins/bin.44.fa	evo_1286_AP.026	1.0	0.9987707641816815	3206991	3206991	3210938	1.0	0.7647058823529411	13	13	17
gsa	S3N2Bin_500/output_recluster_bins/bin.93.fa	evo_1286_AP.033	1.0	0.9987320856255373	3094073	3094073	3098001	1.0	0.7647058823529411	13	13	17
gsa	S3N2Bin_500/output_recluster_bins/recluster_49.bin.0.fa	evo_1049056.015	1.0	0.9976129438882835	3357200	3357200	3365233	1.0	0.8076923076923077	21	21	26
gsa	S3N2Bin_500/output_recluster_bins/bin.37.fa	evo_1049056.011	1.0	0.9976055358865539	3346372	3346372	3354404	1.0	0.8076923076923077	21	21	26
gsa	S3N2Bin_500/output_recluster_bins/recluster_18.bin.0.fa	evo_1286_AP.037	0.9996285347796928	0.9959496796266971	3071620	3070479	3082966	0.9230769230769231	0.7058823529411765	13	12	17
gsa	S3N2Bin_500/output_recluster_bins/bin.29.fa	evo_1049056.031	0.8525965118258524	0.9926333680048325	3929907	3350625	3375491	0.06868131868131869	0.7142857142857143	364	25	35
gsa	S3N2Bin_500/output_recluster_bins/recluster_48.bin.1.fa	1052947	0.9704050365838501	0.9908717016247385	4867585	4723529	4767044	0.9333333333333333	0.875	45	42	48
gsa	S3N2Bin_500/output_recluster_bins/recluster_18.bin.2.fa	1286_AP	1.0	0.9752734850967639	2901463	2901463	2975025	1.0	0.7777777777777778	14	14	18
gsa	S3N2Bin_500/output_recluster_bins/recluster_49.bin.1.fa	1049056	0.5001892390782794	0.9167301936154267	5979209	2990736	3262395	0.5428571428571428	0.5588235294117647	35	19	34
gsa	S3N2Bin_500/output_recluster_bins/bin.42.fa	evo_1035930.011	1.0	0.8557260558496335	1934735	1934735	2260928	1.0	0.8214285714285714	46	46	56
gsa	S3N2Bin_500/output_recluster_bins/recluster_48.bin.0.fa	1052944	0.5110983196045783	0.752343034426184	7637012	3903264	5188144	0.5277777777777778	0.6129032258064516	108	57	93
gsa	S3N2Bin_500/output_recluster_bins/recluster_48.bin.2.fa	1053058	0.5469622951827843	0.2673646453150539	2536652	1387453	5189366	0.6	0.28125	45	27	96
gsa	S3N2Bin_500/output_recluster_bins/recluster_49.bin.2.fa	evo_1049056.013		0.1475443275072075	763550	518631	3515086		0.19230769230769232	9	5	26
