sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	8	evo_1049056.031	0.22057982685875777	0.7017349475972533	10738516	2368700	3375491	0.03110047846889952	0.7428571428571429	836	26	35
gsa	6	1052947	0.36427990556608403	0.6399185742778963	8374110	3050520	4767044	0.3058823529411765	0.5416666666666666	85	26	48
gsa	24	evo_1035930.029	0.2951059536250733	0.576439080812394	4711684	1390446	2412130	0.27450980392156865	0.4745762711864407	102	28	59
gsa	20	evo_1286_AP.026	0.21543177119092538	0.5456751267075228	8133104	1752129	3210938	0.17857142857142858	0.29411764705882354	28	5	17
gsa	16	1049056	0.34605620491224715	0.35465723801072524	3343480	1157032	3262395	0.5	0.11764705882352941	8	4	34
gsa	5	1035930	0.3634280709102954	0.3293088289101709	1991079	723614	2197372	0.21052631578947367	0.2	57	12	60
gsa	23	evo_1049056.011	0.27423412584909634	0.31612083696537446	3866758	1060397	3354404	0.25	0.2692307692307692	28	7	26
gsa	10	1052944	0.35788632430050854	0.28604526011614173	4146691	1484044	5188144	0.40425531914893614	0.20430107526881722	47	19	93
gsa	32	evo_1286_AP.008	0.25372019780828786	0.25894713076555276	3453647	876260	3383934	0.2222222222222222	0.1111111111111111	9	2	18
gsa	9	evo_1286_AP.008	0.28426756186638247	0.20974995375205308	2496873	709780	3383934	0.24	0.3333333333333333	25	6	18
gsa	28	1052944	0.376449733879798	0.20761490043452918	2861301	1077136	5188144	0.35135135135135137	0.41935483870967744	111	39	93
gsa	30	evo_1035930.032	0.2683657029693503	0.18589429897016382	1589607	426596	2294831	0.24561403508771928	0.2413793103448276	57	14	58
gsa	15	evo_1035930.029	0.26425360378883883	0.11748496142413552	1072413	283389	2412130	0.2553191489361702	0.2033898305084746	47	12	59
gsa	19	evo_1286_AP.033	0.21106125170549997	0.11269815600446868	1654207	349139	3098001	0.25	0.11764705882352941	8	2	17
