sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.104.fa	1052977	0.5100758288339649	0.998586491187925	7049693	3595878	3600968	0.09411764705882353	0.8888888888888888	170	16	18
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.9.fa	evo_1139_Y.018	0.1416721655847282	0.994555640870324	51190373	7252251	7291951	0.0851063829787234	0.6086956521739131	658	56	92
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.75.fa	1021_AQ	0.33206506408769804	0.9880356838264688	16903088	5612925	5680893	0.08571428571428572	0.5789473684210527	385	33	57
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.31.fa	1021_C	0.10380331781638988	0.978777704481983	86949899	9025688	9221387	0.02031694433157253	0.5494505494505495	2461	50	91
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.50.fa	1052995	0.4824269314931552	0.9440738523114218	13416382	6472424	6855845	0.22349570200573066	0.6446280991735537	349	78	121
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.101.fa	1139_T	0.23676768040503593	0.9386003320595026	21882898	5181163	5520095	0.028669724770642203	0.5681818181818182	872	25	44
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.96.fa	1286_G	0.346689907951005	0.9194331590667287	8794121	3048833	3315992	0.022435897435897436	0.30434782608695654	312	7	23
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.45.fa	1053037	0.48636124483470056	0.45242365362759834	2537365	1234076	2727700	0.060860440713536204	0.43609022556390975	953	58	133
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.53.fa	1052959	0.5174199254337201	0.2127844825116276	1033443	534724	2512984	0.09635974304068523	0.7627118644067796	467	45	59
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.16.fa	evo_1286_G.010	0.4168246940751451	0.15562379749851027	1172265	488629	3139809	0.026392961876832845	0.42857142857142855	341	9	21
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.98.fa	1052992	0.4164551841919971	0.060265404690267255	1001265	416982	6919094	0.2111801242236025	0.1827956989247312	161	34	186
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.89.fa	1287_BC	0.6079475237592141	0.02725085769562553	412682	250889	9206646	0.019230769230769232	0.05102040816326531	260	5	98
gsa	/home1/pansj/binning/CAMI_medium/cocacola/bin.107.fa	1220_BD		0.00023108210998574216	3020	1682	7278798		0.023255813953488372	3	2	86
