sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	bin.124.fa	1285_BF	1.0	0.9995929488956459	4164857	4164857	4166553	1.0	0.8888888888888888	8	8	9
gsa	bin.43.fa	1035939	1.0	0.9986937614295875	1597924	1597924	1600014	1.0	0.875	7	7	8
gsa	bin.95.fa	1287_BN	1.0	0.99862028455211	4746596	4746596	4753154	1.0	0.5172413793103449	15	15	29
gsa	bin.69.fa	1286_AF	1.0	0.9983504260771608	4771532	4771532	4779416	1.0	0.5862068965517241	17	17	29
gsa	bin.10.fa	1220_A	1.0	0.9973911316577343	3857105	3857105	3867194	1.0	0.5652173913043478	13	13	23
gsa	bin.68.fa	1220_E	1.0	0.9968874965824394	7259575	7259575	7282241	1.0	0.6666666666666666	24	24	36
gsa	bin.34.fa	1030881	1.0	0.995340490936899	3286465	3286465	3301850	1.0	0.9047619047619048	19	19	21
gsa	bin.28.fa	1053049	0.9906306974621744	0.9947436560660927	6626854	6564765	6599454	0.9821428571428571	0.8208955223880597	56	55	67
gsa	bin.118.fa	1139_CF	1.0	0.994547740962168	6035954	6035954	6069044	1.0	0.5285714285714286	37	37	70
gsa	bin.61.fa	1035906	1.0	0.9940385061834518	2534830	2534830	2550032	1.0	0.8	36	36	45
gsa	bin.67.fa	1139_BF	0.9987043387020035	0.9938004245076247	6294855	6286699	6325917	0.9803921568627451	0.5494505494505495	51	50	91
gsa	bin.42.fa	1021_AP	1.0	0.9937939184954199	6635561	6635561	6676999	1.0	0.6056338028169014	43	43	71
gsa	bin.48.fa	1139_CJ	1.0	0.9934462691935593	4629098	4629098	4659636	1.0	0.36666666666666664	11	11	30
gsa	bin.127.fa	1048885	0.9997844876542507	0.9934241179504688	12194197	12191569	12272270	0.975	0.8297872340425532	40	39	47
gsa	bin.40.fa	1035993	1.0	0.9925668943641817	2767477	2767477	2788202	1.0	0.8823529411764706	30	30	34
gsa	bin.86.fa	1049032	1.0	0.991203752982433	4460517	4460517	4500101	1.0	0.84	21	21	25
