Accuracy (bp)	Accuracy (seq)	Adjusted Rand index (bp)	Adjusted Rand index (seq)	Average completeness (bp)	Average completeness (seq)	Average purity (bp)	Average purity (seq)	CAMI 1 average completeness (bp)	CAMI 1 average completeness (seq)	Completeness (bp)	Completeness (seq)	F1 score (bp)	F1 score (seq)	F1 score for sample (bp)	F1 score for sample (seq)	Misclassification rate (bp)	Misclassification rate (seq)	Percentage of binned bp	Percentage of binned sequences	Purity (bp)	Purity (seq)	Rand index (bp)	Rand index (seq)	Sample	Std error of average completeness (bp)	Std error of average completeness (seq)	Std error of average purity (bp)	Std error of average purity (seq)	Tool	UniFrac (bp)	UniFrac (seq)	avg_precision_bp_var	avg_recall_bp_var	binning type	rank
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0000000000000002	1.0	gsa	0.0	0.0	0.0	0.0	Gold standard			0.0	0.0	genome	NA
0.864917919636174	0.25912870880531125	0.8658254898315794	0.5836186248369389	0.8446750102423412	0.6720127076722974	0.9087303901272753	0.7246556601256471	0.8013819989163634	0.6384942574809337	0.8699567605672017	0.28814893398583213	0.8755326650944241	0.6973420799368215	0.8865102406010031	0.40278655275154124	0.09629410301673291	0.331095406360424	0.7880427617005948	0.3918861411887087	0.9037058969832671	0.668904593639576	0.9970746435842011	0.9627360186071926	gsa	0.03279080918411308	0.03183761107391974	0.01616101236816428	0.03182208752900537	Maxbin2			0.01828248245347712	0.08386849902201537	genome	NA
0.8563505350664922	0.13509120153314397	0.8662664467606335	0.877194120270403	0.8229559494795955	0.5606883933110263	0.9894694946757615	0.9785840538614389	0.7304079244713794	0.5055949776988142	0.8463378866278595	0.13557030902433181	0.8985636458568584	0.7129091693770634	0.9110736203472404	0.23618114055452766	0.013467248602416215	0.08410672853828305	0.9027483889174099	0.16881806862420604	0.9865327513975838	0.915893271461717	0.9971920558284728	0.9904395082029949	gsa	0.03508285513915264	0.030079865543649484	0.005657207022201716	0.009582768805266742	Metabat2_200			0.0023682953556115826	0.09600292452775197	genome	NA
0.8622139428107997	0.1440573560110879	0.8540744522132867	0.8736414572768251	0.8220113008516082	0.562889367012725	0.9860594814093591	0.9773184550036118	0.7440181937295697	0.5167157968276606	0.846388671121715	0.13834228808049007	0.8965932583864725	0.7143479712843611	0.9114084885621948	0.24096867789858423	0.012750743968216627	0.06662971175166299	0.9071781145231209	0.1757687518716409	0.9872492560317834	0.933370288248337	0.9969179457468351	0.9906493418183956	gsa	0.03482381258883853	0.03030938117194259	0.006182758302364694	0.008477934327527905	Metabat2_500			0.002943440517360386	0.09459043801135882	genome	NA
0.8521045622862253	0.1321652236405325	0.8579419945168225	0.756041123504804	0.8345114930287277	0.5740249912339923	0.9846327603925353	0.9710161946074268	0.7602046430482274	0.5307474153146242	0.8594050296097665	0.14961842510523254	0.9033778969587766	0.7215180639913406	0.9127926832347112	0.2539884730712407	0.02674725590819338	0.1601609220397956	0.9081813583971126	0.1785584818825161	0.9732527440918066	0.8398390779602044	0.9969732744134776	0.9778241792849011	gsa	0.033946190743903974	0.030313986195877753	0.0074140450291095335	0.011799087704541494	Metabat2_1000			0.003902732522250129	0.08988282154967792	genome	NA
0.3599799322716548	0.4278601006125731	0.1990177210196619	0.17812151194799403	0.8562360347999941	0.659208802668117	0.5988175614863592	0.48444227538098816	0.17073766288319409	0.13956112954195693	0.8653263046665723	0.36588412443105983	0.7047564099690761	0.558472104727046	0.49440444113273285	0.4020215745028572	0.6539358527997639	0.5539202568905539	1.0	1.0	0.34606414720023615	0.4460797431094461	0.9425485809682488	0.9321993916080655	gsa	0.025365919981253954	0.02387171586177362	0.03556925541252201	0.04649271132879468	COCACOLA			0.07717548776667481	0.05018753192663953	genome	NA
0.8721917899494316	0.20656377262927347	0.7895715971239957	0.32234836443108267	0.8373162318567676	0.6429831422271601	0.9033155373286993	0.826043846753575	0.7275109746275574	0.5683920264329304	0.8638645786731488	0.22081722049211183	0.8690646411074971	0.7231075700951465	0.8788949333256623	0.31767731658067444	0.105542425376005	0.43408963060191263	0.9719716166105528	0.410988699229278	0.894457574623995	0.5659103693980874	0.9959446232241437	0.9398042421025523	gsa	0.03153968357571779	0.032028074785583345	0.024604340821720295	0.028281651571119337	SolidBin-naive			0.044797645458081514	0.07759062792439941	genome	NA
0.7459833390509022	0.08736867321446905	0.6322970057299805	0.17610690913317337	0.7704924126822973	0.5832999665421329	0.7730342453688932	0.36076226741827716	0.6954623247058835	0.5397991399222523	0.7710741184903441	0.11940043119674207	0.7717612361192717	0.4458024290029373	0.7551315502276127	0.16836853017397496	0.2601651219897363	0.714573201408687	0.9719716166105528	0.410988699229278	0.7398348780102637	0.2854267985913131	0.9927943683207424	0.9519713230020015	gsa	0.03644913024151445	0.03456134580851133	0.023842088831803793	0.03340834006887566	SolidBin-SFS-CL			0.03979116399045363	0.10362604943830492	genome	NA
0.8258992012338633	0.1670374046062763	0.7303738022287871	0.23709277517543062	0.7977413000389227	0.6288800434075055	0.8944585677700561	0.7584566122074599	0.566182036786859	0.45897181965359884	0.8178163100167033	0.1870401423633688	0.843336008065904	0.687617133559131	0.8447000907858483	0.27320812040410497	0.12658857010920033	0.4934094447327452	0.9719716166105528	0.410988699229278	0.8734114298907997	0.5065905552672548	0.994922774361183	0.9335077832082251	gsa	0.03404206698219165	0.034686899797586934	0.02333545430510069	0.02846486877183308	SolidBin-CL			0.04138530049953362	0.09039126130476179	genome	NA
0.8481657149199765	0.17834776359467505	0.7480263846414882	0.27300882437758983	0.8384451166944448	0.6435452018487736	0.8946751009589194	0.8392471310381733	0.7841727779004682	0.6067385722343689	0.8505682004592242	0.20036959720748776	0.8656479357707748	0.7284815983549383	0.8598851766240497	0.28308419237145765	0.13059147355638523	0.517900092506938	0.9719716166105528	0.410988699229278	0.8694085264436148	0.482099907493062	0.9952908972975343	0.9345436960800622	gsa	0.03215199254463366	0.03304230549306319	0.026554264624541676	0.029359003097552586	SolidBin-coalign			0.05147441479176353	0.08063254871803395	genome	NA
