sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	vamb_2000/bins/853.fna	1030869	1.0	1.0	1534116	1534116	1534116	1.0	1.0	6	6	6
gsa	vamb_2000/bins/230.fna	1048885	1.0	0.9993200931856943	12263926	12263926	12272270	1.0	0.8936170212765957	42	42	47
gsa	vamb_2000/bins/114.fna	1035939	1.0	0.9986937614295875	1597924	1597924	1600014	1.0	0.875	7	7	8
gsa	vamb_2000/bins/828.fna	1287_BN	1.0	0.99862028455211	4746596	4746596	4753154	1.0	0.5172413793103449	15	15	29
gsa	vamb_2000/bins/119.fna	1286_AF	1.0	0.9983504260771608	4771532	4771532	4779416	1.0	0.5862068965517241	17	17	29
gsa	vamb_2000/bins/15.fna	1220_AX	0.5043674875328971	0.9978194334576411	8403115	4238258	4247520	0.5	0.6153846153846154	16	8	13
gsa	vamb_2000/bins/212.fna	1220_A	1.0	0.9973911316577343	3857105	3857105	3867194	1.0	0.5652173913043478	13	13	23
gsa	vamb_2000/bins/339.fna	1049032	0.1921077840928061	0.9973269488840362	23362260	4488072	4500101	0.0205799812909261	0.88	1069	22	25
gsa	vamb_2000/bins/385.fna	1030740	1.0	0.9972259880345407	3248340	3248340	3257376	1.0	0.8709677419354839	27	27	31
gsa	vamb_2000/bins/238.fna	1285_BO	0.3400196747723087	0.9970495527847804	10472294	3560786	3571323	0.24390243902439024	0.5263157894736842	41	10	19
gsa	vamb_2000/bins/39.fna	1021_AS	1.0	0.99542436745391	5549893	5549893	5575404	1.0	0.53125	17	17	32
gsa	vamb_2000/bins/328.fna	1036782	0.5216156693219542	0.9943519579016753	5599017	2920535	2937124	0.32786885245901637	0.9090909090909091	61	20	22
gsa	vamb_2000/bins/467.fna	1220_CF	0.49062974851044616	0.9940223015881434	9359514	4592056	4619671	0.31899641577060933	0.6953125	279	89	128
gsa	vamb_2000/bins/384.fna	1139_CJ	1.0	0.9934462691935593	4629098	4629098	4659636	1.0	0.36666666666666664	11	11	30
gsa	vamb_2000/bins/11.fna	1220_E	1.0	0.9931363161422425	7232258	7232258	7282241	1.0	0.5833333333333334	21	21	36
gsa	vamb_2000/bins/24.fna	evo_1139_Y.018	0.3371313364285957	0.9929693712972015	21477339	7240684	7291951	0.3333333333333333	0.5543478260869565	153	51	92
gsa	vamb_2000/bins/44.fna	1035993	0.5339361443721312	0.9925668943641817	5183161	2767477	2788202	0.18181818181818182	0.8823529411764706	165	30	34
gsa	vamb_2000/bins/132.fna	1286_BD	0.3396838766265483	0.9916567267289877	8840346	3002923	3028188	0.20588235294117646	0.4375	34	7	16
gsa	vamb_2000/bins/617.fna	1048939	1.0	0.9915232174108266	2932537	2932537	2957608	1.0	0.6086956521739131	14	14	23
gsa	vamb_2000/bins/218.fna	1021_AP	0.9995198485257991	0.9914229431515565	6622910	6619730	6676999	0.9767441860465116	0.5915492957746479	43	42	71
gsa	vamb_2000/bins/105.fna	1286_AO	0.5040380898930222	0.991126219242683	7683088	3872569	3907241	0.5185185185185185	0.6086956521739131	27	14	23
gsa	vamb_2000/bins/345.fna	1036635	0.9992817583592004	0.9909851501582586	3241249	3238921	3268385	0.96875	0.8378378378378378	32	31	37
gsa	vamb_2000/bins/82.fna	1035969	0.9984772224851182	0.9901572593330719	3577673	3572225	3607735	0.975	0.8478260869565217	40	39	46
gsa	vamb_2000/bins/331.fna	1030881	1.0	0.9892914578191014	3266492	3266492	3301850	1.0	0.8571428571428571	18	18	21
gsa	vamb_2000/bins/350.fna	1036680	0.9960406239773001	0.9886367167580539	4439841	4422262	4473091	0.9295774647887324	0.75	71	66	88
gsa	vamb_2000/bins/227.fna	1053031	0.3455448753240658	0.9884989142322417	10870863	3756371	3800076	0.37681159420289856	0.8125	69	26	32
gsa	vamb_2000/bins/1036.fna	1053037	0.7384043707573119	0.9869080177438868	3645684	2691989	2727700	0.295	0.8872180451127819	400	118	133
gsa	vamb_2000/bins/523.fna	1030968	1.0	0.9857270830339188	4561043	4561043	4627085	1.0	0.7719298245614035	44	44	57
gsa	vamb_2000/bins/392.fna	1287_W	1.0	0.9855853076660182	4146931	4146931	4207582	1.0	0.4358974358974359	17	17	39
gsa	vamb_2000/bins/205.fna	1036803	1.0	0.9848040502909056	5085406	5085406	5163876	1.0	0.6451612903225806	20	20	31
gsa	vamb_2000/bins/364.fna	1052998	0.5201655404843787	0.9843502735317331	4752191	2471926	2511226	0.4594594594594595	0.68	37	17	25
gsa	vamb_2000/bins/275.fna	1030737	1.0	0.9842034314328164	3602344	3602344	3660162	1.0	0.5967741935483871	37	37	62
gsa	vamb_2000/bins/431.fna	1220_X	1.0	0.9822376078347502	3573127	3573127	3637742	1.0	0.5	11	11	22
gsa	vamb_2000/bins/93.fna	1036704	0.9897503033786882	0.9822356542048758	4119439	4077216	4150955	0.9850746268656716	0.8354430379746836	67	66	79
gsa	vamb_2000/bins/252.fna	1139_CO	1.0	0.9808835537538283	5638666	5638666	5748558	1.0	0.5	39	39	78
gsa	vamb_2000/bins/302.fna	1220_AR	1.0	0.9804083286758599	4403004	4403004	4490990	1.0	0.24242424242424243	8	8	33
gsa	vamb_2000/bins/10.fna	1286_BV	1.0	0.9790691256365907	4271379	4271379	4362694	1.0	0.3333333333333333	16	16	48
gsa	vamb_2000/bins/124.fna	1035906	1.0	0.9790190868193026	2496530	2496530	2550032	1.0	0.7333333333333333	33	33	45
gsa	vamb_2000/bins/268.fna	1036800	0.977688284303579	0.978998702100251	4130655	4038493	4125126	0.9776119402985075	0.8343949044585988	134	131	157
