sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	bin.S15C1066.fa	OTU_97.42986.0	1.0	1.0	2702087	2702087	2702087	1.0	1.0	3	3	3
gsa	bin.S15C12686.fa	OTU_97.43676.0	1.0	1.0	2571304	2571304	2571304	1.0	1.0	1	1	1
gsa	bin.S15C287.fa	OTU_97.20364.0	1.0	1.0	2527961	2527961	2527961	1.0	1.0	1	1	1
gsa	bin.S15C424.fa	OTU_97.42878.0	0.9281364454664941	1.0	2531297	2349389	2349389	0.14084507042253522	1.0	71	10	10
gsa	bin.S15C491.fa	OTU_97.42422.0	0.5042811588431199	1.0	4238572	2137432	2137432	0.3333333333333333	1.0	3	1	1
gsa	bin.S15C511.fa	OTU_97.4075.0	0.9959632208459122	1.0	2854008	2842487	2842487	0.8260869565217391	1.0	23	19	19
gsa	bin.S15C627.fa	OTU_97.38628.0	0.514422930212677	1.0	4489483	2309493	2309493	0.1	1.0	10	1	1
gsa	bin.S15C802.fa	OTU_97.329.1	0.2590664905752184	1.0	6436807	1667561	1667561	0.010416666666666666	1.0	96	1	1
gsa	bin.S15C832.fa	OTU_97.17325.0	0.4971534869147997	1.0	4315104	2145269	2145269	0.024390243902439025	1.0	41	1	1
gsa	bin.S15C9196.fa	OTU_97.237.0	1.0	1.0	3176024	3176024	3176024	1.0	1.0	4	4	4
gsa	bin.S15C12181.fa	OTU_97.20.0	1.0	1.0	2300986	2300986	2300986	1.0	1.0	1	1	1
gsa	bin.S15C919.fa	OTU_97.44036.0	1.0	1.0	2688474	2688474	2688474	1.0	1.0	1	1	1
gsa	bin.S15C11904.fa	OTU_97.1193.0	0.9875712654403015	1.0	3830398	3782791	3782791	0.045454545454545456	1.0	22	1	1
gsa	bin.S15C933.fa	OTU_97.45053.0	0.6155165489426381	1.0	3109957	1914230	1914230	0.05785123966942149	1.0	121	7	7
gsa	bin.S15C938.fa	OTU_97.42987.0	1.0	1.0	2524781	2524781	2524781	1.0	1.0	1	1	1
gsa	bin.S15C949.fa	OTU_97.27797.0	0.9326248890481516	1.0	2427855	2264278	2264278	0.04	1.0	25	1	1
gsa	bin.S15C984.fa	OTU_97.9740.1	0.509926143914288	1.0	3192831	1628108	1628108	0.05263157894736842	1.0	19	1	1
gsa	bin.S15C187.fa	OTU_97.44958.0	0.8134862890482446	1.0	2175706	1769907	1769907	0.007042253521126761	1.0	142	1	1
gsa	bin.S15C141.fa	OTU_97.7158.0	1.0	0.9970648128642652	3336812	3336812	3346635	1.0	0.926829268292683	114	114	123
gsa	bin.S15C111.fa	OTU_97.1358.0	0.999242514742455	0.9970093376929099	4051564	4048495	4060639	0.9907407407407407	0.9385964912280702	108	107	114
gsa	bin.S15C168.fa	OTU_97.56.0	1.0	0.9961792211704351	1746087	1746087	1752784	1.0	0.8888888888888888	48	48	54
gsa	bin.S15C324.fa	OTU_97.1148.0	0.998736863128948	0.9960860670159163	2423332	2420271	2429781	0.9824561403508771	0.9333333333333333	57	56	60
gsa	bin.S15C783.fa	OTU_97.38092.0	0.26928607212399797	0.9937751452383077	8148134	2194179	2207923	0.01020408163265306	0.5	98	1	2
gsa	bin.S15C1338.fa	OTU_97.44228.0	1.0	0.9805565869757038	2168092	2168092	2211083	1.0	0.7777777777777778	7	7	9
gsa	bin.S15C2254.fa	OTU_97.14837.0	0.9519128675569151	0.9761557304280549	1851618	1762579	1805633	0.125	0.5	8	1	2
gsa	bin.S15C142.fa	OTU_97.31176.1	1.0	0.9753601463295266	2216147	2216147	2272132	1.0	0.8300970873786407	171	171	206
gsa	bin.S15C180.fa	OTU_97.35197.0	0.777715459506534	0.9334234283364122	2112810	1643165	1760364	0.5595854922279793	0.7035830618892508	386	216	307
gsa	bin.S15C402.fa	OTU_97.6310.0	0.9338316486655908	0.9230238841856767	3846159	3591665	3891194	0.8521008403361344	0.6662286465177398	595	507	761
gsa	bin.S15C37.fa	OTU_97.9672.0	1.0	0.9203078773154312	1807631	1807631	1964159	1.0	0.6540404040404041	259	259	396
gsa	bin.S15C121.fa	OTU_97.15438.0	1.0	0.9197709000328953	3419573	3419573	3717853	1.0	0.6855439642324889	460	460	671
gsa	bin.S15C597.fa	OTU_97.34865.0	0.8220688284243305	0.9109143279921956	4457083	3664029	4022364	0.6305170239596469	0.6784260515603799	793	500	737
gsa	bin.S15C112.fa	OTU_97.40838.0	1.0	0.9037303227256592	3248690	3248690	3594756	1.0	0.6661951909476662	471	471	707
gsa	bin.S15C208.fa	OTU_97.20271.0	1.0	0.8987065968435934	1751341	1751341	1948735	1.0	0.6126760563380281	261	261	426
gsa	bin.S15C155.fa	OTU_97.27897.0	0.9990182006416974	0.8954859225856402	4336935	4332677	4838353	0.9966996699669967	0.633788037775446	606	604	953
gsa	bin.S15C51542.fa	OTU_97.26160.0	1.0	0.8821184099524776	3791509	3791509	4298186	1.0	0.6666666666666666	2	2	3
gsa	bin.S15C152.fa	OTU_97.26568.1	0.9960991031091515	0.7560946540288194	1426595	1421030	1879434	0.9942196531791907	0.4267990074441687	346	344	806
gsa	bin.S15C120.fa	OTU_97.10732.1	1.0	0.7432746456900085	2203486	2203486	2964565	1.0	0.4014760147601476	544	544	1355
gsa	bin.S15C2895.fa	OTU_97.2652.0	0.9893456894587822	0.7382822431367668	983264	972788	1317637	0.9791666666666666	0.5551181102362205	144	141	254
gsa	bin.S15C996.fa	OTU_97.44993.0	0.9646458787121175	0.7218802243602439	1379132	1330374	1842929	0.7631578947368421	0.5471698113207547	38	29	53
gsa	bin.S15C572.fa	OTU_97.14639.0	1.0	0.7051752632709145	1622243	1622243	2300482	1.0	0.4418604651162791	285	285	645
gsa	bin.S15C7157.fa	OTU_97.23667.1	1.0	0.6419399270075686	1391659	1391659	2167896	1.0	0.5	1	1	2
gsa	bin.S15C816.fa	OTU_97.44565.0	1.0	0.3663293276792197	619564	619564	1691276	1.0	0.17191977077363896	60	60	349
gsa	bin.S15C13205.fa	OTU_97.23667.1	1.0	0.35806007299243137	776237	776237	2167896	1.0	0.5	1	1	2
gsa	bin.S15C883.fa	OTU_97.27797.1	0.9537322292318711	0.3441660548172794	815384	777658	2259543	0.835820895522388	0.2028985507246377	67	56	276
gsa	bin.S15C1076.fa	OTU_97.45303.0	1.0	0.3275939594991609	690667	690667	2108302	1.0	0.16091954022988506	84	84	522
gsa	bin.S15C3094.fa	OTU_97.16860.0	1.0	0.2947847570055503	522618	522618	1772880	1.0	0.10555555555555556	38	38	360
gsa	bin.S15C950.fa	OTU_97.37109.0	1.0	0.28254786658792413	569814	569814	2016699	1.0	0.09586551567469333	211	211	2201
gsa	bin.S15C92.fa	OTU_97.31370.0	1.0	0.2821864381373911	773738	773738	2741939	1.0	0.0969738651994498	282	282	2908
gsa	bin.S15C16.fa	OTU_97.38908.1	0.994292593197858	0.28208321371917155	1052492	1046485	3709845	0.9947229551451188	0.09522606718868401	379	377	3959
gsa	bin.S15C606.fa	OTU_97.2896.0	1.0	0.2782711649312351	572305	572305	2056645	1.0	0.09163701067615658	206	206	2248
gsa	bin.S15C149.fa	OTU_97.1886.0	1.0	0.2688292071062272	593887	593887	2209161	1.0	0.09060402684563758	216	216	2384
gsa	bin.S15C284.fa	OTU_97.39115.0	1.0	0.2662881007105623	514054	514054	1930443	1.0	0.08574135480814779	181	181	2111
gsa	bin.S15C116.fa	OTU_97.45.0	0.9971567062177796	0.2576491787176284	766013	763835	2964632	0.9963768115942029	0.08561643835616438	276	275	3212
gsa	bin.S15C340.fa	OTU_97.42502.0	1.0	0.2569685307222326	462309	462309	1799088	1.0	0.08578947368421053	163	163	1900
gsa	bin.S15C813.fa	OTU_97.11128.1	1.0	0.2522825881279149	566633	566633	2246025	1.0	0.0810483870967742	201	201	2480
gsa	bin.S15C602.fa	OTU_97.13658.0	0.9883694059509026	0.24585865349386632	393789	389209	1583060	0.9851851851851852	0.08174554394591273	135	133	1627
gsa	bin.S15C403.fa	OTU_97.1704.0	0.9947297719971	0.24546067374625635	553107	550192	2241467	0.9948453608247423	0.0802828618968386	194	193	2404
gsa	bin.S15C588.fa	OTU_97.9305.0	0.9878994784257942	0.24154273498328255	369075	364609	1509501	0.9848484848484849	0.07869249394673124	132	130	1652
gsa	bin.S15C922.fa	OTU_97.6437.0	0.993743634511858	0.23867013894913197	982839	976690	4092217	0.9772727272727273	0.10955414012738854	88	86	785
gsa	bin.S15C1960.fa	OTU_97.39273.0	1.0	0.23798317938187838	385711	385711	1620749	1.0	0.08917197452229299	28	28	314
gsa	bin.S15C687.fa	OTU_97.940.0	1.0	0.235243506168682	623109	623109	2648783	1.0	0.07508650519031142	217	217	2890
gsa	bin.S15C218.fa	OTU_97.43152.1	1.0	0.19105978991178915	647639	647639	3389719	1.0	0.0583271283196823	235	235	4029
gsa	bin.S15C620.fa	OTU_97.4084.0	0.9743229631570758	0.18248852520620118	488452	475910	2607890	0.9700598802395209	0.05814788226848528	167	162	2786
gsa	bin.S15C1099.fa	OTU_97.8688.0	0.9800355109492094	0.1739022391569954	359889	352704	2028174	0.984	0.055832955061280075	125	123	2203
gsa	bin.S15C580.fa	OTU_97.32075.0	0.5411511834245583	0.1719310078743247	680187	368084	2140882	0.515748031496063	0.05819635717458907	254	131	2251
gsa	bin.S15C2455.fa	OTU_97.32369.0	0.913430884102886	0.17149753947108695	382365	349264	2036554	0.9064748201438849	0.057039384336803986	139	126	2209
gsa	bin.S15C1618.fa	OTU_97.3210.0	0.9934357370340078	0.16805936456078446	333777	331586	1973029	0.9913793103448276	0.053914674167838725	116	115	2133
gsa	bin.S15C1889.fa	OTU_97.43528.1	0.9477742873157188	0.12821808699172857	383585	363552	2835419	0.9416058394160584	0.039975209172606135	137	129	3227
gsa	bin.S15C781.fa	OTU_97.29395.1	0.9516053604571295	0.12099474513534807	273708	260462	2152672	0.6	0.10714285714285714	5	3	28
gsa	bin.S15C15775.fa	OTU_97.26160.0	0.9802755808014363	0.11788159004752237	516872	506677	4298186	0.25	0.3333333333333333	4	1	3
gsa	bin.S15C803.fa	OTU_97.38222.0	0.9940567169092577	0.10666625454451407	340216	338194	3170581	0.990990990990991	0.032391048292108364	111	110	3396
gsa	bin.S15C1075.fa	OTU_97.23755.0	0.8821169617021685	0.07005735627584367	208393	183827	2623950	0.863013698630137	0.022051102555127756	73	63	2857
gsa	bin.S15C2126.fa	OTU_97.6437.0	1.0	0.05081157719641945	207932	207932	4092217	1.0	0.02802547770700637	22	22	785
