sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	12	1285_BH	0.9969490283610464	1.0	4580508	4566533	4566533	0.6666666666666666	1.0	9	6	6
gsa	21	1035900	0.984031743352723	0.9980031896760991	7382459	7264574	7279109	0.8269230769230769	0.9148936170212766	104	86	94
gsa	9	1030836	0.5020206964270045	0.9940811971788857	9698389	4868792	4897781	0.3163265306122449	0.8985507246376812	196	62	69
gsa	35	1220_AD	1.0	0.9919370246141249	3452660	3452660	3480725	1.0	0.6585365853658537	27	27	41
gsa	29	1036755	1.0	0.9830087429313326	6353909	6353909	6463736	1.0	0.8623853211009175	94	94	109
gsa	8	1030752	0.9812377998381566	0.9563129746745714	6118259	6003467	6277722	0.5567010309278351	0.6428571428571429	97	54	84
gsa	33	1049089	0.9595805421749725	0.9548156396543341	3108775	2983120	3124289	0.1485148514851485	0.5555555555555556	101	15	27
gsa	34	1030878	0.9522518792377889	0.9484191053371218	3274998	3118623	3288233	0.11214953271028037	0.5454545454545454	107	12	22
gsa	5	1048783	0.979144831035026	0.9436166714323616	2335632	2286922	2423571	0.7741935483870968	0.6666666666666666	62	48	72
gsa	14	1049005	0.9916550191514012	0.9368131567179094	3880656	3848272	4107833	0.56	0.6086956521739131	25	14	23
gsa	7	1036608	0.6777044489464227	0.9340151713050073	4368450	2960518	3169668	0.18584070796460178	0.8181818181818182	339	63	77
gsa	15	1036554	0.8965785896070042	0.9019301228739116	2672319	2395944	2656463	0.35294117647058826	0.72	51	18	25
gsa	39	1036641	0.6477765588658781	0.894927366826511	3634389	2354272	2630685	0.3036144578313253	0.8456375838926175	415	126	149
gsa	1	1036743	0.9416084368024499	0.8272805298108844	4479517	4217951	5098574	0.964406779661017	0.5995785036880927	1180	1138	1898
gsa	3	1030755	0.9424731654669526	0.8074095052651856	3953581	3726144	4614937	0.7627118644067796	0.5172413793103449	59	45	87
gsa	24	1139_AG	0.6164831696395292	0.7476974195407329	8826846	5441602	7277813	0.021450459652706845	0.31343283582089554	979	21	67
gsa	23	1048993	0.9734637797650876	0.6989382134983197	2608887	2539657	3633593	0.9833024118738405	0.42604501607717044	1078	1060	2488
gsa	38	evo_1035930.011	0.2983664483984534	0.6712743616780367	5086708	1517703	2260928	0.2692307692307692	0.5	104	28	56
gsa	13	1036707	0.3124864123630344	0.5391095610083282	6908854	2158923	4004609	0.36715481171548114	0.4618421052631579	956	351	760
gsa	4	evo_1286_AP.008	0.5452698574619603	0.46629603296045374	2893824	1577915	3383934	0.2916666666666667	0.3888888888888889	24	7	18
gsa	40	1049056	0.22679048588044948	0.4431526531888383	6374778	1445739	3262395	0.06315789473684211	0.17647058823529413	95	6	34
gsa	11	1052947	0.3777351713321501	0.44217443765989994	5580272	2107865	4767044	0.3870967741935484	0.25	31	12	48
gsa	2	evo_1286_AP.026	0.23785039247126594	0.41129289945804	5552381	1320636	3210938	0.25	0.11764705882352941	8	2	17
gsa	17	1052944	0.33702719007096255	0.3364012255635156	5178508	1745298	5188144	0.07816091954022988	0.3655913978494624	435	34	93
gsa	28	1286_AP	0.27699868095999286	0.33317400694111815	3578360	991201	2975025	0.25	0.2777777777777778	20	5	18
gsa	18	1365_A	0.5448422153597927	0.3064775705362126	3946772	2150368	7016396	0.9824868651488616	0.1948593261549149	571	561	2879
gsa	19	evo_1049056.031	0.19328287670664523	0.303625161495024	5302508	1024884	3375491	0.028985507246376812	0.4	483	14	35
gsa	31	1049056	0.468207677594321	0.22194461430942605	1546474	724071	3262395	0.06153846153846154	0.11764705882352941	65	4	34
gsa	30	1052944	0.36213449939456466	0.2197419732374429	3148148	1140053	5188144	0.4074074074074074	0.11827956989247312	27	11	93
gsa	6	evo_1035930.029	0.2994869134728899	0.1804716163722519	1453556	435321	2412130	0.15384615384615385	0.13559322033898305	52	8	59
gsa	36	1036707	0.5877636507368071	0.17582365719100168	1197939	704105	4004609	0.6666666666666666	0.07894736842105263	90	60	760
gsa	26	evo_1049056.015	0.26547405792212037	0.1751391359825605	2220119	589384	3365233	0.10909090909090909	0.23076923076923078	55	6	26
gsa	32	evo_1049056.013	0.26745930717359123	0.17328253135200675	2277367	609103	3515086	0.05555555555555555	0.11538461538461539	54	3	26
gsa	10	1052947	0.5311847962532367	0.13164090786659405	1181393	627538	4767044	0.4	0.125	15	6	48
gsa	37	1286_AP	0.21132539611580572	0.1175828774548113	1655324	349812	2975025	0.3333333333333333	0.16666666666666666	9	3	18
gsa	20	1036554		0.09655508094786187	610852	256495	2656463		0.16	101	4	25
gsa	25	evo_1286_AP.008	0.23343796267937877	0.0869422985200066	1260322	294207	3383934	0.3333333333333333	0.1111111111111111	6	2	18
gsa	27	evo_1049056.039		0.06635935653777915	196097	179155	2699770		0.02623113090819104	110	106	4041
gsa	22	1052944	0.22842847627742466	0.061344288053685476	1393272	318263	5188144	0.1865671641791045	0.26881720430107525	134	25	93
gsa	0	evo_1286_AP.026	0.20488249426969704	0.05083187529625299	796642	163218	3210938	0.2	0.058823529411764705	5	1	17
