,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
maxbin2.001, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,10497,4528,1880,kingdom,1.0,0.43,0.5,0.09,0.19,0.5,0.22,False
maxbin2.002, c__Gammaproteobacteria (UID4267),119, 541, 283, 0,528, 13, 0,0, 0, 100.00, 2.27, 7.69,6201,4356,494,genus,0.72,0.5,0.94,0.13,0.32,0.87,0.44,False
maxbin2.003, c__Gammaproteobacteria (UID4443),356, 448, 269, 12, 429, 7,0,0, 0, 97.09,1.61,42.86,3411,3202,230,genus,0.84,0.79,0.36,0.03,0.06,0.76,0.6,True
maxbin2.004, c__Gammaproteobacteria (UID4444),263, 506, 232, 2,491, 13, 0,0, 0, 99.14,3.21, 7.69,3727,3563,200,genus,0.91,0.87,0.86,0.03,0.06,0.96,0.83,False
maxbin2.005, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,28123,10600,4076,kingdom,1.0,0.38,0.0,0.09,0.2,0.47,0.18,True
maxbin2.006, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,25159,10690,4703,kingdom,1.0,0.42,0.34,0.04,0.09,0.48,0.2,True
maxbin2.007, k__Bacteria (UID203),5449,104,58, 98,6,0,0,0, 0,2.51,0.00, 0.00,19458,6761,3302,kingdom,1.0,0.35,0.0,0.05,0.1,0.45,0.16,True
maxbin2.008, o__Actinomycetales (UID1593), 69, 400, 198, 22, 369, 9,0,0, 0, 94.23,2.83,22.22,2943,2752,555,class,0.96,0.9,0.95,0.05,0.09,0.71,0.64,False
maxbin2.009, k__Bacteria (UID203),5449,104,58, 90,8,6,0,0, 0,7.12,1.32, 0.00,3898,1858,864,phylum,0.89,0.42,0.41,0.12,0.28,0.64,0.27,True
maxbin2.010,o__Rhodospirillales (UID3754), 63, 336, 201, 32, 236, 65, 3,0, 0, 91.42, 20.70,58.11,6397,6177,1693,family,0.93,0.9,1.0,0.03,0.05,0.96,0.86,False
maxbin2.011, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,38415,15179,9054,kingdom,0.98,0.39,0.0,0.0,0.0,0.43,0.17,True
maxbin2.012, k__Bacteria (UID203),5449,104,58, 0, 40, 54, 10, 0, 0, 100.00,57.54,15.48,66108,26149,10305,kingdom,1.0,0.4,0.0,0.04,0.08,0.55,0.22,True
maxbin2.013, k__Bacteria (UID203),5449,104,58, 71,30, 3,0,0, 0, 43.57,5.17,33.33,46611,15910,7650,kingdom,1.0,0.34,0.0,0.04,0.09,0.49,0.17,True
maxbin2.014,k__Bacteria (UID2570),433, 267, 178,225,34, 0,3,1, 4,9.57, 27.94, 1.62,19418,6877,3652,kingdom,1.0,0.35,0.0,0.04,0.09,0.45,0.16,True
maxbin2.015,k__Bacteria (UID2569),434, 278, 186, 0,250, 15, 10, 0, 3, 100.00,34.56, 1.39,9787,4692,1473,phylum,0.91,0.43,0.73,0.4,1.47,0.5,0.22,False
maxbin2.016, c__Gammaproteobacteria (UID4443),356, 451, 270, 80, 287, 76, 7,1, 0, 83.79, 19.70, 2.91,4533,4343,1144,family,0.88,0.84,0.98,0.32,0.94,0.87,0.73,False
maxbin2.017, k__Bacteria (UID203),5449,104,58, 29,40, 30, 3,2, 0, 75.72, 48.80,50.98,4272,4136,1423,family,0.93,0.9,0.95,0.08,0.16,0.96,0.86,False
maxbin2.018, k__Bacteria (UID203),5449,104,58, 59,25, 17, 3,0, 0, 19.75,8.53, 3.85,434,339,151,genus,0.64,0.5,0.95,0.57,2.8,0.93,0.47,False
maxbin2.019, c__Alphaproteobacteria (UID3422), 26, 529, 308,430,71, 25, 3,0, 0, 13.94,4.26,23.53,1397,1279,396,genus,0.76,0.69,0.86,0.07,0.14,0.93,0.64,False
maxbin2.020, k__Bacteria (UID203),5449,104,58, 73,27, 2,2,0, 0, 46.55,9.48,12.50,3323,3230,1278,family,0.93,0.9,0.98,0.31,0.95,0.93,0.84,False
maxbin2.021, root (UID1), 5656, 56,24, 56,0,0,0,0, 0,0.00,0.00, 0.00,263,69,50,kingdom,1.0,0.26,0.0,0.04,0.09,0.5,0.13,True
maxbin2.022, k__Bacteria (UID203),5449,104,58, 14,53, 35, 1,1, 0, 96.02, 49.67,13.64,14139,7870,2988,phylum,0.88,0.49,0.7,0.39,1.3,0.68,0.33,False
maxbin2.023, c__Gammaproteobacteria (UID4443),356, 451, 270,331, 111, 7,2,0, 0, 23.70,2.59,30.77,2118,1829,601,class,0.93,0.8,0.85,0.15,0.34,0.69,0.56,False
maxbin2.024, k__Bacteria (UID203),5449,104,58, 61,33, 8,2,0, 0, 55.64, 18.45, 0.00,4658,4285,1448,family,0.86,0.79,0.85,0.22,0.6,0.81,0.64,False
