user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
TARA_004_SRF_0.22-1.6C22333	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__UBA8444 sp003454845	GCA_003454845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__UBA8444 sp003454845	99.04	0.76	GCA_003454845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__UBA8444 sp003454845	99.04	0.76	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002714805.1, s__UBA8444 sp002714805, 95.0, 86.29, 0.73	87.04	11	N/A	N/A
TARA_004_SRF_0.22-1.6C2785	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	GCA_002168225.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	99.99	0.99	GCA_002168225.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales_C;f__TMED2;g__TMED2;s__TMED2 sp002168225	99.99	0.99	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	97.66	11	N/A	N/A
TARA_004_SRF_0.22-1.6C36770	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002323515	GCA_002323515.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002323515	99.92	0.97	GCA_002323515.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002323515	99.92	0.97	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002457365.1, s__UBA1275 sp002457365, 95.0, 93.72, 0.9; GCA_002730655.1, s__UBA1275 sp002730655, 95.0, 82.0, 0.57; GCA_002720745.1, s__UBA1275 sp002720745, 95.0, 81.75, 0.7; GCA_002348545.1, s__UBA1275 sp002348545, 95.0, 81.75, 0.67	81.25	11	N/A	N/A
TARA_004_SRF_0.22-1.6C4335	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA11606;g__UBA11606;s__UBA11606 sp002699625	GCA_002699625.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA11606;g__UBA11606;s__UBA11606 sp002699625	97.26	0.79	GCA_002699625.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA11606;g__UBA11606;s__UBA11606 sp002699625	97.26	0.79	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA11606;g__UBA11606;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002694825.1, s__UBA11606 sp002694825, 95.0, 95.35, 0.87; GCA_002729125.1, s__UBA11606 sp002729125, 95.0, 92.16, 0.85	85.04	11	N/A	N/A
TARA_004_SRF_0.22-1.6C779	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765	GCA_002457765.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765	99.55	0.93	GCA_002457765.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765	99.55	0.93	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002689625.1, s__UBA8309 sp002689625, 95.0, 99.2, 0.83; GCA_002683535.1, s__UBA8309 sp002683535, 95.0, 88.56, 0.86; GCA_002686685.1, s__UBA8309 sp002686685, 95.0, 79.07, 0.52; GCA_001627655.1, s__UBA8309 sp001627655, 95.0, 78.27, 0.39; GCA_004213025.1, s__UBA8309 sp004213025, 95.0, 78.21, 0.43; GCA_002695585.1, s__UBA8309 sp002695585, 95.0, 78.17, 0.39; GCA_002457745.1, s__UBA8309 sp002457745, 95.0, 78.09, 0.39; GCA_002731315.1, s__UBA8309 sp002731315, 95.0, 77.87, 0.37	95.79	11	N/A	N/A
TARA_007_SRF_0.22-1.6C1687	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__MED-G20 sp002699745	GCA_002699745.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__MED-G20 sp002699745	98.91	0.82	GCA_002699745.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__MED-G20 sp002699745	98.91	0.82	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002713405.1, s__MED-G20 sp002713405, 95.0, 89.91, 0.81; GCA_002457645.1, s__MED-G20 sp002457645, 95.0, 78.9, 0.38; GCA_002691605.1, s__MED-G20 sp002691605, 95.0, 78.17, 0.35; GCA_002686655.1, s__MED-G20 sp002686655, 95.0, 78.15, 0.46	91.15	11	N/A	N/A
TARA_007_SRF_0.22-1.6C326	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002457365	GCA_002457365.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002457365	99.58	0.93	GCA_002457365.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__UBA1275 sp002457365	99.58	0.93	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA1275;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002323515.1, s__UBA1275 sp002323515, 95.0, 93.54, 0.85; GCA_002730655.1, s__UBA1275 sp002730655, 95.0, 81.42, 0.55; GCA_002720745.1, s__UBA1275 sp002720745, 95.0, 81.05, 0.68; GCA_002348545.1, s__UBA1275 sp002348545, 95.0, 80.9, 0.61	75.28	11	N/A	N/A
TARA_007_SRF_0.22-1.6C4953	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__TMED96;s__TMED96 sp002171475	GCA_002171475.2	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__TMED96;s__TMED96 sp002171475	99.39	0.93	GCA_002171475.2	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__TMED96;s__TMED96 sp002171475	99.39	0.93	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__TMED96;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002728075.1, s__TMED96 sp002728075, 95.0, 94.6, 0.75	93.81	11	N/A	N/A
TARA_007_SRF_0.22-1.6C5228	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp002457055	GCA_002457055.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp002457055	99.87	0.96	GCA_002457055.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp002457055	99.87	0.96	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001627925.1, s__MED-G52 sp001627925, 95.0, 94.89, 0.86; GCA_002704465.1, s__MED-G52 sp002704465, 95.0, 80.59, 0.7; GCA_002457115.1, s__MED-G52 sp002457115, 95.0, 79.69, 0.7; GCA_002711145.1, s__MED-G52 sp002711145, 95.0, 78.98, 0.63; GCA_002682975.1, s__MED-G52 sp002682975, 95.0, 78.97, 0.6; GCA_001627375.1, s__MED-G52 sp001627375, 95.0, 76.51, 0.05; GCA_002171355.1, s__MED-G52 sp002171355, 95.0, 76.26, 0.04; GCA_003332035.1, s__MED-G52 sp003332035, 95.0, 76.03, 0.06	92.84	11	N/A	N/A
TARA_007_SRF_0.22-1.6C6416	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2690565;s__GCA-2690565 sp002457235	GCA_002457235.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2690565;s__GCA-2690565 sp002457235	99.68	0.96	GCA_002457235.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2690565;s__GCA-2690565 sp002457235	99.68	0.96	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	88.95	11	N/A	N/A
