,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1,k__Bacteria (UID203),5449,104,58, 50,27,22, 5,0, 0, 28.45,6.77,37.84,818,763,186,family,0.94,0.87,0.13,0.59,3.38,0.64,0.56,True
bin.10,k__Bacteria (UID2372),131, 177, 106, 41, 132,4,0,0, 0, 81.80,1.35, 0.00,1953,1696,188,genus,0.77,0.67,0.21,0.31,0.99,0.67,0.45,True
bin.100,root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,356,321,46,kingdom,1.0,0.9,0.0,0.0,0.0,0.82,0.74,True
bin.102, g__Lactobacillus (UID380), 58, 449, 129, 13, 434,2,0,0, 0, 93.69,0.12,100.00,1800,1731,140,kingdom,1.0,0.96,0.0,0.0,0.0,0.93,0.9,True
bin.105,root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,205,81,7,kingdom,1.0,0.4,0.0,0.09,0.19,0.46,0.18,True
bin.107, o__Bacteroidales (UID2657), 160, 492, 269, 75, 390,27, 0,0, 0, 90.13,7.09,33.33,2269,2119,106,genus,0.93,0.87,0.24,0.04,0.07,0.78,0.68,True
bin.109,k__Bacteria (UID203),5449,104,58, 2, 79,23, 0,0, 0, 96.55,5.17, 4.35,2029,1968,219,family,0.97,0.94,0.26,0.15,0.35,0.93,0.88,True
bin.11,k__Bacteria (UID2372),131, 177, 106, 7,166,4,0,0, 0, 94.34,1.35, 0.00,2024,1769,121,genus,0.81,0.71,0.2,0.33,1.04,0.68,0.48,True
bin.110,root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,210,69,29,kingdom,0.99,0.32,0.0,0.0,0.0,0.47,0.15,True
bin.113,k__Bacteria (UID203),5449,104,58,101,3, 0,0,0, 0,4.31,0.00, 0.00,348,342,111,kingdom,1.0,0.98,0.0,0.0,0.0,0.93,0.92,True
bin.115,o__Lactobacillales (UID355), 490, 336, 184, 12, 320,4,0,0, 0, 95.71,0.94,100.00,1774,1731,171,kingdom,1.0,0.98,0.0,0.0,0.0,0.95,0.93,True
bin.116,root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,490,383,68,family,0.67,0.52,0.41,0.39,1.25,0.78,0.41,True
bin.117,o__Selenomonadales (UID1024), 64, 334, 167, 1,329,4,0,0, 0, 99.85,2.10, 0.00,1748,1653,83,family,0.87,0.82,0.22,0.03,0.06,0.76,0.62,True
bin.118,root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,626,501,118,genus,0.63,0.5,0.34,0.46,1.45,0.64,0.32,True
