sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	bin.26.fa	1035900	0.26493267407392807	0.9988722520846989	27444331	7270900	7279109	0.1827309236947791	0.9680851063829787	498	91	94
gsa	bin.20.fa	1030755	0.5443706642743266	0.9938917909388579	8425781	4586748	4614937	0.23255813953488372	0.9195402298850575	344	80	87
gsa	bin.24.fa	1030836	0.47751332692222487	0.9924304496260653	10179207	4860707	4897781	0.2894736842105263	0.7971014492753623	190	55	69
gsa	bin.13.fa	1139_AG	0.6113547068285998	0.9902004901747269	11787746	7206494	7277813	0.016102165463631316	0.43283582089552236	1801	29	67
gsa	bin.6.fa	1030752	0.16870301184874487	0.9887037049426528	36791323	6206807	6277722	0.10862068965517241	0.75	580	63	84
gsa	bin.0.fa	1036755	0.965828905385946	0.9859833384284259	6598618	6373136	6463736	0.4469026548672566	0.926605504587156	226	101	109
gsa	bin.4.fa	1036641	0.38944560132753836	0.9856086912724252	6657736	2592826	2630685	0.12128922815945717	0.959731543624161	1179	143	149
gsa	bin.11.fa	1030878	0.8205496900399432	0.9484191053371218	3800651	3118623	3288233	0.01238390092879257	0.5454545454545454	969	12	22
gsa	bin.22.fa	1036728	0.9460245535081411	0.9118364166936221	1939845	1835141	2012577	0.7789757412398922	0.85	371	289	340
gsa	bin.21.fa	1048993	0.9302464272489962	0.4438796530046155	1733818	1612878	3633593	0.9468926553672317	0.33681672025723475	885	838	2488
gsa	bin.17.fa	1036743	0.9232735847194442	0.4403515571216579	2431744	2245165	5098574	0.8628865979381444	0.4409905163329821	970	837	1898
gsa	bin.32.fa	1036743	0.8888145728264712	0.42353626719941695	2429563	2159431	5098574	0.8771289537712895	0.37987355110642784	822	721	1898
gsa	bin.23.fa	1048993	0.97295267643387	0.1953944759360776	729721	709984	3633593	0.9575645756457565	0.20860128617363344	542	519	2488
gsa	bin.31.fa	1365_A	0.9607011834949722	0.16713039001789523	1220622	1172653	7016396	0.8413926499032882	0.15109412990621743	517	435	2879
gsa	bin.16.fa	1048993	0.9423550851524702	0.1599579259427239	616776	581222	3633593	0.9580246913580247	0.15594855305466238	405	388	2488
gsa	bin.7.fa	1220_AJ	0.6131556027929085	0.0794452583783122	338715	207685	2614190	0.9031007751937985	0.08715167383579578	516	466	5347
gsa	bin.12.fa	1220_AJ	0.702727640137564	0.07050367417823494	262278	184310	2614190	0.8762677484787018	0.08079296801945016	493	432	5347
gsa	bin.33.fa	1220_AJ	0.6509586542503545	0.06989851541012704	280706	182728	2614190	0.8804780876494024	0.08266317561249299	502	442	5347
gsa	bin.36.fa	1365_A	0.9045625423855053	0.06577536387626924	510198	461506	7016396	0.7211155378486056	0.06286905175408128	251	181	2879
gsa	bin.2.fa	1220_AJ		0.05702454680034733	199159	149073	2614190		0.07854871890779877	484	420	5347
gsa	bin.25.fa	1365_A	0.6054218436921212	0.05464771372653425	633327	383430	7016396	0.359253499222395	0.08023619312261202	643	231	2879
gsa	bin.29.fa	1220_AJ		0.052555093547140795	154018	137389	2614190		0.05311389564241631	297	284	5347
gsa	bin.15.fa	1048993	0.5245278368302677	0.046853348737737	324570	170246	3633593	0.49363867684478374	0.07797427652733119	393	194	2488
gsa	bin.19.fa	1220_AJ		0.04332737865266106	170354	113266	2614190		0.054423040957546284	336	291	5347
gsa	bin.27.fa	1220_AJ		0.03667637011846882	128467	95879	2614190		0.048064335141200676	303	257	5347
gsa	bin.18.fa	1220_AJ		0.03475340353991102	126426	90852	2614190		0.04525902375163643	283	242	5347
gsa	bin.34.fa	1220_AJ		0.030453792570547665	113352	79612	2614190		0.0390873386945951	246	209	5347
