,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1,k__Bacteria (UID203),5449,104,58, 67,33, 3,1, 0, 0, 51.72,6.03, 0.00,1699,1515,302,family,0.51,0.45,0.35,0.44,1.82,0.5,0.23,True
bin.103, p__Cyanobacteria (UID2143), 129, 472, 368,237, 227, 8,0, 0, 0, 53.73,1.90,12.50,1271,1200,190,phylum,0.98,0.92,0.95,0.04,0.08,0.72,0.67,False
bin.108,k__Bacteria (UID203),5449,100,54, 81,16, 2,1, 0, 0, 23.10,6.48, 0.00,875,808,192,family,0.68,0.63,0.87,0.13,0.32,0.68,0.43,False
bin.111, k__Bacteria (UID2982), 88, 230, 148, 17, 209, 4,0, 0, 0, 92.45,1.69, 0.00,3052,2746,407,genus,0.53,0.48,0.27,0.48,2.01,0.57,0.27,True
bin.112,k__Bacteria (UID203),5449,104,58,102,2,0,0, 0, 0,2.59,0.00, 0.00,480,461,102,genus,0.6,0.58,0.65,0.55,2.65,0.74,0.43,False
bin.114,p__Proteobacteria (UID3214), 2231,190, 119,159,31, 0,0, 0, 0, 12.04,0.00, 0.00,376,275,91,phylum,0.9,0.66,0.3,0.05,0.1,0.52,0.34,True
bin.115,p__Euryarchaeota (UID3), 148, 188, 125, 94,90, 4,0, 0, 0, 43.90,2.44,100.00,1077,967,255,kingdom,1.0,0.9,0.28,0.06,0.12,0.61,0.55,True
bin.119, k__Archaea (UID2),207, 149, 107,138,11, 0,0, 0, 0,7.78,0.00, 0.00,738,248,165,kingdom,1.0,0.34,0.0,0.1,0.21,0.39,0.13,True
bin.12,k__Archaea (UID2),207, 149, 107, 85,63, 1,0, 0, 0, 48.60,0.93, 0.00,1087,959,198,kingdom,1.0,0.88,0.32,0.07,0.15,0.58,0.51,True
bin.120,root (UID1), 5656, 56,24, 55,0,1,0, 0, 0,4.17,4.17, 0.00,381,355,80,phylum,0.91,0.85,0.77,0.07,0.14,0.54,0.46,False
bin.125,p__Euryarchaeota (UID3), 148, 188, 125, 70, 117, 1,0, 0, 0, 57.68,0.06, 0.00,1048,943,179,phylum,0.95,0.85,0.26,0.04,0.08,0.62,0.53,True
bin.127,k__Bacteria (UID203),5449,104,58,102,1,1,0, 0, 0,2.59,1.72, 0.00,598,567,150,phylum,0.98,0.93,0.76,0.06,0.13,0.64,0.6,False
bin.128, k__Archaea (UID2),207, 149, 107,131,8,10, 0, 0, 0,4.91,0.72, 0.00,692,210,45,kingdom,1.0,0.3,0.0,0.11,0.24,0.37,0.11,True
bin.13,k__Bacteria (UID1453),901, 171, 117, 88,69, 11, 3, 0, 0, 37.70, 11.54, 0.00,776,692,85,order,0.47,0.42,0.2,0.5,2.3,0.51,0.21,True
bin.130, k__Bacteria (UID2982), 88, 230, 148, 11, 209, 10, 0, 0, 0, 94.93,1.89,20.00,2931,2693,217,genus,0.56,0.51,0.11,0.44,1.25,0.58,0.3,True
bin.131,k__Bacteria (UID203),5449,104,58, 90,14, 0,0, 0, 0, 18.97,0.00, 0.00,315,290,77,family,0.82,0.75,0.34,0.42,1.58,0.65,0.49,True
