,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0, k__Bacteria (UID203),5449, 99,54, 92,7,0,0, 0, 0,4.55,0.00, 0.00,366,325,97,family,0.73,0.65,0.6,0.07,0.16,0.65,0.42,False
bin.1, k__Bacteria (UID203),5449,104,58, 56,47, 1,0, 0, 0, 68.28,0.86,100.00,2810,2767,297,kingdom,1.0,0.98,0.0,0.0,0.0,0.84,0.83,True
bin.10,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,934,341,116,kingdom,0.98,0.36,0.0,0.0,0.0,0.45,0.16,True
bin.101, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,440,137,20,kingdom,1.0,0.31,0.0,0.05,0.11,0.4,0.12,True
bin.102, c__Betaproteobacteria (UID3888), 323, 387, 234, 3,381, 3,0, 0, 0, 99.00,0.32, 0.00,3230,3143,81,class,0.98,0.96,0.16,0.03,0.06,0.92,0.88,True
bin.103, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,215,70,34,kingdom,1.0,0.33,0.0,0.09,0.19,0.42,0.14,True
bin.104,k__Bacteria (UID1453),901, 171, 117,109,58, 4,0, 0, 0, 34.95,1.28,75.00,587,531,56,class,0.7,0.64,0.07,0.7,3.72,0.49,0.31,True
bin.105, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,195,88,69,kingdom,1.0,0.45,0.0,0.0,0.0,0.38,0.17,True
bin.11,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,2077,799,261,kingdom,1.0,0.38,0.0,0.03,0.05,0.4,0.15,True
bin.1106,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,352,155,3,kingdom,1.0,0.44,0.03,0.03,0.07,0.4,0.18,True
bin.114, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,846,555,146,family,0.69,0.45,0.32,0.37,1.39,0.71,0.32,True
bin.115, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,366,125,41,kingdom,1.0,0.34,0.0,0.08,0.17,0.4,0.14,True
bin.117, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,780,298,79,kingdom,1.0,0.38,0.0,0.02,0.05,0.42,0.16,True
bin.119, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1057,368,37,kingdom,0.99,0.34,0.0,0.0,0.0,0.41,0.14,True
bin.120, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,336,147,55,kingdom,0.99,0.43,0.0,0.0,0.0,0.39,0.17,True
bin.122, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,569,128,56,kingdom,1.0,0.22,0.0,0.04,0.08,0.38,0.09,True
bin.124,k__Archaea (UID2),207, 149, 107,139,8,2,0, 0, 0,1.51,0.93, 0.00,719,202,70,kingdom,1.0,0.28,0.0,0.06,0.13,0.36,0.1,True
bin.125, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,491,226,40,class,0.9,0.41,0.24,0.57,2.92,0.45,0.18,True
bin.129, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,536,230,61,kingdom,1.0,0.43,0.65,0.09,0.19,0.41,0.17,False
bin.13,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,490,237,57,kingdom,1.0,0.48,0.13,0.07,0.14,0.4,0.19,True
bin.130, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1107,384,65,kingdom,1.0,0.35,0.0,0.03,0.05,0.42,0.15,True
bin.132, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,571,185,45,kingdom,0.98,0.32,0.0,0.0,0.0,0.42,0.13,True
bin.139, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1187,504,97,kingdom,1.0,0.42,0.0,0.04,0.09,0.42,0.18,True
bin.14,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,258,108,23,kingdom,1.0,0.42,0.06,0.04,0.08,0.4,0.17,True
bin.141, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,267,79,38,kingdom,1.0,0.3,0.0,0.0,0.0,0.41,0.12,True
bin.146, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,654,236,100,kingdom,1.0,0.36,0.0,0.03,0.05,0.42,0.15,True
bin.15,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,405,88,35,kingdom,1.0,0.22,0.0,0.0,0.0,0.39,0.08,True
bin.151, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,757,322,89,kingdom,1.0,0.43,0.13,0.04,0.08,0.42,0.18,True
bin.154, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,516,174,22,kingdom,1.0,0.34,0.0,0.03,0.06,0.4,0.14,True
bin.155, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,563,266,128,kingdom,0.99,0.47,0.0,0.0,0.0,0.37,0.17,True
bin.165, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,375,113,66,kingdom,1.0,0.3,0.0,0.04,0.07,0.38,0.11,True
bin.168, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,841,399,63,phylum,0.88,0.42,0.02,0.3,0.98,0.43,0.18,True
bin.170, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,369,174,72,class,0.9,0.43,0.22,0.83,7.25,0.43,0.18,True
bin.172, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,367,123,18,kingdom,1.0,0.34,0.0,0.04,0.08,0.42,0.14,True
bin.173, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1423,644,151,kingdom,1.0,0.45,0.06,0.05,0.11,0.4,0.18,True
bin.174, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,311,106,19,kingdom,0.99,0.34,0.0,0.0,0.0,0.41,0.14,True
bin.175, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,255,118,32,kingdom,1.0,0.46,0.49,0.03,0.05,0.44,0.2,False
bin.178, k__Bacteria (UID203),5449,104,58, 59,44, 1,0, 0, 0, 65.86,1.72, 0.00,3594,3552,341,kingdom,1.0,0.99,0.0,0.0,0.0,0.94,0.93,True
bin.18,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,893,253,141,kingdom,1.0,0.28,0.0,0.0,0.0,0.37,0.1,True
bin.184, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,619,176,54,kingdom,0.99,0.28,0.0,0.0,0.0,0.43,0.12,True
bin.185, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,627,314,50,kingdom,1.0,0.5,0.31,0.1,0.22,0.46,0.23,True
bin.186, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,454,166,43,kingdom,1.0,0.37,0.0,0.06,0.13,0.41,0.15,True
bin.188, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,243,66,31,kingdom,1.0,0.27,0.0,0.0,0.0,0.41,0.11,True
bin.19,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,651,288,98,kingdom,1.0,0.44,0.09,0.03,0.06,0.41,0.18,True
bin.190, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,380,66,29,kingdom,1.0,0.17,0.0,0.08,0.16,0.4,0.07,True
bin.193, k__Bacteria (UID203),5449,104,58,103,1,0,0, 0, 0,0.16,0.00, 0.00,797,280,72,kingdom,1.0,0.35,0.0,0.0,0.0,0.47,0.16,True
