,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0,o__Bacteroidales (UID2657), 160, 491, 268, 58, 427,6,0, 0, 0, 92.21,1.52,83.33,2355,2241,225,genus,0.95,0.9,0.2,0.03,0.06,0.79,0.71,True
bin.1,g__Lactobacillus (UID377), 91, 430, 154,315, 115,0,0, 0, 0, 24.52,0.00, 0.00,594,585,126,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True
bin.10,o__Selenomonadales (UID1024), 64, 334, 167, 1,327,6,0, 0, 0, 99.85,2.47,33.33,1843,1719,75,family,0.89,0.83,0.24,0.06,0.13,0.76,0.63,True
bin.101, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,680,361,46,order,0.77,0.41,0.65,0.36,1.2,0.6,0.25,False
bin.102,o__Clostridiales (UID1375),50, 332, 124,279,51,2,0, 0, 0, 10.35,1.61, 0.00,238,230,67,family,0.9,0.87,0.63,0.44,1.52,0.77,0.67,False
bin.106, k__Bacteria (UID203),5449,104,58, 95,9, 0,0, 0, 0,2.98,0.00, 0.00,484,203,23,kingdom,0.98,0.41,0.0,0.0,0.0,0.42,0.17,True
bin.11,root (UID1), 5656, 56,24, 55,1, 0,0, 0, 0,4.17,0.00, 0.00,302,296,84,genus,0.88,0.86,0.76,0.07,0.16,0.89,0.77,False
bin.110, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,285,255,41,genus,0.88,0.79,0.34,0.34,1.09,0.74,0.58,True
bin.12,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,398,340,38,genus,0.78,0.67,0.37,0.47,1.68,0.74,0.49,True
bin.121,p__Bacteroidetes (UID2605), 350, 316, 210, 8,308,0,0, 0, 0, 96.43,0.00, 0.00,2030,1923,102,genus,0.87,0.83,0.11,0.47,1.7,0.65,0.53,True
bin.126, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,222,133,37,phylum,1.0,0.6,0.36,0.12,0.28,0.58,0.35,True
bin.13,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,283,225,29,class,0.94,0.75,0.84,0.09,0.18,0.67,0.5,False
bin.14, o__Bacteroidales (UID2657), 160, 491, 268, 80, 401,10, 0, 0, 0, 88.57,2.15,60.00,2132,2046,193,family,0.94,0.9,0.31,0.06,0.12,0.8,0.72,True
bin.140, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,212,90,8,kingdom,1.0,0.42,0.0,0.07,0.14,0.45,0.19,True
bin.144, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,355,247,40,phylum,0.99,0.69,0.84,0.45,1.12,0.56,0.38,False
bin.15, o__Bacteroidales (UID2657), 160, 492, 269, 6,486,0,0, 0, 0, 98.02,0.00, 0.00,2105,1919,174,family,0.93,0.85,0.3,0.14,0.31,0.72,0.61,True
