sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	OTU_97.41539.0	OTU_97.41539.0	1.0	1.0	1450934	1450934	1450934	1.0	1.0	2833	2833	2833
gsa	OTU_97.3084.0	OTU_97.3084.0	1.0	1.0	1413322	1413322	1413322	1.0	1.0	2748	2748	2748
gsa	OTU_97.26884.0	OTU_97.26884.0	1.0	1.0	1217674	1217674	1217674	1.0	1.0	4071	4071	4071
gsa	OTU_97.29395.1	OTU_97.29395.1	1.0	1.0	1166525	1166525	1166525	1.0	1.0	3244	3244	3244
gsa	OTU_97.142.0	OTU_97.142.0	1.0	1.0	3641186	3641186	3641186	1.0	1.0	1734	1734	1734
gsa	OTU_97.6715.0	OTU_97.6715.0	1.0	1.0	2949024	2949024	2949024	1.0	1.0	5851	5851	5851
gsa	OTU_97.30063.0	OTU_97.30063.0	1.0	1.0	1409324	1409324	1409324	1.0	1.0	2780	2780	2780
gsa	OTU_97.14504.1	OTU_97.14504.1	1.0	1.0	1501163	1501163	1501163	1.0	1.0	2923	2923	2923
gsa	OTU_97.42986.0	OTU_97.42986.0	1.0	1.0	2522122	2522122	2522122	1.0	1.0	2035	2035	2035
gsa	OTU_97.4910.0	OTU_97.4910.0	1.0	1.0	1242856	1242856	1242856	1.0	1.0	2387	2387	2387
gsa	OTU_97.30373.0	OTU_97.30373.0	1.0	1.0	1772624	1772624	1772624	1.0	1.0	3471	3471	3471
gsa	OTU_97.43496.0	OTU_97.43496.0	1.0	1.0	2044107	2044107	2044107	1.0	1.0	555	555	555
gsa	OTU_97.44294.0	OTU_97.44294.0	1.0	1.0	1890339	1890339	1890339	1.0	1.0	567	567	567
gsa	OTU_97.32296.1	OTU_97.32296.1	1.0	1.0	880371	880371	880371	1.0	1.0	2802	2802	2802
gsa	OTU_97.35311.1	OTU_97.35311.1	1.0	1.0	1307169	1307169	1307169	1.0	1.0	2744	2744	2744
gsa	OTU_97.43059.1	OTU_97.43059.1	1.0	1.0	1896811	1896811	1896811	1.0	1.0	4072	4072	4072
gsa	OTU_97.8721.0	OTU_97.8721.0	1.0	1.0	1596929	1596929	1596929	1.0	1.0	3291	3291	3291
gsa	OTU_97.25254.0	OTU_97.25254.0	1.0	1.0	1305060	1305060	1305060	1.0	1.0	2538	2538	2538
gsa	OTU_97.976.0	OTU_97.976.0	1.0	1.0	1641809	1641809	1641809	1.0	1.0	3214	3214	3214
gsa	OTU_97.35498.0	OTU_97.35498.0	1.0	1.0	1645668	1645668	1645668	1.0	1.0	3211	3211	3211
gsa	OTU_97.42543.0	OTU_97.42543.0	1.0	1.0	278361	278361	278361	1.0	1.0	1101	1101	1101
gsa	OTU_97.44725.0	OTU_97.44725.0	1.0	1.0	1273057	1273057	1273057	1.0	1.0	2500	2500	2500
gsa	OTU_97.38269.0	OTU_97.38269.0	1.0	1.0	2464290	2464290	2464290	1.0	1.0	682	682	682
gsa	OTU_97.34565.0	OTU_97.34565.0	1.0	1.0	2023409	2023409	2023409	1.0	1.0	1599	1599	1599
gsa	OTU_97.38092.0	OTU_97.38092.0	1.0	1.0	2198747	2198747	2198747	1.0	1.0	211	211	211
gsa	OTU_97.35088.0	OTU_97.35088.0	1.0	1.0	1564433	1564433	1564433	1.0	1.0	1275	1275	1275
gsa	OTU_97.45058.0	OTU_97.45058.0	1.0	1.0	1565873	1565873	1565873	1.0	1.0	1216	1216	1216
gsa	OTU_97.44484.0	OTU_97.44484.0	1.0	1.0	1643943	1643943	1643943	1.0	1.0	1325	1325	1325
gsa	OTU_97.1626.0	OTU_97.1626.0	1.0	1.0	1240839	1240839	1240839	1.0	1.0	2420	2420	2420
gsa	OTU_97.18445.0	OTU_97.18445.0	1.0	1.0	1893063	1893063	1893063	1.0	1.0	3108	3108	3108
gsa	OTU_97.29.0	OTU_97.29.0	1.0	1.0	6979989	6979989	6979989	1.0	1.0	659	659	659
gsa	OTU_97.45114.0	OTU_97.45114.0	1.0	1.0	2140600	2140600	2140600	1.0	1.0	1715	1715	1715
gsa	OTU_97.34560.0	OTU_97.34560.0	1.0	1.0	1804729	1804729	1804729	1.0	1.0	1444	1444	1444
gsa	OTU_97.57.0	OTU_97.57.0	1.0	1.0	2109766	2109766	2109766	1.0	1.0	4127	4127	4127
gsa	OTU_97.42067.0	OTU_97.42067.0	1.0	1.0	1305198	1305198	1305198	1.0	1.0	2560	2560	2560
gsa	OTU_97.27554.1	OTU_97.27554.1	1.0	1.0	967260	967260	967260	1.0	1.0	3530	3530	3530
gsa	OTU_97.37453.0	OTU_97.37453.0	1.0	1.0	1690924	1690924	1690924	1.0	1.0	3209	3209	3209
gsa	OTU_97.1292.0	OTU_97.1292.0	1.0	1.0	1391115	1391115	1391115	1.0	1.0	2681	2681	2681
gsa	OTU_97.35107.0	OTU_97.35107.0	1.0	1.0	1371647	1371647	1371647	1.0	1.0	2700	2700	2700
gsa	OTU_97.23667.0	OTU_97.23667.0	1.0	1.0	1955587	1955587	1955587	1.0	1.0	1928	1928	1928
gsa	OTU_97.23668.1	OTU_97.23668.1	1.0	1.0	1577478	1577478	1577478	1.0	1.0	3237	3237	3237
gsa	OTU_97.25442.0	OTU_97.25442.0	1.0	1.0	1961650	1961650	1961650	1.0	1.0	1548	1548	1548
gsa	OTU_97.8703.1	OTU_97.8703.1	1.0	1.0	217401	217401	217401	1.0	1.0	888	888	888
gsa	OTU_97.24.0	OTU_97.24.0	1.0	1.0	2028232	2028232	2028232	1.0	1.0	1595	1595	1595
gsa	OTU_97.43007.0	OTU_97.43007.0	1.0	1.0	1005735	1005735	1005735	1.0	1.0	2989	2989	2989
gsa	OTU_97.30766.1	OTU_97.30766.1	1.0	1.0	72001	72001	72001	1.0	1.0	299	299	299
gsa	OTU_97.6092.0	OTU_97.6092.0	1.0	1.0	1701975	1701975	1701975	1.0	1.0	3384	3384	3384
gsa	OTU_97.34522.0	OTU_97.34522.0	1.0	1.0	2007244	2007244	2007244	1.0	1.0	353	353	353
gsa	OTU_97.23190.0	OTU_97.23190.0	1.0	1.0	1661524	1661524	1661524	1.0	1.0	3208	3208	3208
gsa	OTU_97.837.0	OTU_97.837.0	1.0	1.0	1770103	1770103	1770103	1.0	1.0	868	868	868
gsa	OTU_97.8721.1	OTU_97.8721.1	1.0	1.0	168715	168715	168715	1.0	1.0	662	662	662
gsa	OTU_97.29547.1	OTU_97.29547.1	1.0	1.0	1140961	1140961	1140961	1.0	1.0	2857	2857	2857
