,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
maxbin2.001, k__Bacteria (UID203),5449,104,58, 87,17,0,0,0,0, 24.48,0.00, 0.00,648,620,77,family,0.98,0.94,0.53,0.07,0.14,0.93,0.87,False
maxbin2.002, k__Bacteria (UID203),5449,104,58, 86,18,0,0,0,0, 27.59,0.00, 0.00,680,645,72,genus,0.98,0.93,0.54,0.02,0.05,0.94,0.87,False
maxbin2.003, k__Bacteria (UID203),5449,104,58, 87,17,0,0,0,0, 25.86,0.00, 0.00,636,574,67,order,0.96,0.86,1.0,0.02,0.04,0.9,0.78,False
maxbin2.004, k__Bacteria (UID203),5449,104,58, 98,6, 0,0,0,0,6.90,0.00, 0.00,392,372,70,family,0.97,0.92,0.46,0.05,0.11,0.88,0.81,False
maxbin2.005, g__Prevotella (UID2721),65, 530, 280,445,83,1,1,0,0,8.23,0.71,50.00,556,492,99,phylum,0.99,0.88,1.0,0.05,0.09,0.81,0.71,False
maxbin2.006, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,588,487,139,phylum,0.99,0.82,0.9,0.16,0.39,0.73,0.6,False
maxbin2.007,o__Bacteroidales (UID2657), 160, 492, 269,442,50,0,0,0,0,4.37,0.00, 0.00,674,592,188,phylum,0.98,0.86,0.89,0.04,0.08,0.79,0.68,False
maxbin2.008,o__Bacteroidales (UID2657), 160, 491, 268,396,95,0,0,0,0, 11.42,0.00, 0.00,751,662,197,phylum,1.0,0.88,0.88,0.13,0.31,0.76,0.67,False
maxbin2.009,k__Bacteria (UID2329),174, 149,89, 92,57,0,0,0,0, 15.73,0.00, 0.00,550,404,69,phylum,0.95,0.7,0.92,0.55,1.69,0.67,0.47,False
maxbin2.010, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,924,676,131,phylum,0.96,0.7,0.49,0.16,0.38,0.63,0.44,False
maxbin2.011,o__Bacteroidales (UID2657), 160, 491, 268,258, 223,10, 0,0,0, 49.16,2.21,30.00,1605,1481,177,phylum,1.0,0.92,0.97,0.09,0.2,0.78,0.72,False
maxbin2.012,k__Bacteria (UID2329),174, 149,89, 57,87,5,0,0,0, 84.27,4.49, 0.00,2000,1832,89,phylum,0.98,0.9,0.56,0.11,0.24,0.7,0.63,False
maxbin2.013,o__Bacteroidales (UID2657), 160, 491, 268,323, 164,3,1,0,0, 34.25,1.03, 0.00,1344,1199,192,phylum,0.99,0.89,0.93,0.11,0.26,0.77,0.68,False
maxbin2.014,k__Bacteria (UID2372),131, 177, 106, 13, 157,6,1,0,0, 91.98,1.89,44.44,1977,1714,100,class,0.95,0.82,0.11,0.28,0.77,0.6,0.5,True
maxbin2.015, k__Bacteria (UID203),5449,104,58, 98,6, 0,0,0,0,8.62,0.00, 0.00,1219,1046,217,phylum,0.99,0.85,0.68,0.09,0.2,0.71,0.61,False
maxbin2.016,g__Lactobacillus (UID377), 91, 430, 154,175, 249,6,0,0,0, 63.74,1.75, 0.00,1760,1598,150,phylum,0.96,0.88,0.95,0.2,0.48,0.86,0.75,False
maxbin2.017, p__Proteobacteria (UID3887), 1487,255, 158, 27, 225,3,0,0,0, 88.61,0.74, 0.00,2143,2010,154,phylum,1.0,0.94,0.93,0.09,0.21,0.95,0.88,False
maxbin2.018, k__Bacteria (UID203),5449,104,58, 96,8, 0,0,0,0, 12.07,0.00, 0.00,2039,1626,390,phylum,0.98,0.78,0.92,0.37,1.12,0.7,0.55,False
maxbin2.019,g__Lactobacillus (UID377), 91, 430, 154,213, 216,1,0,0,0, 47.03,0.13, 0.00,1237,1151,56,class,0.97,0.9,0.97,0.04,0.07,0.9,0.81,False
