sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	30	1030905	0.6684149209183081	1.0	4655692	3111934	3111934	0.036016949152542374	1.0	472	17	17
gsa	46	1030869	0.8342901021737759	1.0	1838828	1534116	1534116	0.04054054054054054	1.0	148	6	6
gsa	78	1030896	0.4635782327964979	1.0	6440956	2985887	2985887	0.17391304347826086	1.0	115	20	20
gsa	91	1052950	0.333544843727336	0.9997811371142818	16270280	5426868	5428056	0.11326530612244898	0.9823008849557522	980	111	113
gsa	118	1285_BF	0.983892663428647	0.9995929488956459	4233040	4164857	4166553	0.18604651162790697	0.8888888888888888	43	8	9
gsa	77	1036629	0.9993262476021743	0.9995683682323906	2456392	2454737	2455797	0.9935897435897436	0.9935897435897436	156	155	156
gsa	42	1286_BD	0.9895604445909324	0.9993913852112221	3058272	3026345	3028188	0.43333333333333335	0.8125	30	13	16
gsa	56	1285_AC	0.4994845307237015	0.9992397295609439	6925728	3459294	3461926	0.425	0.7727272727272727	40	17	22
gsa	59	1220_E	0.9701781728374256	0.9991994222657559	7500077	7276411	7282241	0.45161290322580644	0.7777777777777778	62	28	36
gsa	34	1036701	0.9176441982513046	0.999035201700625	2430612	2230437	2232591	0.3176470588235294	0.9642857142857143	170	54	56
gsa	41	1287_BN	0.9651277700586106	0.9989920377080145	4919932	4748363	4753154	0.1702127659574468	0.5517241379310345	94	16	29
gsa	25	1035981	0.4626629008155945	0.9989041798201779	4413345	2041891	2044131	0.05132743362831858	0.9666666666666667	565	29	30
gsa	116	1035939	0.9183793224934897	0.9986937614295875	1739939	1597924	1600014	0.0875	0.875	80	7	8
gsa	7	evo_1035921.007	0.8389075373158891	0.9986694013044556	3706598	3109493	3113636	0.0744336569579288	0.92	309	23	25
gsa	9	1035993	0.948173504863491	0.9985947933471104	2936471	2784284	2788202	0.8648648648648649	0.9411764705882353	37	32	34
gsa	13	1036782	0.9394279647714153	0.9984178400367162	3121556	2932477	2937124	0.2898550724637681	0.9090909090909091	69	20	22
gsa	120	1286_AF	0.968324838689711	0.9983504260771608	4927615	4771532	4779416	0.32075471698113206	0.5862068965517241	53	17	29
gsa	33	1030881	0.8782167874925436	0.9983382043399912	3753473	3296363	3301850	0.15625	0.9523809523809523	128	20	21
gsa	21	1285_CG	0.923119869792725	0.9978795018061469	4035412	3725169	3733085	0.10869565217391304	0.7142857142857143	92	10	14
gsa	76	1220_A	0.43527133470769785	0.9977104846563167	8864218	3858340	3867194	0.16091954022988506	0.6086956521739131	87	14	23
gsa	69	1053055	0.8980027159034841	0.9968934930078723	5579727	5010610	5026224	0.13333333333333333	0.926829268292683	285	38	41
gsa	114	1036803	0.6760054021450961	0.9966569685251931	7613272	5146613	5163876	0.04967602591792657	0.7419354838709677	463	23	31
gsa	11	1036635	0.5516353787330567	0.9966038272724909	5904779	3257285	3268385	0.13358778625954199	0.9459459459459459	262	35	37
gsa	87	1021_AS	0.9312402731113388	0.9964910166151189	5966065	5555840	5575404	0.15789473684210525	0.65625	133	21	32
gsa	15	1220_AX	0.8916071369498493	0.9962335668813802	4745949	4231522	4247520	0.05555555555555555	0.5384615384615384	126	7	13
gsa	105	1035969	0.8125408772032983	0.9958816265607091	4421780	3592877	3607735	0.14383561643835616	0.9130434782608695	292	42	46
gsa	66	1049032	0.6694464281015027	0.9949214473186269	6687984	4477247	4500101	0.055415617128463476	0.88	397	22	25
gsa	29	1139_CJ	0.9935847671924852	0.9948594697096511	4665614	4635683	4659636	0.5454545454545454	0.4	22	12	30
gsa	84	evo_1286_G.010	0.7052765559085247	0.9948101938684806	4428779	3123514	3139809	0.0365296803652968	0.7619047619047619	438	16	21
gsa	26	1287_W	0.7697684889375916	0.9946993308745974	5437062	4185279	4207582	0.06868131868131869	0.6410256410256411	364	25	39
gsa	106	1036695	0.932647578604652	0.9930398928152343	3609551	3366439	3390034	0.1794871794871795	0.875	117	21	24
gsa	12	1021_AP	0.8025708377035999	0.9918590672246619	8251785	6622642	6676999	0.14864864864864866	0.6197183098591549	296	44	71
gsa	54	1036683	0.684462946986853	0.9906279058993273	6997717	4789678	4834992	0.09436274509803921	0.9390243902439024	816	77	82
gsa	14	1286_BV	0.4534785251798788	0.9893237985519956	9517798	4316117	4362694	0.03885135135135135	0.4791666666666667	592	23	48
