sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S20/output_recluster_bins/bin.73.fa	OTU_97.35048.0	0.9027252120397532	1.0	2840623	2564302	2564302	0.07954545454545454	1.0	88	7	7
gsa	S20/output_recluster_bins/bin.7.fa	OTU_97.34663.1	0.6474997722614994	1.0	4105586	2658366	2658366	0.004651162790697674	1.0	215	1	1
gsa	S20/output_recluster_bins/recluster_145.bin.0.fa	OTU_97.119.0	1.0	1.0	1924501	1924501	1924501	1.0	1.0	1	1	1
gsa	S20/output_recluster_bins/recluster_16.bin.2.fa	OTU_97.31175.0	0.5493510610721951	1.0	4255177	2337586	2337586	0.007633587786259542	1.0	131	1	1
gsa	S20/output_recluster_bins/recluster_21.bin.0.fa	OTU_97.34817.0	0.8910669685825329	1.0	2872765	2559826	2559826	0.08450704225352113	1.0	71	6	6
gsa	S20/output_recluster_bins/recluster_0.bin.4.fa	OTU_97.35010.0	0.8610295723016744	1.0	3274855	2819747	2819747	0.027777777777777776	1.0	36	1	1
gsa	S20/output_recluster_bins/bin.38.fa	OTU_97.29637.1	0.8583532037054397	1.0	2837558	2435627	2435627	0.008	1.0	125	1	1
gsa	S20/output_recluster_bins/bin.109.fa	OTU_97.30055.0	0.9700657511053272	1.0	2726342	2644731	2644731	0.3611111111111111	1.0	36	13	13
gsa	S20/output_recluster_bins/recluster_145.bin.1.fa	OTU_97.36161.1	1.0	1.0	3433006	3433006	3433006	1.0	1.0	1	1	1
gsa	S20/output_recluster_bins/recluster_60.bin.0.fa	OTU_97.34382.0	0.9521200290032907	1.0	2689350	2560584	2560584	0.1956521739130435	1.0	46	9	9
gsa	S20/output_recluster_bins/recluster_60.bin.1.fa	OTU_97.44237.0	0.9506134397571165	1.0	2752267	2616342	2616342	0.08823529411764706	1.0	34	3	3
gsa	S20/output_recluster_bins/recluster_79.bin.0.fa	OTU_97.39280.0	0.9849847043535226	1.0	4205445	4142299	4142299	0.8333333333333334	1.0	30	25	25
gsa	S20/output_recluster_bins/recluster_47.bin.1.fa	OTU_97.37297.0	0.589092344519178	1.0	4547265	2678759	2678759	0.011594202898550725	1.0	345	4	4
gsa	S20/output_recluster_bins/recluster_15.bin.0.fa	OTU_97.34821.0	0.9165612468758364	1.0	3090027	2832199	2832199	0.05660377358490566	1.0	53	3	3
gsa	S20/output_recluster_bins/bin.146.fa	OTU_97.588.0	1.0	1.0	3871802	3871802	3871802	1.0	1.0	3	3	3
gsa	S20/output_recluster_bins/recluster_9.bin.1.fa	OTU_97.44239.1	0.6007597867620389	1.0	3793696	2279100	2279100	0.004608294930875576	1.0	217	1	1
gsa	S20/output_recluster_bins/bin.111.fa	OTU_97.31367.0	1.0	1.0	1986460	1986460	1986460	1.0	1.0	12	12	12
