sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.097.fasta	1036785	0.9898324060980525	1.0	5032164	4980999	4980999	0.9	1.0	30	27	27
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.002.fasta	1030896	0.785706805015241	1.0	3800256	2985887	2985887	0.20202020202020202	1.0	99	20	20
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.096.fasta	1030740	0.9982556293647573	1.0	3263068	3257376	3257376	0.9393939393939394	1.0	33	31	31
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.039.fasta	1049035	0.656647650287327	1.0	4804630	3154949	3154949	0.7692307692307693	1.0	39	30	30
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.027.fasta	1030905	0.7567559286348461	1.0	4112203	3111934	3111934	0.2463768115942029	1.0	69	17	17
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.110.fasta	1048939	1.0	0.9999049907898545	2957327	2957327	2957608	1.0	0.9565217391304348	22	22	23
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.069.fasta	1285_BF	0.5151200660563676	0.9995929488956459	8085216	4164857	4166553	0.3333333333333333	0.8888888888888888	24	8	9
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.088.fasta	1220_E	0.9836172871123748	0.9994400075471274	7399385	7278163	7282241	0.7435897435897436	0.8055555555555556	39	29	36
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.113.fasta	1287_BN	0.9644982889995274	0.9989920377080145	4923143	4748363	4753154	0.34782608695652173	0.5517241379310345	46	16	29
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.009.fasta	1036704	0.9847985310139467	0.9988662849874306	4210251	4146249	4150955	0.8539325842696629	0.9620253164556962	89	76	79
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.100.fasta	1035939	0.9779527867471914	0.9986937614295875	1633948	1597924	1600014	0.5384615384615384	0.875	13	7	8
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.046.fasta	1286_AF	0.9825263245895975	0.9983504260771608	4856391	4771532	4779416	0.4722222222222222	0.5862068965517241	36	17	29
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.082.fasta	1030881	0.998871544901695	0.9983382043399912	3300087	3296363	3301850	0.9090909090909091	0.9523809523809523	22	20	21
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.038.fasta	1285_CG	1.0	0.9982100595084227	3726403	3726403	3733085	1.0	0.7857142857142857	11	11	14
