,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
106, s__algicola (UID2847), 33, 496, 263, 61, 435, 0,0, 0, 0, 97.34,0.00, 0.00,3001,2913,33,class,0.98,0.95,0.02,0.08,0.17,0.71,0.67,True
10961,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,485,219,30,kingdom,1.0,0.45,0.14,0.06,0.13,0.39,0.18,True
11172,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1590,721,147,kingdom,1.0,0.45,0.46,0.07,0.14,0.5,0.23,False
13819,k__Bacteria (UID203),5449,104,58, 96,8,0,0, 0, 0, 12.07,0.00, 0.00,255,254,20,kingdom,1.0,1.0,0.0,0.0,0.0,0.98,0.98,True
177,c__Gammaproteobacteria (UID4443),356, 451, 270, 34, 414, 3,0, 0, 0, 95.56,0.62, 0.00,2793,2735,57,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True
1873, c__Gammaproteobacteria (UID4444),263, 503, 230, 1,496, 5,1, 0, 0, 99.78,2.50,12.50,4410,4123,166,class,0.95,0.89,0.49,0.04,0.08,0.92,0.81,False
208, s__algicola (UID2847), 33, 496, 263, 8,487, 1,0, 0, 0, 97.34,0.19, 0.00,2965,2883,30,kingdom,1.0,0.97,0.0,0.0,0.0,0.9,0.87,True
2507,o__Sphingomonadales (UID3310), 26, 569, 293, 63, 499, 7,0, 0, 0, 93.45,0.75,85.71,2425,2416,211,kingdom,1.0,1.0,0.0,0.0,0.0,0.97,0.97,True
2596, c__Alphaproteobacteria (UID3305),564, 349, 230,108, 239, 2,0, 0, 0, 75.25,0.87, 0.00,1556,1291,102,class,0.91,0.75,0.1,0.1,0.22,0.52,0.39,True
2868, c__Betaproteobacteria (UID3959), 235, 419, 211, 59, 357, 3,0, 0, 0, 85.92,0.95, 0.00,2706,2653,195,family,0.82,0.81,0.32,0.13,0.32,0.71,0.58,True
316, k__Bacteria (UID2565),2921,143,88, 6,137, 0,0, 0, 0, 93.18,0.00, 0.00,3057,2415,95,phylum,0.86,0.68,0.04,0.55,2.37,0.46,0.31,True
3265, c__Alphaproteobacteria (UID3422), 26, 529, 308, 10, 515, 4,0, 0, 0, 98.72,0.54,25.00,3513,3436,44,kingdom,1.0,0.98,0.0,0.0,0.0,0.94,0.92,True
5772, k__Bacteria (UID203),5449,104,58, 62,17, 24, 1, 0, 0, 62.07, 40.52,96.30,6012,5844,348,family,0.95,0.93,0.27,0.04,0.09,0.92,0.85,True
6842, c__Gammaproteobacteria (UID4443),356, 448, 269, 90, 358, 0,0, 0, 0, 80.30,0.00, 0.00,2636,2597,102,kingdom,1.0,0.99,0.0,0.0,0.0,0.97,0.96,True
817,c__Alphaproteobacteria (UID3305),564, 349, 230, 60, 287, 2,0, 0, 0, 94.35,0.65, 0.00,3613,3401,242,class,0.96,0.91,0.08,0.1,0.23,0.59,0.54,True
9178,s__algicola (UID2846), 47, 571, 303, 91, 470, 9,1, 0, 0, 84.07,2.38,33.33,3442,3369,311,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True
9788,o__Rhodospirillales (UID3754), 63, 336, 201,145, 191, 0,0, 0, 0, 54.92,0.00, 0.00,2425,2339,242,kingdom,1.0,0.96,0.0,0.0,0.0,0.84,0.81,True
