sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	metabat2_medium_500/bin.19.fa	1220_AX	1.0	0.9978194334576411	4238258	4238258	4247520	1.0	0.6153846153846154	8	8	13
gsa	metabat2_medium_500/bin.17.fa	1285_BO	0.3400196747723087	0.9970495527847804	10472294	3560786	3571323	0.24390243902439024	0.5263157894736842	41	10	19
gsa	metabat2_medium_500/bin.65.fa	1139_T	0.33405005539245436	0.9963984315487324	16465239	5500214	5520095	0.10679611650485436	0.5	206	22	44
gsa	metabat2_medium_500/bin.7.fa	1048966	1.0	0.9959622793320468	3651621	3651621	3666425	1.0	0.8333333333333334	25	25	30
gsa	metabat2_medium_500/bin.79.fa	1021_C	0.5001191595093809	0.9958544197310014	18361942	9183159	9221387	0.4426229508196721	0.5934065934065934	122	54	91
gsa	metabat2_medium_500/bin.101.fa	1021_AS	1.0	0.99542436745391	5549893	5549893	5575404	1.0	0.53125	17	17	32
gsa	metabat2_medium_500/bin.29.fa	1287_N	1.0	0.9932545949602835	4455904	4455904	4486165	1.0	0.5714285714285714	28	28	49
gsa	metabat2_medium_500/bin.69.fa	evo_1139_Y.018	1.0	0.9919105325858608	7232963	7232963	7291951	1.0	0.5217391304347826	48	48	92
gsa	metabat2_medium_500/bin.108.fa	1286_BD	0.3404060560050902	0.9916567267289877	8821591	3002923	3028188	0.23333333333333334	0.4375	30	7	16
gsa	metabat2_medium_500/bin.41.fa	1286_Y	0.5000472123503832	0.9909396112886604	7614533	3807626	3842440	0.48	0.631578947368421	25	12	19
gsa	metabat2_medium_500/bin.36.fa	1053025	0.9910928649821331	0.9903360443299646	3759458	3725972	3762331	0.9459459459459459	0.7446808510638298	37	35	47
gsa	metabat2_medium_500/bin.1.fa	1021_P	1.0	0.9885421334768466	4347807	4347807	4398201	1.0	0.26666666666666666	8	8	30
gsa	metabat2_medium_500/bin.142.fa	1053022	1.0	0.9868221441396692	3635586	3635586	3684135	1.0	0.65	26	26	40
gsa	metabat2_medium_500/bin.6.fa	evo_1139_Y.035	1.0	0.985017788798146	7045651	7045651	7152816	1.0	0.6709677419354839	104	104	155
gsa	metabat2_medium_500/bin.2.fa	1220_AR	1.0	0.9804083286758599	4403004	4403004	4490990	1.0	0.24242424242424243	8	8	33
gsa	metabat2_medium_500/bin.84.fa	1053028	1.0	0.9801360732097237	3690820	3690820	3765620	1.0	0.7777777777777778	21	21	27
gsa	metabat2_medium_500/bin.97.fa	1053037	0.976966098724664	0.9789786266818199	2733319	2670360	2727700	0.8984375	0.8646616541353384	128	115	133
gsa	metabat2_medium_500/bin.109.fa	1139_B	1.0	0.9755692780040522	4514560	4514560	4627616	1.0	0.4883720930232558	21	21	43
gsa	metabat2_medium_500/bin.129.fa	evo_1035921.007	0.5073365243006883	0.9733960552871306	5973946	3030801	3113636	0.21686746987951808	0.72	83	18	25
gsa	metabat2_medium_500/bin.23.fa	1220_BD	0.5047783271655362	0.9718155387743965	14013377	7073649	7278798	0.5	0.5465116279069767	94	47	86
gsa	metabat2_medium_500/bin.57.fa	evo_1035921.028	1.0	0.9715700976675352	3058628	3058628	3148129	1.0	0.6521739130434783	15	15	23
gsa	metabat2_medium_500/bin.8.fa	evo_1035921.030	1.0	0.9713352432478555	3028057	3028057	3117417	1.0	0.6521739130434783	15	15	23
gsa	metabat2_medium_500/bin.32.fa	1021_AQ	1.0	0.9665417039187325	5490820	5490820	5680893	1.0	0.40350877192982454	23	23	57
gsa	metabat2_medium_500/bin.26.fa	1052974	0.8510115723323376	0.9654950151508791	4134603	3518595	3644343	0.925531914893617	0.7435897435897436	94	87	117
gsa	metabat2_medium_500/bin.12.fa	1035921	0.9971736479365202	0.9643083168889548	2718345	2710662	2810991	0.9285714285714286	0.5909090909090909	14	13	22
gsa	metabat2_medium_500/bin.123.fa	evo_1030728.011	1.0	0.9640330075921286	2419692	2419692	2509968	1.0	0.7878787878787878	52	52	66
gsa	metabat2_medium_500/bin.107.fa	1287_BD	1.0	0.9517860515351778	4087153	4087153	4294193	1.0	0.5454545454545454	12	12	22
