sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.9.fa	OTU_97.29545.0	0.506034243140014	1.0	4212873	2131858	2131858	0.007194244604316547	1.0	139	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.20.fa	OTU_97.17727.0	1.0	1.0	2013443	2013443	2013443	1.0	1.0	3	3	3
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.33.fa	OTU_97.16209.0	0.11608751065373697	1.0	18758676	2177648	2177648	0.0011402508551881414	1.0	877	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.37.fa	OTU_97.22593.0	0.48309104043670376	1.0	3763833	1818274	1818274	0.004975124378109453	1.0	201	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.31.fa	OTU_97.39115.0	0.15697424407978028	1.0	13657559	2143885	2143885	0.003787878787878788	1.0	264	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.40.fa	OTU_97.45053.0	0.26533243802669426	1.0	7215405	1914481	1914481	0.0029069767441860465	1.0	344	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.46.fa	OTU_97.44958.0	0.3427407150211688	1.0	5163959	1769899	1769899	0.1111111111111111	1.0	9	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.25.fa	OTU_97.44228.0	0.7211782415469524	1.0	3066468	2211470	2211470	0.01	1.0	100	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.23.fa	OTU_97.44265.0	0.3723402449486362	1.0	5360879	1996071	1996071	0.01278772378516624	1.0	391	5	5
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.48.fa	OTU_97.34527.0	0.2222507092141026	1.0	9673031	2149838	2149838	0.002336448598130841	1.0	428	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.11.fa	OTU_97.44294.0	0.8464814955727573	1.0	2273537	1924507	1924507	0.013888888888888888	1.0	72	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.1.fa	OTU_97.20.0	1.0	1.0	2300987	2300987	2300987	1.0	1.0	1	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.51.fa	OTU_97.44160.0	1.0	1.0	2182000	2182000	2182000	1.0	1.0	5	5	5
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.52.fa	OTU_97.23667.1	0.7403431593017152	1.0	2928261	2167918	2167918	0.14285714285714285	1.0	7	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.55.fa	OTU_97.30766.0	0.3323341311822031	1.0	8328645	2767893	2767893	0.004761904761904762	1.0	210	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.15.fa	OTU_97.42502.0	1.0	1.0	1996069	1996069	1996069	1.0	1.0	2	2	2
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.5.fa	OTU_97.34726.0	0.30836368654565366	1.0	8202866	2529466	2529466	0.0017667844522968198	1.0	566	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.12.fa	OTU_97.42422.0	0.3224685898498737	1.0	6628351	2137435	2137435	0.004901960784313725	1.0	204	1	1
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.44.fa	OTU_97.1704.0	0.9967337769775957	0.9961505868632969	2495543	2487392	2497004	0.8333333333333334	0.8333333333333334	6	5	6
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.26.fa	OTU_97.18437.0	1.0	0.984544363877772	1984296	1984296	2015446	1.0	0.8571428571428571	6	6	7
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.22.fa	OTU_97.38313.0	0.9179644389024813	0.9586272764595823	3998583	3670557	3828972	0.8660287081339713	0.7605042016806722	418	362	476
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.24.fa	OTU_97.44265.1	1.0	0.9565562743502181	2394070	2394070	2502801	1.0	0.6	3	3	5
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.47.fa	OTU_97.26897.0	0.993286304505307	0.9496052956237242	2386763	2370739	2496552	0.9914893617021276	0.6873156342182891	235	233	339
gsa	/home1/pansj/CAMI2/Oral/short_read/whole/metabat2/output/S17_metabat2.35.fa	OTU_97.35197.0	1.0	0.94957202341392	1675931	1675931	1764933	1.0	0.7205240174672489	165	165	229
