sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	140	1220_F	0.48709042882958936	1.0	9703808	4726632	4726632	0.08791208791208792	1.0	91	8	8
gsa	271	1285_BX	0.9721322092040333	0.9997039736835377	3338406	3245372	3246333	0.4	0.8333333333333334	25	10	12
gsa	93	1287_BW	0.49953570880450604	0.9993809480405355	6848073	3420857	3422976	0.4	0.6666666666666666	15	6	9
gsa	550	1036662	0.9866115214495925	0.9991558108085439	3742845	3692734	3695854	0.7733333333333333	0.9666666666666667	75	58	60
gsa	278	1036686	0.9749774289969804	0.9990052232313477	4705152	4587417	4591985	0.9038461538461539	0.94	52	47	50
gsa	650	evo_1048987.032	0.9928683397145796	0.9989073955602494	3116946	3094717	3098102	0.6862745098039216	0.9210526315789473	51	35	38
gsa	540	1286_U	0.493195912783266	0.998669107344678	8101748	3995749	4001074	0.38666666666666666	0.7837837837837838	75	29	37
gsa	255	1286_CB	0.997447405223475	0.998380825582047	3964985	3954864	3961278	0.8333333333333334	0.7692307692307693	12	10	13
gsa	292	1285_AY	0.995651527992002	0.9983092351471194	4031991	4014458	4021257	0.65	0.7647058823529411	20	13	17
gsa	316	evo_1036686.006	0.9960883953777525	0.9983073539951962	4269092	4252393	4259603	0.86	0.9148936170212766	50	43	47
gsa	473	1286_AT	0.9870836699789532	0.9982360017316081	3590571	3544194	3550457	0.625	0.7142857142857143	8	5	7
gsa	125	1286_BP	0.875076505879244	0.9981793352285812	4537233	3970426	3977668	0.3333333333333333	0.5714285714285714	24	8	14
gsa	312	1285_BG	0.921553764261578	0.9981197084097977	3622583	3338405	3344694	0.25	0.7142857142857143	20	5	7
gsa	421	1286_BE	0.6486957565360818	0.9980053478698725	5449251	3534906	3541971	0.03488372093023256	0.6	172	6	10
gsa	207	evo_1036686.032	0.9926997145388832	0.9979987768986408	4665434	4631375	4640662	0.9056603773584906	0.9056603773584906	53	48	53
gsa	355	1139_O	0.9438014780497775	0.9979692421322351	2788810	2632083	2637439	0.6923076923076923	0.9	13	9	10
gsa	639	1286_AV	0.9990862238741229	0.9977929409011166	3891544	3887988	3896588	0.9090909090909091	0.625	11	10	16
gsa	655	1220_CE	0.9188622929712646	0.9975649843016293	4528055	4160659	4170815	0.5652173913043478	0.5416666666666666	23	13	24
gsa	371	evo_1036569.006	0.6256489187960557	0.9971549152783861	4989068	3121405	3130311	0.2698412698412698	0.7391304347826086	63	17	23
gsa	90	1287_AF	0.9873518105175965	0.9969595163517564	3597590	3552087	3562920	0.36	0.6	25	9	15
gsa	114	1287_BG	0.4875613687727881	0.9969528215087871	9783070	4769847	4784426	0.20481927710843373	0.6296296296296297	83	17	27
gsa	567	evo_1036686.005	0.944065621073976	0.9957965263467766	4478927	4228401	4246250	0.6935483870967742	0.8958333333333334	62	43	48
gsa	640	1220_AS	0.9673526998635545	0.9945361102352419	2680191	2592690	2606934	0.16666666666666666	0.3333333333333333	24	4	12
gsa	552	1220_H	0.9618595782593067	0.9944942785373322	6999372	6732413	6769685	0.7155172413793104	0.6916666666666667	116	83	120
gsa	577	evo_1036569.014	0.979085919650556	0.9943731845889501	3177620	3111163	3128768	0.3783783783783784	0.6086956521739131	37	14	23
gsa	121	1053013	0.9927117136704984	0.9934049046903667	7381845	7328044	7376694	0.875	0.9130434782608695	24	21	23
gsa	276	1285_U	0.8728331871799253	0.9922476657942928	5693789	4969728	5008556	0.23076923076923078	0.5625	78	18	32
gsa	363	evo_1036569.020	0.9543135034548418	0.9913724662570864	3327504	3175482	3203117	0.41935483870967744	0.5652173913043478	31	13	23
gsa	291	evo_1030719.009	0.9738000803629069	0.9912119219636119	5086924	4953647	4997566	0.7384615384615385	0.7741935483870968	65	48	62
gsa	155	1048987	0.9551559187292944	0.9909265275487273	3202630	3059011	3087021	0.43548387096774194	0.7105263157894737	62	27	38
gsa	281	1287_AL	0.6370675371685124	0.9899439525661367	7451334	4747003	4795224	0.45	0.48	80	36	75
gsa	607	1286_BF	0.816643005770012	0.9899339700459339	5995828	4896451	4946240	0.2857142857142857	0.56	49	14	25
gsa	228	evo_1048963.008	0.8867865735653138	0.9895346246759847	5770199	5116935	5171052	0.4166666666666667	0.8571428571428571	72	30	35
gsa	644	evo_1036569.038	0.9132949520615626	0.9894831757384364	3669498	3351334	3386954	0.475	0.6785714285714286	40	19	28
gsa	403	evo_1048987.039	0.9589228949818414	0.9877416465024599	3099902	2972567	3009458	0.5555555555555556	0.6578947368421053	45	25	38
gsa	319	evo_1048963.038	0.6511012975785974	0.9874828399251608	8037201	5233032	5299365	0.4461538461538462	0.8055555555555556	65	29	36
gsa	417	evo_1036569.031	0.9563260932918631	0.9867137760987341	3479446	3327485	3372290	0.36363636363636365	0.5714285714285714	44	16	28
gsa	82	1053007	0.9949924730528671	0.9867021349359169	7249287	7212986	7310196	0.8307692307692308	0.8181818181818182	65	54	66
gsa	438	1286_CR	0.9106140020620672	0.9866693815089845	4571141	4162545	4218784	0.28	0.5185185185185185	50	14	27
gsa	199	1036569	0.974872985117606	0.9859272219321885	3583832	3493781	3543650	0.40540540540540543	0.5357142857142857	37	15	28
gsa	354	1048963	0.9380243778310801	0.9858981004794531	5533224	5190299	5264539	0.5471698113207547	0.8055555555555556	53	29	36
gsa	200	1286_BK	0.8967404169886153	0.9851970037048055	4672070	4189634	4252585	0.32786885245901637	0.5405405405405406	61	20	37
gsa	506	1286_Q	0.9953980270068885	0.9848643642912691	5921156	5893907	5984486	0.9791666666666666	0.6322869955156951	144	141	223
gsa	94	1287_BU	0.9884760984381409	0.9847026464793518	3937295	3891922	3952383	0.2972972972972973	0.6111111111111112	37	11	18
