sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	43	evo_1286_G.010	0.6214211766085332	0.9992626940046353	5048901	3137494	3139809	0.044009779951100246	0.8571428571428571	409	18	21
gsa	124	1286_BU	0.3864170801981263	0.9992252191012269	7592933	2934039	2936314	0.058823529411764705	0.8461538461538461	187	11	13
gsa	143	1053037	0.659652435969623	0.99730248927668	4123902	2720342	2727700	0.18759018759018758	0.9774436090225563	693	130	133
gsa	75	1285_BO	1.0	0.9970495527847804	3560786	3560786	3571323	1.0	0.5263157894736842	10	10	19
gsa	142	1286_BD	0.9996539392476275	0.9968522429915183	3019701	3018656	3028188	0.8888888888888888	0.5	9	8	16
gsa	100	1220_AX	0.9800718599821242	0.9962335668813802	4317563	4231522	4247520	0.25	0.5384615384615384	28	7	13
gsa	6	1048966	1.0	0.9959622793320468	3651621	3651621	3666425	1.0	0.8333333333333334	25	25	30
gsa	122	1021_AS	1.0	0.99542436745391	5549893	5549893	5575404	1.0	0.53125	17	17	32
gsa	93	1052977	0.987232239739316	0.9939682885268628	3625538	3579248	3600968	0.8333333333333334	0.8333333333333334	18	15	18
gsa	65	1053022	1.0	0.9860241277803338	3632646	3632646	3684135	1.0	0.6	24	24	40
gsa	58	1287_N	1.0	0.9847355146322081	4417686	4417686	4486165	1.0	0.5102040816326531	25	25	49
gsa	15	1220_AR	0.9945241365570975	0.9804083286758599	4427247	4403004	4490990	0.6153846153846154	0.24242424242424243	13	8	33
gsa	80	evo_1139_Y.018	0.9991556908814895	0.9786001030451247	7141934	7135904	7291951	0.9787234042553191	0.5	47	46	92
gsa	119	evo_1035921.007	1.0	0.9778895156659289	3044792	3044792	3113636	1.0	0.76	19	19	25
gsa	77	1021_AQ	1.0	0.9767730179040514	5548943	5548943	5680893	1.0	0.42105263157894735	24	24	57
gsa	106	1052974	0.9929245776843346	0.9759325617813691	3581977	3556633	3644343	0.9805825242718447	0.8632478632478633	103	101	117
gsa	18	1139_B	1.0	0.9755692780040522	4514560	4514560	4627616	1.0	0.4883720930232558	21	21	43
gsa	92	evo_1035921.028	1.0	0.9715700976675352	3058628	3058628	3148129	1.0	0.6521739130434783	15	15	23
gsa	135	1035921	1.0	0.9699127460742493	2726416	2726416	2810991	1.0	0.6363636363636364	14	14	22
gsa	83	1053025	0.9873982068656795	0.9696937882392591	3694871	3648309	3762331	0.9428571428571428	0.7021276595744681	35	33	47
gsa	36	evo_1035921.030	0.8176120711465866	0.9651050853960186	3679783	3008635	3117417	0.5	0.6086956521739131	28	14	23
gsa	28	evo_1139_Y.035	1.0	0.9645644456672728	6899352	6899352	7152816	1.0	0.6193548387096774	96	96	155
gsa	38	1052959	0.523269742530913	0.9625099085390117	4622419	2418772	2512984	0.6271186440677966	0.6271186440677966	59	37	59
