sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	38	evo_1035930.011	0.2983664483984534	0.6712743616780367	5086708	1517703	2260928	0.2692307692307692	0.5	104	28	56
gsa	4	evo_1286_AP.008	0.5452698574619603	0.46629603296045374	2893824	1577915	3383934	0.2916666666666667	0.3888888888888889	24	7	18
gsa	40	1049056	0.22679048588044948	0.4431526531888383	6374778	1445739	3262395	0.06315789473684211	0.17647058823529413	95	6	34
gsa	11	1052947	0.3777351713321501	0.44217443765989994	5580272	2107865	4767044	0.3870967741935484	0.25	31	12	48
gsa	2	evo_1286_AP.026	0.23785039247126594	0.41129289945804	5552381	1320636	3210938	0.25	0.11764705882352941	8	2	17
gsa	17	1052944	0.33702719007096255	0.3364012255635156	5178508	1745298	5188144	0.07816091954022988	0.3655913978494624	435	34	93
gsa	28	1286_AP	0.27699868095999286	0.33317400694111815	3578360	991201	2975025	0.25	0.2777777777777778	20	5	18
gsa	19	evo_1049056.031	0.19328287670664523	0.303625161495024	5302508	1024884	3375491	0.028985507246376812	0.4	483	14	35
gsa	31	1049056	0.468207677594321	0.22194461430942605	1546474	724071	3262395	0.06153846153846154	0.11764705882352941	65	4	34
gsa	30	1052944	0.36213449939456466	0.2197419732374429	3148148	1140053	5188144	0.4074074074074074	0.11827956989247312	27	11	93
gsa	6	evo_1035930.029	0.2994869134728899	0.1804716163722519	1453556	435321	2412130	0.15384615384615385	0.13559322033898305	52	8	59
gsa	26	evo_1049056.015	0.26547405792212037	0.1751391359825605	2220119	589384	3365233	0.10909090909090909	0.23076923076923078	55	6	26
gsa	32	evo_1049056.013	0.26745930717359123	0.17328253135200675	2277367	609103	3515086	0.05555555555555555	0.11538461538461539	54	3	26
gsa	10	1052947	0.5311847962532367	0.13164090786659405	1181393	627538	4767044	0.4	0.125	15	6	48
gsa	37	1286_AP	0.21132539611580572	0.1175828774548113	1655324	349812	2975025	0.3333333333333333	0.16666666666666666	9	3	18
gsa	25	evo_1286_AP.008	0.23343796267937877	0.0869422985200066	1260322	294207	3383934	0.3333333333333333	0.1111111111111111	6	2	18
gsa	27	evo_1049056.039		0.06635935653777915	196097	179155	2699770		0.02623113090819104	110	106	4041
gsa	22	1052944	0.22842847627742466	0.061344288053685476	1393272	318263	5188144	0.1865671641791045	0.26881720430107525	134	25	93
gsa	0	evo_1286_AP.026	0.20488249426969704	0.05083187529625299	796642	163218	3210938	0.2	0.058823529411764705	5	1	17
