,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
maxbin2.001,o__Clostridiales (UID1212),172, 261, 147, 5,255, 1,0,0,0, 97.28,0.17,100.00,1905,1867,101,kingdom,1.0,0.98,0.0,0.0,0.0,0.95,0.93,True
maxbin2.002, root (UID1),5656, 56,24, 56,0,0,0,0,0,0.00,0.00, 0.00,1058,1015,134,phylum,0.99,0.95,0.98,0.18,0.42,0.91,0.86,False
maxbin2.003,o__Clostridiales (UID1212),172, 263, 149,214,49, 0,0,0,0,4.90,0.00, 0.00,1193,1159,160,phylum,0.99,0.96,0.98,0.33,0.79,0.92,0.89,False
maxbin2.004,o__Bacteroidales (UID2657),160, 492, 269,115, 375, 2,0,0,0, 79.04,0.46,50.00,3465,3416,326,phylum,1.0,0.98,0.99,0.13,0.29,0.97,0.95,False
maxbin2.005,o__Clostridiales (UID1212),172, 263, 149, 43, 215, 5,0,0,0, 95.30,0.94, 0.00,2306,2106,108,class,0.93,0.85,0.38,0.07,0.14,0.67,0.56,True
maxbin2.006, f__Lachnospiraceae (UID1286),57, 420, 207, 13, 389, 17, 1,0,0, 98.67,6.54, 5.00,3247,3177,130,class,0.98,0.96,0.82,0.03,0.06,0.95,0.9,False
maxbin2.007, k__Bacteria (UID203), 5449,104,58, 9, 44, 44, 7,0,0, 90.52, 30.25,44.62,4896,4704,297,family,0.91,0.88,1.0,0.04,0.09,0.96,0.85,False
maxbin2.008,p__Bacteroidetes (UID2605),350, 314, 208, 26, 287, 1,0,0,0, 96.39,0.24, 0.00,2413,2371,45,genus,0.95,0.94,1.0,0.03,0.06,0.98,0.92,False
maxbin2.009,o__Clostridiales (UID1212),172, 263, 149, 6,257, 0,0,0,0, 96.64,0.00, 0.00,2691,2566,128,genus,0.87,0.83,0.99,0.04,0.09,0.95,0.79,False
maxbin2.010, k__Bacteria (UID203), 5449,104,58, 0, 85, 19, 0,0,0, 100.00, 9.48,78.95,2459,2355,55,genus,0.92,0.88,0.14,0.03,0.06,0.95,0.84,True
maxbin2.011, p__Firmicutes (UID1022),100, 295, 158,127, 159, 7,2,0,0, 51.58,5.54,23.08,3372,3207,330,phylum,0.99,0.94,0.98,0.24,0.58,0.91,0.86,False
maxbin2.012, f__Lachnospiraceae (UID1286),57, 420, 207,199, 195, 26, 0,0,0, 59.70,5.88,88.46,2019,1951,245,class,0.98,0.95,0.3,0.17,0.39,0.92,0.88,True
maxbin2.013, k__Bacteria (UID203), 5449,104,58, 10,62, 31, 1,0,0, 86.78, 12.23,11.76,4952,4797,280,order,0.98,0.95,0.99,0.04,0.08,0.96,0.91,False
maxbin2.014, f__Lachnospiraceae (UID1286),57, 420, 207, 26, 304, 81, 9,0,0, 96.62, 22.22, 2.78,3858,3750,193,genus,0.86,0.83,0.94,0.13,0.32,0.97,0.81,False
maxbin2.015, k__Bacteria (UID203), 5449,103,57, 67,34, 2,0,0,0, 46.09,2.63, 0.00,4005,3697,543,phylum,0.99,0.91,0.96,0.4,0.93,0.87,0.79,False
maxbin2.016, k__Bacteria (UID203), 5449,103,57, 52,34, 17, 0,0,0, 73.48, 26.32,82.35,2852,2723,283,class,0.99,0.94,0.36,0.22,0.52,0.86,0.82,True
maxbin2.017,o__Clostridiales (UID1212),172, 263, 149, 7,253, 3,0,0,0, 95.97,1.01,33.33,2549,2452,116,family,0.93,0.9,0.43,0.22,0.56,0.87,0.78,True
maxbin2.018, k__Bacteria (UID203), 5449,102,56, 96,6,0,0,0,0,9.82,0.00, 0.00,1749,1596,424,phylum,0.99,0.9,0.98,0.04,0.09,0.85,0.77,False
maxbin2.019,o__Clostridiales (UID1212),172, 263, 149, 3,260, 0,0,0,0, 98.99,0.00, 0.00,2703,2571,118,genus,0.88,0.83,0.67,0.09,0.21,0.95,0.8,False
maxbin2.020,o__Clostridiales (UID1226),155, 278, 158, 6,222, 43, 7,0,0, 96.62, 22.99, 7.81,4167,3998,407,genus,0.85,0.82,0.75,0.28,0.8,0.96,0.78,False
maxbin2.021,o__Clostridiales (UID1212),172, 260, 146, 3,251, 6,0,0,0, 98.63,2.05, 0.00,2384,2269,158,family,0.97,0.92,0.6,0.02,0.04,0.96,0.88,False
maxbin2.022, g__Bacteroides (UID2691),33, 839, 309,133, 682, 23, 1,0,0, 82.86,2.61,15.38,4057,3853,448,class,0.98,0.93,0.98,0.07,0.15,0.95,0.89,False
maxbin2.023,o__Clostridiales (UID1226),155, 278, 158, 42, 234, 2,0,0,0, 82.28,0.84, 0.00,2561,2503,154,genus,0.91,0.89,0.89,0.04,0.08,0.98,0.86,False
maxbin2.024, f__Lachnospiraceae (UID1255),90, 354, 174, 8,335, 10, 1,0,0, 95.79,4.16, 0.00,3018,2868,252,class,0.96,0.92,0.16,0.1,0.21,0.72,0.66,True
maxbin2.025,o__Clostridiales (UID1212),172, 263, 149, 18, 243, 2,0,0,0, 91.50,1.34, 0.00,2068,1918,322,genus,0.75,0.7,0.26,0.22,0.6,0.64,0.45,True
maxbin2.026,o__Clostridiales (UID1212),172, 263, 149, 8,250, 5,0,0,0, 95.75,2.41, 0.00,2896,2670,291,genus,0.65,0.6,0.13,0.82,8.73,0.67,0.4,True
maxbin2.027,k__Bacteria (UID2565), 2921,152,93, 3,145, 4,0,0,0, 97.85,3.76, 0.00,1896,1851,141,genus,0.94,0.92,0.55,0.04,0.09,0.96,0.89,False
maxbin2.028, k__Bacteria (UID203), 5449,104,58,100,4,0,0,0,0,0.63,0.00, 0.00,168,79,32,order,0.86,0.4,0.94,0.43,1.15,0.58,0.23,False
maxbin2.029, k__Bacteria (UID203), 5449,103,57, 56,44, 3,0,0,0, 71.93,5.26,33.33,2327,2265,339,genus,0.91,0.89,0.67,0.03,0.06,0.97,0.86,False
maxbin2.030,o__Clostridiales (UID1212),172, 263, 149, 44, 208, 11, 0,0,0, 93.96,4.42, 9.09,1785,1673,281,family,0.95,0.89,0.18,0.36,1.23,0.71,0.63,True
maxbin2.031,o__Clostridiales (UID1212),172, 263, 149, 28, 207, 27, 1,0,0, 91.95,7.28,16.67,2398,2296,364,genus,0.82,0.79,0.64,0.18,0.47,0.92,0.72,False
maxbin2.032,o__Bacteroidales (UID2617),213, 406, 265,270,91, 41, 4,0,0, 28.23, 10.34, 9.43,2554,2205,688,class,0.92,0.8,0.98,0.4,0.92,0.86,0.69,False
