sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	metabat2/output/S28_metabat2.10.fa	OTU_97.544.0	1.0	1.0	2962442	2962442	2962442	1.0	1.0	1	1	1
gsa	metabat2/output/S28_metabat2.11.fa	OTU_97.10273.0	0.5093134028506827	1.0	4963653	2528055	2528055	0.5	1.0	2	1	1
gsa	metabat2/output/S28_metabat2.12.fa	OTU_97.34494.0	0.5304492361641994	1.0	5427279	2878896	2878896	0.25	1.0	4	1	1
gsa	metabat2/output/S28_metabat2.13.fa	OTU_97.6382.0	1.0	1.0	5637352	5637352	5637352	1.0	1.0	1	1	1
gsa	metabat2/output/S28_metabat2.14.fa	OTU_97.35712.0	0.3400475219202815	1.0	8608238	2927210	2927210	0.3333333333333333	1.0	6	2	2
gsa	metabat2/output/S28_metabat2.1.fa	OTU_97.44237.0	1.0	1.0	2616366	2616366	2616366	1.0	1.0	1	1	1
gsa	metabat2/output/S28_metabat2.2.fa	OTU_97.270.0	1.0	1.0	2501077	2501077	2501077	1.0	1.0	1	1	1
gsa	metabat2/output/S28_metabat2.6.fa	OTU_97.16297.0	0.43979075379437355	1.0	6298800	2770154	2770154	0.009708737864077669	1.0	103	1	1
gsa	metabat2/output/S28_metabat2.7.fa	OTU_97.18938.0	0.5052626312663081	1.0	4257471	2151141	2151141	0.5	1.0	2	1	1
gsa	metabat2/output/S28_metabat2.9.fa	OTU_97.39526.0	1.0	1.0	5310353	5310353	5310353	1.0	1.0	1	1	1
gsa	metabat2/output/S28_metabat2.4.fa	OTU_97.34382.0	1.0	0.9975529478659956	2554366	2554366	2560632	1.0	0.7777777777777778	7	7	9
gsa	metabat2/output/S28_metabat2.5.fa	OTU_97.32002.1	0.5145243060942037	0.9926352157875259	4441417	2285217	2302172	0.1111111111111111	0.3333333333333333	9	1	3
gsa	metabat2/output/S28_metabat2.8.fa	OTU_97.45365.0	1.0	0.6528590991100957	1369244	1369244	2097304	1.0	0.48344370860927155	146	146	302
gsa	metabat2/output/S28_metabat2.3.fa	OTU_97.32002.0	0.9354537140534499	0.1414379478607161	246025	230145	1627180	0.9552238805970149	0.03571428571428571	67	64	1792
