,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1, o__Bacteroidales (UID2657), 160, 492, 269,315, 176, 1,0, 0, 0, 37.43,0.37, 0.00,948,844,250,family,0.95,0.84,0.18,0.13,0.3,0.68,0.58,True
bin.10, k__Bacteria (UID203),5449,104,58, 65,39, 0,0, 0, 0, 54.08,0.00, 0.00,1133,1084,224,order,0.98,0.93,0.35,0.05,0.11,0.69,0.65,True
bin.105,k__Bacteria (UID203),5449,103,57, 93,10, 0,0, 0, 0, 15.79,0.00, 0.00,629,616,145,kingdom,1.0,0.98,0.0,0.0,0.0,0.9,0.88,True
bin.11, k__Bacteria (UID203),5449,104,58, 5, 77, 22, 0, 0, 0, 93.10,5.72,72.73,1715,1661,200,phylum,0.99,0.96,0.22,0.05,0.1,0.78,0.74,True
bin.110,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,623,315,37,phylum,0.93,0.47,0.43,0.36,1.16,0.51,0.24,True
bin.111,k__Bacteria (UID203),5449,103,58, 94,9,0,0, 0, 0, 10.34,0.00, 0.00,248,218,62,genus,0.58,0.51,0.29,0.75,6.43,0.55,0.28,True
bin.116,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,253,206,27,family,0.9,0.74,0.18,0.06,0.14,0.71,0.52,True
bin.119,k__Bacteria (UID203),5449,104,58,102,1,1,0, 0, 0,0.31,0.16, 0.00,512,137,44,kingdom,1.0,0.27,0.0,0.02,0.04,0.42,0.11,True
bin.12,p__Bacteroidetes (UID2605), 350, 316, 210, 26, 289, 1,0, 0, 0, 89.52,0.48, 0.00,1783,1651,216,family,0.89,0.82,0.08,0.49,1.76,0.63,0.52,True
bin.13,o__Clostridiales (UID1120), 304, 249, 142, 6,243, 0,0, 0, 0, 97.18,0.00, 0.00,2548,2459,301,genus,0.93,0.89,0.56,0.03,0.05,0.96,0.86,False
bin.135,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,288,281,70,genus,0.82,0.8,0.4,0.23,0.65,0.75,0.6,True
bin.14,o__Clostridiales (UID1120), 304, 247, 141, 20, 224, 3,0, 0, 0, 89.01,1.77,33.33,1771,1615,209,family,0.9,0.82,0.26,0.55,2.82,0.64,0.53,True
bin.16, k__Bacteria (UID203),5449,104,58, 0, 88, 15, 1, 0, 0, 100.00, 8.07,88.89,2810,2655,203,genus,0.95,0.9,0.26,0.06,0.13,0.8,0.71,True
bin.164,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,262,62,10,kingdom,1.0,0.24,0.0,0.05,0.1,0.41,0.1,True
bin.17,k__Bacteria (UID2372),131, 177, 106, 9,162, 6,0, 0, 0, 92.92,3.23,16.67,2050,1833,175,class,0.94,0.84,0.19,0.25,0.65,0.61,0.51,True
bin.18,k__Bacteria (UID2329),174, 149,89, 20, 121, 8,0, 0, 0, 80.90,6.74,100.00,2118,1993,430,phylum,0.98,0.93,0.4,0.08,0.17,0.76,0.7,True
bin.19, o__Selenomonadales (UID1024), 64, 334, 167, 2,327, 5,0, 0, 0, 99.55,2.00,20.00,1798,1709,98,family,0.9,0.86,0.32,0.08,0.18,0.75,0.64,True
bin.2,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1422,1248,312,genus,0.8,0.7,0.83,0.05,0.1,0.92,0.64,False
bin.20,o__Clostridiales (UID1212), 172, 263, 149,124, 139, 0,0, 0, 0, 47.32,0.00, 0.00,1110,986,212,family,0.86,0.76,0.16,0.22,0.58,0.62,0.47,True
bin.21, k__Bacteria (UID203),5449,102,58, 97,5,0,0, 0, 0,6.90,0.00, 0.00,187,165,62,genus,0.91,0.8,0.45,0.07,0.14,0.68,0.54,True
bin.22, p__Proteobacteria (UID3887), 1487,256, 161, 68, 178, 10, 0, 0, 0, 84.99,4.81,70.00,2011,1847,228,class,0.96,0.88,0.48,0.07,0.16,0.73,0.64,False
bin.23, f__Bifidobacteriaceae (UID1460),70, 502, 225, 85, 402, 13, 2, 0, 0, 83.23,4.19,36.84,1870,1714,280,class,0.98,0.9,0.68,0.03,0.07,0.9,0.81,False
bin.24, p__Proteobacteria (UID3887), 1487,256, 160,143, 111, 2,0, 0, 0, 42.42,1.25, 0.00,777,745,163,class,0.96,0.92,0.23,0.04,0.08,0.71,0.65,True
bin.26,o__Clostridiales (UID1226), 155, 278, 158, 2,271, 5,0, 0, 0, 98.73,2.37,60.00,2778,2673,161,class,0.98,0.94,0.22,0.02,0.05,0.76,0.72,True
bin.27, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,557,421,97,family,0.59,0.45,0.49,0.39,1.22,0.75,0.34,False
bin.28,k__Bacteria (UID2329),174, 149,89, 62,83, 4,0, 0, 0, 60.31,2.36,75.00,1442,1359,306,phylum,0.98,0.92,0.28,0.11,0.26,0.68,0.63,True
bin.29, k__Bacteria (UID203),5449,104,58, 89,15, 0,0, 0, 0, 20.85,0.00, 0.00,586,559,145,class,0.98,0.93,0.26,0.05,0.1,0.69,0.64,True
bin.3, o__Bacteroidales (UID2657), 160, 492, 269,418,73, 1,0, 0, 0, 10.72,0.37, 0.00,1973,1670,273,phylum,0.97,0.82,0.35,0.03,0.06,0.68,0.56,True
bin.30,k__Bacteria (UID2372),131, 177, 106,142,32, 3,0, 0, 0, 13.43,0.40, 0.00,299,293,76,class,1.0,0.98,0.41,0.04,0.09,0.9,0.88,True
bin.31, c__Gammaproteobacteria (UID4201),1164,271, 170,116, 154, 1,0, 0, 0, 56.12,0.59, 0.00,1075,985,312,kingdom,1.0,0.92,0.0,0.0,0.0,0.96,0.88,True
bin.32, c__Gammaproteobacteria (UID4201),1164,271, 170, 1,268, 2,0, 0, 0, 99.41,0.88,50.00,2510,2121,285,order,0.88,0.75,0.38,0.06,0.13,0.69,0.52,True
bin.33,o__Bacteroidales (UID2654), 163, 486, 266,109, 374, 3,0, 0, 0, 79.90,0.85, 0.00,1877,1788,347,family,0.94,0.89,0.18,0.03,0.05,0.77,0.69,True
bin.34,o__Clostridiales (UID1212), 172, 261, 147, 0,260, 1,0, 0, 0, 100.00, 0.68, 0.00,2290,2171,180,genus,0.79,0.74,0.32,0.03,0.07,0.78,0.58,True
bin.35,o__Bacteroidales (UID2657), 160, 492, 269, 16, 465, 11, 0, 0, 0, 96.13,2.60,18.18,2385,2281,126,genus,0.94,0.9,0.35,0.04,0.09,0.81,0.73,True
bin.36, p__Firmicutes (UID1022), 100, 295, 158, 6,285, 4,0, 0, 0, 97.42,1.79,100.00,2197,2084,194,genus,0.84,0.79,0.81,0.05,0.1,0.82,0.65,False
bin.37, k__Bacteria (UID203),5449,104,58, 1, 80, 23, 0, 0, 0, 98.28,4.55,78.26,2135,1910,139,family,0.93,0.84,0.23,0.14,0.32,0.71,0.59,True
bin.38, p__Proteobacteria (UID3887), 1487,256, 161, 28, 203, 24, 1, 0, 0, 88.58,7.56,74.07,2214,2065,198,order,0.91,0.85,0.55,0.03,0.07,0.74,0.63,False
bin.4,g__Prevotella (UID2724),55, 567, 296, 22, 528, 13, 4, 0, 0, 94.99,2.82,16.00,2517,2375,276,family,0.98,0.92,0.5,0.07,0.16,0.91,0.84,False
bin.41,k__Bacteria (UID2372),131, 177, 106, 6,168, 3,0, 0, 0, 95.15,2.02, 0.00,2297,1949,198,order,0.94,0.8,0.26,0.24,0.61,0.61,0.49,True
bin.42,k__Bacteria (UID2329),174, 149,89, 13, 135, 1,0, 0, 0, 87.08,0.11, 0.00,1220,1016,178,order,0.86,0.72,0.18,0.58,2.09,0.51,0.37,True
bin.43, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,615,446,95,phylum,0.96,0.69,0.63,0.23,0.62,0.58,0.41,False
bin.45,k__Bacteria (UID2372),131, 177, 106, 6,163, 7,1, 0, 0, 95.15,2.70,20.00,2540,2357,155,genus,0.76,0.71,0.22,0.11,0.25,0.76,0.54,True
bin.47,g__Lactobacillus (UID380), 58, 449, 129, 1,448, 0,0, 0, 0, 99.22,0.00, 0.00,1874,1800,31,kingdom,1.0,0.96,0.0,0.0,0.0,0.93,0.89,True
bin.48,o__Clostridiales (UID1226), 155, 274, 157, 38, 224, 11, 1, 0, 0, 83.34,5.83,92.86,2402,2371,346,kingdom,1.0,0.99,0.0,0.0,0.0,0.96,0.95,True
bin.49,k__Bacteria (UID2372),131, 177, 106, 2,167, 7,1, 0, 0, 98.11,2.36,40.00,2271,1951,90,order,0.91,0.78,0.14,0.27,0.73,0.61,0.48,True
bin.5,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1836,1499,283,genus,0.76,0.62,0.35,0.28,0.75,0.69,0.42,True
bin.51,o__Bacteroidales (UID2657), 160, 492, 269, 46, 445, 1,0, 0, 0, 89.23,0.37, 0.00,1908,1770,218,genus,0.88,0.82,0.17,0.41,1.2,0.68,0.56,True
bin.53,o__Bacteroidales (UID2621), 198, 427, 260, 61, 363, 3,0, 0, 0, 83.80,0.60,66.67,2287,2166,389,genus,0.89,0.85,0.23,0.17,0.38,0.75,0.63,True
bin.54, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1266,1164,183,genus,0.8,0.74,0.36,0.32,0.94,0.74,0.54,True
bin.55, o__Lactobacillales (UID355), 490, 336, 184, 5,327, 4,0, 0, 0, 97.55,1.54,100.00,2064,1979,174,kingdom,1.0,0.96,0.0,0.0,0.0,0.93,0.89,True
bin.56,o__Bacteroidales (UID2657), 160, 491, 268, 51, 426, 14, 0, 0, 0, 93.82,2.69,78.57,2864,2693,176,family,0.94,0.88,0.35,0.03,0.05,0.86,0.76,True
bin.57, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,685,484,137,genus,0.67,0.47,0.5,0.26,0.74,0.63,0.3,False
bin.59, p__Proteobacteria (UID3887), 1487,256, 161,161,95, 0,0, 0, 0, 34.38,0.00, 0.00,562,551,130,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True
bin.6, o__Bacteroidales (UID2617), 213, 406, 265, 51, 351, 4,0, 0, 0, 91.98,0.94, 0.00,1900,1765,143,genus,0.89,0.82,0.11,0.31,0.94,0.65,0.54,True
bin.60,k__Bacteria (UID2328),3167,126,75, 5,119, 2,0, 0, 0, 95.33,0.56,50.00,1312,1114,134,family,0.81,0.69,0.16,0.5,2.42,0.54,0.37,True
bin.61,k__Bacteria (UID2372),131, 177, 106, 3,170, 4,0, 0, 0, 97.17,1.35, 0.00,2505,2127,261,class,0.95,0.81,0.24,0.25,0.68,0.64,0.52,True
bin.62,k__Bacteria (UID2329),174, 149,89, 1,143, 5,0, 0, 0, 98.88,4.49, 0.00,2112,2003,99,phylum,0.98,0.93,0.36,0.07,0.16,0.72,0.67,True
bin.63,o__Clostridiales (UID1212), 172, 261, 147, 46, 215, 0,0, 0, 0, 85.63,0.00, 0.00,2591,2461,364,family,0.96,0.91,0.37,0.06,0.13,0.93,0.85,True
bin.64, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,689,250,57,kingdom,1.0,0.36,0.0,0.03,0.06,0.43,0.15,True
bin.65, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,460,390,98,class,0.94,0.8,0.89,0.13,0.29,0.7,0.56,False
bin.68,o__Clostridiales (UID1226), 155, 274, 157, 48, 220, 6,0, 0, 0, 92.07,2.23,33.33,2452,2379,278,genus,0.8,0.78,0.3,0.17,0.43,0.78,0.6,True
bin.69,o__Bacteroidales (UID2657), 160, 491, 268, 82, 401, 8,0, 0, 0, 87.30,2.05,37.50,2513,2432,258,kingdom,1.0,0.97,0.0,0.0,0.0,0.97,0.93,True
bin.7, o__Bacteroidales (UID2654), 163, 486, 266, 15, 455, 15, 1, 0, 0, 97.97,4.01,61.11,4466,4208,284,genus,0.92,0.87,0.53,0.02,0.05,0.95,0.82,False
bin.70, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,541,279,40,phylum,0.97,0.5,0.21,0.17,0.42,0.59,0.3,True
bin.71, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,316,193,26,phylum,0.98,0.6,0.85,0.36,1.0,0.52,0.31,False
bin.72, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1186,627,71,order,0.83,0.44,0.52,0.65,3.41,0.5,0.22,False
bin.73, p__Proteobacteria (UID3887), 1487,255, 158, 2,246, 6,1, 0, 0, 99.37,3.27,66.67,2358,2255,155,order,0.97,0.93,0.37,0.19,0.45,0.97,0.9,True
bin.78, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,292,258,33,phylum,0.97,0.85,0.93,0.03,0.06,0.74,0.63,False
bin.79,k__Bacteria (UID3187),2258,186, 116,120,66, 0,0, 0, 0, 25.31,0.00, 0.00,579,514,138,phylum,0.96,0.86,0.57,0.11,0.25,0.7,0.6,False
bin.8, o__Clostridiales (UID1120), 304, 250, 143, 33, 196, 21, 0, 0, 0, 85.50, 10.37,95.24,1950,1904,324,family,0.96,0.94,0.37,0.03,0.05,0.91,0.86,True
bin.80,o__Bacteroidales (UID2657), 160, 492, 269, 42, 443, 7,0, 0, 0, 96.16,1.98,57.14,2075,1905,133,genus,0.89,0.82,0.2,0.31,0.94,0.71,0.58,True
bin.81, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,315,222,43,genus,0.58,0.41,0.64,0.45,1.69,0.63,0.26,False
bin.82,o__Clostridiales (UID1226), 155, 278, 158, 26, 247, 5,0, 0, 0, 91.86,2.53,40.00,2424,2358,231,family,0.96,0.94,0.19,0.06,0.14,0.83,0.77,True
bin.83,k__Bacteria (UID2372),131, 177, 106, 64, 111, 2,0, 0, 0, 60.09,0.19,50.00,1062,1031,223,kingdom,1.0,0.97,0.0,0.0,0.0,0.98,0.95,True
bin.84,o__Clostridiales (UID1375),50, 332, 124,255,76, 1,0, 0, 0, 12.44,0.04, 0.00,348,335,95,kingdom,1.0,0.96,0.0,0.0,0.0,0.81,0.78,True
bin.85,o__Clostridiales (UID1226), 155, 278, 158,211,66, 1,0, 0, 0, 24.68,0.63, 0.00,738,719,170,genus,0.85,0.83,0.2,0.41,1.67,0.77,0.64,True
bin.88,g__Lactobacillus (UID377), 91, 430, 154, 6,422, 2,0, 0, 0, 98.30,0.78,50.00,2215,2131,111,kingdom,1.0,0.96,0.0,0.0,0.0,0.92,0.89,True
bin.9,c__Clostridia (UID1085),35, 420, 196, 79, 335, 6,0, 0, 0, 78.74,2.14,33.33,2045,1856,186,genus,0.52,0.47,0.28,0.33,1.13,0.6,0.28,True
bin.91, c__Bacilli (UID285), 586, 325, 181, 26, 293, 6,0, 0, 0, 89.39,2.58,16.67,2335,2115,132,order,0.97,0.88,0.32,0.14,0.33,0.74,0.65,True
bin.92, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,244,145,23,family,0.8,0.48,0.19,0.57,2.88,0.53,0.25,True
bin.94, k__Bacteria (UID203),5449,104,58, 86,16, 2,0, 0, 0, 15.27,1.72,50.00,402,391,106,genus,0.85,0.83,0.22,0.45,1.98,0.79,0.66,True
bin.95, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1574,806,105,phylum,0.94,0.48,0.71,0.67,2.89,0.53,0.25,False
recluster_0.bin.0, o__Bacteroidales (UID2657), 160, 492, 269, 25, 449, 18, 0, 0, 0, 96.49,4.83,61.11,2294,2180,118,family,0.96,0.91,0.37,0.08,0.19,0.78,0.71,True
recluster_0.bin.1, o__Bacteroidales (UID2657), 160, 492, 269, 54, 433, 5,0, 0, 0, 88.77,0.85,20.00,2334,2211,154,family,0.94,0.89,0.23,0.03,0.07,0.78,0.69,True
recluster_58.bin.0, k__Bacteria (UID203),5449,104,58, 6, 38, 58, 2, 0, 0, 95.34, 74.80,73.44,4930,4706,286,family,0.96,0.91,0.43,0.03,0.05,0.85,0.78,True
