sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	29	1048948	0.9000333174933604	1.0	4295041	3865680	3865680	0.5384615384615384	1.0	117	63	63
gsa	154	1049023	0.9863448889013297	1.0	6001782	5919827	5919827	0.7463768115942029	1.0	138	103	103
gsa	220	1285_BK	0.5626983177258895	1.0	6150484	3460867	3460867	0.11392405063291139	1.0	79	9	9
gsa	52	1048765	0.9426591437621864	1.0	3859325	3638028	3638028	0.5977011494252874	1.0	87	52	52
gsa	190	1048999	0.9645919634074724	1.0	8224630	7933412	7933412	0.44	1.0	25	11	11
gsa	634	1030746	0.9035907816459106	1.0	3926471	3547923	3547923	0.06060606060606061	1.0	33	2	2
gsa	446	1035915	0.9894545228724684	1.0	1288230	1274645	1274645	0.8478260869565217	1.0	46	39	39
gsa	530	1036599	0.9641939532148965	0.9998224604847269	4479802	4319398	4320165	0.28	0.9545454545454546	75	21	22
gsa	333	1220_K	0.9144340635127968	0.9998007728567985	4236721	3874202	3874974	0.04081632653061224	0.6666666666666666	49	2	3
gsa	423	1036617	0.9207005913507265	0.9997611097800964	3136379	2887666	2888356	0.23958333333333334	0.9583333333333334	96	23	24
gsa	432	1287_H	0.9892907269851356	0.9997138082450929	4085338	4041587	4042744	0.3157894736842105	0.6666666666666666	19	6	9
gsa	660	1048930	0.9225805816762396	0.9997084738595202	4776334	4406553	4407838	0.7407407407407407	0.9523809523809523	27	20	21
gsa	152	1049029	0.8670726824718205	0.9996181256724079	4643169	4025965	4027503	0.21428571428571427	0.9230769230769231	56	12	13
gsa	356	1030758	0.9659335019778643	0.9996176239440596	3082618	2977604	2978743	0.35	0.875	20	7	8
gsa	395	1285_AB	1.0	0.9995961979370864	4426124	4426124	4427912	1.0	0.7692307692307693	10	10	13
gsa	633	1365_D	0.9928261944858024	0.9995697672584279	2808133	2787988	2789188	0.6538461538461539	0.85	26	17	20
gsa	461	1048927	0.9954865463819563	0.9995179914702538	4951419	4929071	4931448	0.25	0.8	16	4	5
gsa	194	1048882	0.4785775199960281	0.9994589239066086	15952168	7634349	7638482	0.11538461538461539	0.8181818181818182	78	9	11
gsa	400	1036719	0.9912581749920822	0.9994511130979044	6671719	6613396	6617028	0.8690476190476191	0.9864864864864865	84	73	74
