sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	149	1285_BX	1.0	0.9997039736835377	3245372	3245372	3246333	1.0	0.8333333333333334	10	10	12
gsa	105	1220_F	0.5516698109737191	0.9994433668624932	8563095	4724001	4726632	0.14285714285714285	0.875	49	7	8
gsa	584	1286_CM	1.0	0.998417313086016	3798269	3798269	3804290	1.0	0.8571428571428571	12	12	14
gsa	252	1286_CB	1.0	0.998380825582047	3954864	3954864	3961278	1.0	0.7692307692307693	10	10	13
gsa	310	1285_AY	1.0	0.9983092351471194	4014458	4014458	4021257	1.0	0.7647058823529411	13	13	17
gsa	413	1286_AT	1.0	0.9982360017316081	3544194	3544194	3550457	1.0	0.7142857142857143	5	5	7
gsa	109	1286_BP	1.0	0.9981793352285812	3970426	3970426	3977668	1.0	0.5714285714285714	8	8	14
gsa	236	1285_BG	1.0	0.9981197084097977	3338405	3338405	3344694	1.0	0.7142857142857143	5	5	7
gsa	517	1285_F	1.0	0.9980075448042489	3935519	3935519	3943376	1.0	0.5	7	7	14
gsa	199	1286_BE	1.0	0.9980053478698725	3534906	3534906	3541971	1.0	0.6	6	6	10
gsa	67	1139_O	1.0	0.9979692421322351	2632083	2632083	2637439	1.0	0.9	9	9	10
gsa	284	1286_AV	1.0	0.9977929409011166	3887988	3887988	3896588	1.0	0.625	10	10	16
gsa	278	1220_CE	1.0	0.9975649843016293	4160659	4160659	4170815	1.0	0.5416666666666666	13	13	24
gsa	172	1285_AJ	1.0	0.9973696662019635	4011344	4011344	4021923	1.0	0.5833333333333334	14	14	24
gsa	194	1021_B	0.6151109626057781	0.9973287378272427	5871843	3611835	3621509	0.36363636363636365	0.4444444444444444	11	4	9
gsa	380	1139_BC	0.39854284706537396	0.9973026205798247	13186399	5255345	5269559	0.21739130434782608	0.625	115	25	40
gsa	155	evo_1036686.006	1.0	0.9967020400727485	4245555	4245555	4259603	1.0	0.8723404255319149	41	41	47
gsa	147	1287_AF	1.0	0.9962671067551334	3549620	3549620	3562920	1.0	0.5333333333333333	8	8	15
gsa	192	1036662	1.0	0.9954906227356384	3679188	3679188	3695854	1.0	0.9	54	54	60
gsa	231	1286_AN	1.0	0.995297538587637	3516641	3516641	3533256	1.0	0.5263157894736842	10	10	19
gsa	164	1139_AY	1.0	0.9945438975307346	5824243	5824243	5856195	1.0	0.7037037037037037	19	19	27
gsa	531	1220_AS	1.0	0.9941133914399061	2591588	2591588	2606934	1.0	0.25	3	3	12
gsa	557	evo_1030719.017	0.9704151626307	0.9938819569841485	4825073	4682324	4711147	0.7741935483870968	0.7868852459016393	62	48	61
gsa	19	evo_1048969.002	0.9970425598861786	0.9933270110761258	3654850	3644041	3668521	0.9871794871794872	0.8953488372093024	78	77	86
gsa	521	1220_N	1.0	0.9930014281910651	3647471	3647471	3673178	1.0	0.38461538461538464	5	5	13
gsa	45	evo_1048963.008	1.0	0.9895015559696557	5116764	5116764	5171052	1.0	0.8571428571428571	30	30	35
gsa	230	1139_BH	1.0	0.9893393387994401	4402287	4402287	4449724	1.0	0.5319148936170213	25	25	47
gsa	484	1287_BU	1.0	0.9884677168179299	3906803	3906803	3952383	1.0	0.6666666666666666	12	12	18
gsa	337	evo_1036569.002	1.0	0.988319768358109	3091738	3091738	3128277	1.0	0.4782608695652174	11	11	23
gsa	271	evo_1036569.006	1.0	0.988291259239098	3093659	3093659	3130311	1.0	0.4782608695652174	11	11	23
gsa	26	1285_CP	0.4942361349587912	0.9876935176239422	13045760	6447686	6528023	0.47368421052631576	0.6338028169014085	95	45	71
