sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	525	1030746	1.0	1.0	3547923	3547923	3547923	1.0	1.0	2	2	2
gsa	299	1030743	1.0	1.0	3607646	3607646	3607646	1.0	1.0	3	3	3
gsa	476	1048999	1.0	1.0	7933412	7933412	7933412	1.0	1.0	11	11	11
gsa	307	1220_K	1.0	0.9998007728567985	3874202	3874202	3874974	1.0	0.6666666666666666	2	2	3
gsa	480	1287_H	1.0	0.9997138082450929	4041587	4041587	4042744	1.0	0.6666666666666666	6	6	9
gsa	102	1285_AH	1.0	0.9996280837390408	3125885	3125885	3127048	1.0	0.8181818181818182	9	9	11
gsa	598	1049029	1.0	0.9996181256724079	4025965	4025965	4027503	1.0	0.9230769230769231	12	12	13
gsa	48	1285_AB	1.0	0.9995961979370864	4426124	4426124	4427912	1.0	0.7692307692307693	10	10	13
gsa	153	1365_D	1.0	0.9995697672584279	2787988	2787988	2789188	1.0	0.85	17	17	20
gsa	344	1048927	1.0	0.9995179914702538	4929071	4929071	4931448	1.0	0.8	4	4	5
gsa	302	1048882	1.0	0.9994589239066086	7634349	7634349	7638482	1.0	0.8181818181818182	9	9	11
gsa	501	1036542	1.0	0.99937912848049	5232937	5232937	5236188	1.0	0.9444444444444444	17	17	18
gsa	131	1365_H	1.0	0.9993080825302809	3422894	3422894	3425264	1.0	0.7857142857142857	11	11	14
gsa	248	1220_BW	1.0	0.9993031147571084	3592061	3592061	3594566	1.0	0.625	5	5	8
gsa	60	1048888	1.0	0.9992546167047598	8630729	8630729	8637167	1.0	0.926829268292683	38	38	41
gsa	385	1049068	1.0	0.9991526261488487	3588052	3588052	3591095	1.0	0.8947368421052632	17	17	19
gsa	146	1048912	1.0	0.9990842712637128	5610058	5610058	5615200	1.0	0.8333333333333334	10	10	12
gsa	467	1285_L	0.9107345494659596	0.9989927153477545	6069952	5528115	5533689	0.574468085106383	0.7105263157894737	47	27	38
gsa	379	1285_H	0.9987779199299308	0.9987561880744987	3630695	3626258	3630774	0.875	0.7	8	7	10
gsa	233	1048924	1.0	0.9987457087429114	5041141	5041141	5047472	1.0	0.85	17	17	20
gsa	493	1220_BK	1.0	0.9987260985347846	3710625	3710625	3715358	1.0	0.6428571428571429	9	9	14
gsa	515	1285_A	0.9996069675761993	0.9986622982749918	6549078	6546504	6555273	0.9622641509433962	0.7846153846153846	53	51	65
gsa	442	1036593	1.0	0.9986382994172684	4290982	4290982	4296833	1.0	0.9310344827586207	27	27	29
gsa	292	1021_AG	1.0	0.998607751237965	3919122	3919122	3924586	1.0	0.75	3	3	4
gsa	59	1053046	1.0	0.9985868875505964	5372719	5372719	5380322	1.0	0.8846153846153846	23	23	26
gsa	465	1285_BA	1.0	0.9985701524502957	4386495	4386495	4392776	1.0	0.6666666666666666	6	6	9
gsa	406	1286_M	1.0	0.9984594063599735	3884714	3884714	3890708	1.0	0.5833333333333334	7	7	12
gsa	5	1049062	1.0	0.9983620436359747	3323086	3323086	3328538	1.0	0.9387755102040817	46	46	49
gsa	561	1030794	1.0	0.9983271819344144	9401887	9401887	9417641	1.0	0.7567567567567568	28	28	37
gsa	306	1030893	1.0	0.9981554974448376	2920054	2920054	2925450	1.0	0.8888888888888888	8	8	9
gsa	478	1286_AY	1.0	0.9981483951338973	3517445	3517445	3523970	1.0	0.6363636363636364	14	14	22
gsa	195	1286_BX	1.0	0.9981233485499961	4575626	4575626	4584229	1.0	0.71875	23	23	32
gsa	35	1285_T	1.0	0.9980817792862687	3727547	3727547	3734711	1.0	0.6428571428571429	9	9	14
gsa	182	1048864	1.0	0.9980693768968193	8093643	8093643	8109299	1.0	0.8974358974358975	35	35	39
gsa	549	1036746	1.0	0.9980450506749458	2402007	2402007	2406712	1.0	0.9117647058823529	31	31	34
gsa	596	1139_CM	1.0	0.9980161376025013	3405262	3405262	3412031	1.0	0.5	3	3	6
gsa	530	1048948	1.0	0.9978966184474659	3857549	3857549	3865680	1.0	0.9365079365079365	59	59	63
gsa	492	1036563	1.0	0.9978426978652658	3700798	3700798	3708799	1.0	0.7333333333333333	11	11	15
gsa	79	1220_Y	1.0	0.9977811009944407	3596942	3596942	3604941	1.0	0.7142857142857143	15	15	21
gsa	534	1139_BV	1.0	0.997750078382171	3812425	3812425	3821022	1.0	0.9032258064516129	28	28	31
gsa	257	1220_BT	1.0	0.9977247128783857	4057925	4057925	4067179	1.0	0.5833333333333334	7	7	12
gsa	128	1036638		0.9975944546492942	1631454	1631454	1635388		0.8181818181818182	9	9	11
gsa	593	1286_V	1.0	0.9975549715057224	6049723	6049723	6064551	1.0	0.5	11	11	22
gsa	459	1036617	1.0	0.9975422004766725	2881257	2881257	2888356	1.0	0.875	21	21	24
gsa	92	1030872	1.0	0.9975029083946252	4736467	4736467	4748324	1.0	0.8518518518518519	23	23	27
gsa	282	1048582	1.0	0.9973120261945824	5531277	5531277	5546185	1.0	0.8571428571428571	18	18	21
gsa	355	1036590	1.0	0.9973000319777016	4179106	4179106	4190420	1.0	0.6666666666666666	8	8	12
gsa	542	1049059	1.0	0.9972072957975755	4296694	4296694	4308727	1.0	0.8372093023255814	36	36	43
gsa	574	1286_AW	1.0	0.9971319038844251	3599011	3599011	3609363	1.0	0.6111111111111112	11	11	18
gsa	166	1286_AU	1.0	0.9971116602625956	4519961	4519961	4533054	1.0	0.5	11	11	22
gsa	523	1285_BY	1.0	0.9970909465585932	4354695	4354695	4367400	1.0	0.7037037037037037	19	19	27
gsa	187	1220_BE	1.0	0.9970621592247868	4805367	4805367	4819526	1.0	0.3333333333333333	4	4	12
gsa	265	1220_AM	1.0	0.9970478087241899	3411763	3411763	3421865	1.0	0.68	17	17	25
gsa	130	1139_AO	1.0	0.9968264130031597	5353221	5353221	5370264	1.0	0.6	30	30	50
gsa	124	1048777	1.0	0.9966092034802493	6969923	6969923	6993637	1.0	0.8235294117647058	14	14	17
gsa	246	1285_AN	1.0	0.9965393547259059	4286048	4286048	4300932	1.0	0.5185185185185185	14	14	27
gsa	339	1048855	1.0	0.9964677496424694	4721320	4721320	4738056	1.0	0.7931034482758621	23	23	29
gsa	575	1036599	1.0	0.9964619406897653	4304880	4304880	4320165	1.0	0.6363636363636364	14	14	22
gsa	44	1286_CG	1.0	0.9964222054157239	3806284	3806284	3819951	1.0	0.5416666666666666	13	13	24
gsa	154	1139_CC	1.0	0.9963817888443113	3340080	3340080	3352209	1.0	0.7894736842105263	15	15	19
gsa	544	1139_F	1.0	0.9963010544805333	4147410	4147410	4162808	1.0	0.6086956521739131	14	14	23
gsa	99	1287_AV	1.0	0.9962925456137038	3830970	3830970	3845226	1.0	0.6956521739130435	16	16	23
gsa	577	1036797	1.0	0.996214575923508	4368905	4368905	4385506	1.0	0.8333333333333334	15	15	18
gsa	519	1139_AR	1.0	0.9960653019605527	4587315	4587315	4605436	1.0	0.711864406779661	42	42	59
gsa	54	1030929	1.0	0.9958580532594485	5838900	5838900	5863185	1.0	0.9111111111111111	82	82	90
gsa	447	1049065	1.0	0.9955991805370655	3752710	3752710	3769298	1.0	0.78125	25	25	32
gsa	241	1139_J	1.0	0.995574812656018	4474385	4474385	4494273	1.0	0.625	20	20	32
gsa	101	1021_T	1.0	0.9955029094747364	3449989	3449989	3465574	1.0	0.5714285714285714	8	8	14
gsa	439	1036719	1.0	0.9954662425487696	6587028	6587028	6617028	1.0	0.9459459459459459	70	70	74
gsa	55	1035987	1.0	0.9954169483241462	2020350	2020350	2029652	1.0	0.8717948717948718	34	34	39
