sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	553	1048999	1.0	1.0	7933412	7933412	7933412	1.0	1.0	11	11	11
gsa	131	1035915		1.0	1274645	1274645	1274645		1.0	39	39	39
gsa	232	1030746	1.0	1.0	3547923	3547923	3547923	1.0	1.0	2	2	2
gsa	541	1030743	1.0	1.0	3607646	3607646	3607646	1.0	1.0	3	3	3
gsa	86	1035912		1.0	957103	953746	953746		1.0	26	25	25
gsa	509	1220_K	1.0	0.9998007728567985	3874202	3874202	3874974	1.0	0.6666666666666666	2	2	3
gsa	174	1287_H	1.0	0.9997138082450929	4041587	4041587	4042744	1.0	0.6666666666666666	6	6	9
gsa	141	1285_BX	1.0	0.9997039736835377	3245372	3245372	3246333	1.0	0.8333333333333334	10	10	12
gsa	154	1285_AH	1.0	0.9996280837390408	3125885	3125885	3127048	1.0	0.8181818181818182	9	9	11
gsa	548	1049029	1.0	0.9996181256724079	4025965	4025965	4027503	1.0	0.9230769230769231	12	12	13
gsa	329	1285_AB	1.0	0.9995961979370864	4426124	4426124	4427912	1.0	0.7692307692307693	10	10	13
gsa	69	1365_D	1.0	0.9995697672584279	2787988	2787988	2789188	1.0	0.85	17	17	20
gsa	414	1048888	1.0	0.9995310962494994	8633117	8633117	8637167	1.0	0.9512195121951219	39	39	41
gsa	163	1048927	1.0	0.9995179914702538	4929071	4929071	4931448	1.0	0.8	4	4	5
gsa	303	evo_1052956.020	0.449715312318457	0.9995123770186157	5656374	2543758	2544999	0.08333333333333333	0.9761904761904762	492	41	42
gsa	426	1048882	1.0	0.9994589239066086	7634349	7634349	7638482	1.0	0.8181818181818182	9	9	11
gsa	562	1220_F	0.32690394693527963	0.9994433668624932	14450731	4724001	4726632	0.06140350877192982	0.875	114	7	8
gsa	314	1365_H	1.0	0.9993080825302809	3422894	3422894	3425264	1.0	0.7857142857142857	11	11	14
gsa	31	1036623	1.0	0.999306560765236	2142897	2142897	2144384	1.0	0.9629629629629629	26	26	27
gsa	138	1220_BW	1.0	0.9993031147571084	3592061	3592061	3594566	1.0	0.625	5	5	8
gsa	546	1036593	1.0	0.999253170881903	4293624	4293624	4296833	1.0	0.9655172413793104	28	28	29
gsa	488	evo_1220_W.003	0.4051034506733843	0.9991559556052725	11793785	4777703	4781739	0.04903677758318739	0.875	571	28	32
gsa	308	1049068	1.0	0.9991526261488487	3588052	3588052	3591095	1.0	0.8947368421052632	17	17	19
gsa	469	1048864	1.0	0.9990896870370669	8101917	8101917	8109299	1.0	0.9230769230769231	36	36	39
gsa	183	1048912	1.0	0.9990842712637128	5610058	5610058	5615200	1.0	0.8333333333333334	10	10	12
gsa	398	1035984	1.0	0.9990737629969936	2777491	2777491	2780066	1.0	0.9651162790697675	83	83	86
gsa	478	1285_L	0.9215140721339808	0.9989927153477545	5998948	5528115	5533689	0.7714285714285715	0.7105263157894737	35	27	38
gsa	390	1048855	1.0	0.9989723633490191	4733187	4733187	4738056	1.0	0.9310344827586207	27	27	29
gsa	281	1285_H	1.0	0.9987561880744987	3626258	3626258	3630774	1.0	0.7	7	7	10
gsa	213	1048924	1.0	0.9987457087429114	5041141	5041141	5047472	1.0	0.85	17	17	20
gsa	46	1220_BK	1.0	0.9987260985347846	3710625	3710625	3715358	1.0	0.6428571428571429	9	9	14
gsa	270	1036599	1.0	0.9987208821885275	4314639	4314639	4320165	1.0	0.7727272727272727	17	17	22
gsa	198	1049062	0.9731924802635316	0.9986937207867238	3415758	3324190	3328538	0.94	0.9591836734693877	50	47	49
gsa	149	1021_AG	1.0	0.998607751237965	3919122	3919122	3924586	1.0	0.75	3	3	4
gsa	399	1053046	1.0	0.9985868875505964	5372719	5372719	5380322	1.0	0.8846153846153846	23	23	26
gsa	475	1036761	0.41129383335312764	0.9985797061342555	9615566	3954823	3960448	0.05025125628140704	0.9523809523809523	796	40	42
gsa	443	1285_BA	1.0	0.9985701524502957	4386495	4386495	4392776	1.0	0.6666666666666666	6	6	9
gsa	72	1286_AE	0.9997414602275405	0.9985244283431874	4711074	4709856	4716816	0.972972972972973	0.8181818181818182	37	36	44
gsa	532	evo_1220_W.027	0.4199283191382456	0.9984782313517131	11312364	4750382	4757622	0.04283604135893648	0.8529411764705882	677	29	34
gsa	564	1286_M	1.0	0.9984594063599735	3884714	3884714	3890708	1.0	0.5833333333333334	7	7	12
gsa	439	1286_CM	1.0	0.998417313086016	3798269	3798269	3804290	1.0	0.8571428571428571	12	12	14
gsa	508	1036578	1.0	0.9984138435640424	2731834	2731834	2736174	1.0	0.918918918918919	34	34	37
gsa	89	1286_CB	1.0	0.998380825582047	3954864	3954864	3961278	1.0	0.7692307692307693	10	10	13
gsa	348	1030794	1.0	0.9983271819344144	9401887	9401887	9417641	1.0	0.7567567567567568	28	28	37
gsa	467	1285_AY	1.0	0.9983092351471194	4014458	4014458	4021257	1.0	0.7647058823529411	13	13	17
gsa	24	1286_AT	1.0	0.9982360017316081	3544194	3544194	3550457	1.0	0.7142857142857143	5	5	7
gsa	596	1286_BP	1.0	0.9981793352285812	3970426	3970426	3977668	1.0	0.5714285714285714	8	8	14
gsa	45	1285_A	0.9997975423629236	0.9981665141939932	6544579	6543254	6555273	0.98	0.7538461538461538	50	49	65
gsa	354	1035924		0.9981561324649115	870472	870472	872080		0.98	49	49	50
gsa	92	1286_AY	1.0	0.9981483951338973	3517445	3517445	3523970	1.0	0.6363636363636364	14	14	22
gsa	126	1286_BX	1.0	0.9981233485499961	4575626	4575626	4584229	1.0	0.71875	23	23	32
gsa	287	1285_BG	1.0	0.9981197084097977	3338405	3338405	3344694	1.0	0.7142857142857143	5	5	7
gsa	13	1285_T	1.0	0.9980817792862687	3727547	3727547	3734711	1.0	0.6428571428571429	9	9	14
gsa	515	1139_CM	1.0	0.9980161376025013	3405262	3405262	3412031	1.0	0.5	3	3	6
gsa	0	1285_F	1.0	0.9980075448042489	3935519	3935519	3943376	1.0	0.5	7	7	14
gsa	132	1286_BE	1.0	0.9980053478698725	3534906	3534906	3541971	1.0	0.6	6	6	10
gsa	586	1139_O	1.0	0.9979692421322351	2632083	2632083	2637439	1.0	0.9	9	9	10
gsa	502	1036770	1.0	0.9979088766951165	2306365	2306365	2311198	1.0	0.9772727272727273	86	86	88
gsa	239	1036563	1.0	0.9978426978652658	3700798	3700798	3708799	1.0	0.7333333333333333	11	11	15
gsa	552	1035909	1.0	0.9978150511260416	2831395	2831395	2837595	1.0	0.9259259259259259	50	50	54
gsa	116	1286_AV	1.0	0.9977929409011166	3887988	3887988	3896588	1.0	0.625	10	10	16
gsa	222	1036719	1.0	0.9977881308647931	6602392	6602392	6617028	1.0	0.972972972972973	72	72	74
gsa	286	1220_Y	1.0	0.9977811009944407	3596942	3596942	3604941	1.0	0.7142857142857143	15	15	21
gsa	585	1049059	1.0	0.9977575743369214	4299065	4299065	4308727	1.0	0.8604651162790697	37	37	43
