sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_200_c/output_recluster_bins/bin.70.fa	1036647	0.9865813430842241	1.0	4054057	3999657	3999657	0.9538461538461539	1.0	65	62	62
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_59.bin.3.fa	1048948	0.9921893909080106	1.0	3896111	3865680	3865680	0.9692307692307692	1.0	65	63	63
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_35.bin.7.fa	1036698	0.919047064991236	1.0	3721471	3420207	3420207	0.8309859154929577	1.0	71	59	59
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_47.bin.3.fa	1035987	0.9923619035884679	1.0	2045274	2029652	2029652	0.8478260869565217	1.0	46	39	39
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_0.bin.12.fa	1030824	0.9963629526340319	1.0	2122051	2114333	2114333	0.9629629629629629	1.0	108	104	104
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_10.bin.7.fa	1030746	0.9878869841672918	1.0	3591426	3547923	3547923	0.25	1.0	8	2	2
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_45.bin.2.fa	1030743	0.9593313166252901	1.0	3760584	3607646	3607646	0.10714285714285714	1.0	28	3	3
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_33.bin.1.fa	1036542	0.6284026101534262	1.0	8332537	5236188	5236188	0.42857142857142855	1.0	42	18	18
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_49.bin.1.fa	1048582	0.999585652585463	1.0	5548484	5546185	5546185	0.9130434782608695	1.0	23	21	21
gsa	S3N2Bin_200_c/output_recluster_bins/bin.111.fa	evo_1036569.031	0.9961848691585886	1.0	3385205	3372290	3372290	0.9655172413793104	1.0	29	28	28
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_9.bin.5.fa	1048930	0.7072064223377625	1.0	6232746	4407838	4407838	0.75	1.0	28	21	21
