sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	451	1286_F	0.47802328319893556	0.9998884630419634	7876495	3765148	3765568	0.14285714285714285	0.8888888888888888	56	8	9
gsa	559	1285_BX	1.0	0.9997039736835377	3245372	3245372	3246333	1.0	0.8333333333333334	10	10	12
gsa	573	1220_F	0.5796274728640167	0.9994433668624932	8150064	4724001	4726632	0.15217391304347827	0.875	46	7	8
gsa	89	1048909	0.4715572913617623	0.9990979230968365	11957300	5638552	5643643	0.2608695652173913	0.8571428571428571	46	12	14
gsa	377	evo_1030719.017	0.9907680344455716	0.9990337809454894	4750451	4706595	4711147	0.8405797101449275	0.9508196721311475	69	58	61
gsa	92	1286_CB	1.0	0.998380825582047	3954864	3954864	3961278	1.0	0.7692307692307693	10	10	13
gsa	570	1285_AY	0.8911280718379495	0.9983092351471194	4504917	4014458	4021257	0.3023255813953488	0.7647058823529411	43	13	17
gsa	508	1286_AT	1.0	0.9982360017316081	3544194	3544194	3550457	1.0	0.7142857142857143	5	5	7
gsa	323	1286_BP	1.0	0.9981793352285812	3970426	3970426	3977668	1.0	0.5714285714285714	8	8	14
gsa	254	1286_A	0.554856821937176	0.998145603833918	6159079	3417407	3423756	0.5833333333333334	0.6363636363636364	12	7	11
gsa	29	1285_BG	1.0	0.9981197084097977	3338405	3338405	3344694	1.0	0.7142857142857143	5	5	7
gsa	447	1285_F	1.0	0.9980075448042489	3935519	3935519	3943376	1.0	0.5	7	7	14
gsa	359	1286_BE	1.0	0.9980053478698725	3534906	3534906	3541971	1.0	0.6	6	6	10
gsa	282	1139_O	1.0	0.9979692421322351	2632083	2632083	2637439	1.0	0.9	9	9	10
gsa	469	evo_1036686.006	0.36652023850665694	0.9979138900972696	11597496	4250717	4259603	0.3208955223880597	0.9148936170212766	134	43	47
gsa	595	1286_AV	0.9978687428970929	0.9977929409011166	3896292	3887988	3896588	0.8333333333333334	0.625	12	10	16
