sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	24	1052947	0.3380628132511635	0.8874453434874946	12513920	4230491	4767044	0.21739130434782608	0.7291666666666666	161	35	48
gsa	34	evo_1035930.029	0.31022214559631883	0.5714032825759806	4442942	1378299	2412130	0.2948717948717949	0.3898305084745763	78	23	59
gsa	33	evo_1286_AP.008	0.2097444357516375	0.5315251420388223	8575417	1798646	3383934	0.2571428571428571	0.5	35	9	18
gsa	12	1035930	0.38617572627206426	0.49966141372512257	2843115	1097942	2197372	0.1443850267379679	0.45	187	27	60
gsa	35	evo_1049056.013	0.21915925251496388	0.4986253536897817	7997431	1752711	3515086	0.07086614173228346	0.34615384615384615	127	9	26
gsa	7	evo_1286_AP.008	0.2271671817506742	0.37037720002813296	5517223	1253332	3383934	0.16666666666666666	0.2777777777777778	30	5	18
gsa	28	1049056	0.24997032049468773	0.31366894566721687	4093734	1023312	3262395	0.028846153846153848	0.2647058823529412	312	9	34
gsa	37	1035930	0.2806297896310025	0.16868422825083781	1320822	370662	2197372	0.22448979591836735	0.18333333333333332	49	11	60
gsa	18	evo_1049056.013	0.2565576838611546	0.16866813500437827	2310915	592883	3515086	0.06741573033707865	0.23076923076923078	89	6	26
gsa	23	evo_1049056.031	0.3537048128666415	0.1590299011314206	1517661	536804	3375491	0.042735042735042736	0.14285714285714285	117	5	35
gsa	30	evo_1035930.029		0.11307350764676863	912994	272748	2412130		0.1864406779661017	41	11	59
gsa	14	evo_1286_AP.033	0.21106125170549997	0.11269815600446868	1654207	349139	3098001	0.25	0.11764705882352941	8	2	17
gsa	8	evo_1049056.013	0.17723331618338448	0.09946982804972623	1972795	349645	3515086	0.018957345971563982	0.15384615384615385	211	4	26
gsa	11	evo_1049056.039		0.012399204376669123	150604	33475	2699770		0.0056916604800791885	57	23	4041
