,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
maxbin2.001, root (UID1), 5656, 56,24, 55,1, 0,0,0,0,4.17,0.00, 0.00,335,174,63,phylum,0.94,0.49,0.39,0.51,1.66,0.63,0.31,True
maxbin2.002, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,787,321,97,kingdom,1.0,0.41,0.04,0.04,0.08,0.47,0.19,True
maxbin2.003,p__Cyanobacteria (UID2143), 129, 472, 368,156, 289,27, 0,0,0, 65.29,4.04,59.26,1736,1711,509,kingdom,1.0,0.99,0.0,0.0,0.0,0.96,0.94,True
maxbin2.004, k__Bacteria (UID203),5449,103,58, 92,11,0,0,0,0,8.57,0.00, 0.00,587,349,125,phylum,0.86,0.51,0.54,0.63,3.01,0.56,0.28,False
maxbin2.005, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,923,368,159,kingdom,1.0,0.4,0.0,0.03,0.06,0.49,0.19,True
maxbin2.006, k__Bacteria (UID203),5449,104,58, 89,13,2,0,0,0,6.08,1.72,50.00,853,373,129,kingdom,1.0,0.44,0.0,0.02,0.04,0.46,0.2,True
maxbin2.007, k__Bacteria (UID203),5449,104,58, 21,38,39, 6,0,0, 77.16, 45.38,49.12,1682,1399,463,order,0.52,0.43,0.46,0.63,3.84,0.59,0.25,False
maxbin2.008, root (UID1), 5656, 56,24, 55,1, 0,0,0,0,4.17,0.00, 0.00,1617,700,243,kingdom,1.0,0.43,0.0,0.04,0.09,0.53,0.23,True
maxbin2.009, k__Bacteria (UID203),5449, 99,53, 76,15,6,1,1,0, 37.74, 15.09, 0.00,1979,1776,689,order,0.77,0.69,0.99,0.44,1.45,0.81,0.56,False
maxbin2.010, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,1957,822,323,kingdom,1.0,0.42,0.07,0.02,0.05,0.44,0.19,True
maxbin2.011, k__Bacteria (UID203),5449,104,58, 30,43,27, 4,0,0, 66.50, 31.50,10.26,1644,1505,530,class,0.86,0.79,0.93,0.36,1.18,0.68,0.53,False
maxbin2.012, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,565,213,113,kingdom,1.0,0.38,0.0,0.08,0.18,0.46,0.18,True
maxbin2.013, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,626,231,104,kingdom,1.0,0.37,0.0,0.02,0.04,0.47,0.17,True
maxbin2.014, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,703,243,126,kingdom,1.0,0.35,0.0,0.05,0.1,0.47,0.16,True
maxbin2.015,f__Rhodobacteraceae (UID3340), 84, 568, 330, 86, 435,47, 0,0,0, 83.01,6.92,23.40,2466,2375,434,genus,0.87,0.84,0.98,0.04,0.09,0.94,0.79,False
maxbin2.016,k__Bacteria (UID3187),2258,190, 119, 94,72,20, 4,0,0, 51.30, 16.55, 6.25,866,807,245,class,0.87,0.81,0.87,0.22,0.6,0.65,0.53,False
maxbin2.017, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,461,217,103,kingdom,1.0,0.47,0.38,0.02,0.05,0.48,0.22,True
maxbin2.018, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,268,94,50,kingdom,1.0,0.35,0.0,0.14,0.31,0.45,0.16,True
maxbin2.019, k__Bacteria (UID203),5449,104,58, 46,26,30, 2,0,0, 28.45, 11.60, 2.78,906,740,251,family,0.65,0.53,0.69,0.37,1.29,0.67,0.36,False
maxbin2.020, k__Bacteria (UID203),5449,104,58, 72,24,8,0,0,0, 42.24, 12.07, 0.00,1781,1478,517,genus,0.55,0.46,0.94,0.71,4.16,0.72,0.33,False
maxbin2.021, root (UID1), 5656, 56,24, 54,2, 0,0,0,0,8.33,0.00, 0.00,1101,1020,420,family,0.77,0.71,0.9,0.37,1.01,0.71,0.5,False
maxbin2.022, k__Bacteria (UID203),5449,104,58, 65,23,9,0,4,3, 49.78, 40.52, 9.52,2666,2420,896,family,0.74,0.67,0.92,0.62,2.96,0.73,0.49,False
maxbin2.023, p__Euryarchaeota (UID3), 148, 188, 125, 45, 132,11, 0,0,0, 74.63,6.19,90.91,2158,1816,646,order,0.92,0.78,0.99,0.06,0.13,0.65,0.51,False
maxbin2.024, k__Bacteria (UID203),5449,104,58, 97,7, 0,0,0,0,4.94,0.00, 0.00,4608,1940,749,kingdom,1.0,0.42,0.26,0.04,0.08,0.44,0.19,True
maxbin2.025, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,1949,820,473,kingdom,1.0,0.42,0.67,0.03,0.05,0.41,0.17,False
maxbin2.026,f__Rhodobacteraceae (UID3340), 84, 568, 330,154, 344,58, 10, 2,0, 75.39, 14.28,22.00,3267,3046,878,genus,0.78,0.73,0.99,0.09,0.19,0.93,0.68,False
maxbin2.027, k__Bacteria (UID203),5449,104,58, 31,37,29, 7,0,0, 57.13, 28.71,12.00,1516,1300,358,genus,0.5,0.43,0.7,0.37,1.36,0.64,0.28,False
maxbin2.028, k__Bacteria (UID203),5449, 99,53, 38,37,16, 7,1,0, 73.16, 36.79, 0.00,1485,1335,459,class,0.84,0.75,0.76,0.43,1.47,0.59,0.45,False
maxbin2.029,k__Archaea (UID2),207, 149, 107,138,11,0,0,0,0,3.63,0.00, 0.00,6614,2460,1135,kingdom,1.0,0.37,0.0,0.06,0.13,0.45,0.17,True
maxbin2.030, k__Bacteria (UID203),5449,104,58, 31,30,33, 9,0,1, 74.33, 60.19, 1.43,1505,1361,459,class,0.86,0.78,0.65,0.32,0.9,0.58,0.45,False
maxbin2.031, k__Bacteria (UID203),5449,104,58, 69,26,8,1,0,0, 36.38, 12.23, 9.09,4784,2852,1250,phylum,0.89,0.53,0.58,0.32,1.01,0.55,0.29,False
maxbin2.032, k__Bacteria (UID203),5449, 99,53, 90,6, 3,0,0,0, 14.32,5.66, 0.00,980,899,365,order,0.81,0.74,0.97,0.25,0.63,0.75,0.56,False
maxbin2.033, c__Gammaproteobacteria (UID4266),1097,270, 172,161,88,17, 4,0,0, 39.84,5.63, 3.45,1021,920,280,phylum,0.93,0.84,0.19,0.05,0.11,0.57,0.48,True
maxbin2.034, k__Bacteria (UID203),5449, 99,53, 78,14,6,1,0,0, 32.45, 14.15,11.11,1326,1235,476,phylum,0.96,0.9,0.95,0.14,0.33,0.72,0.64,False
maxbin2.035, k__Bacteria (UID203),5449,104,58, 58,30,12, 1,1,2, 21.80, 16.38, 4.88,1707,756,281,kingdom,1.0,0.44,0.5,0.03,0.05,0.54,0.24,False
maxbin2.036,k__Archaea (UID2),207, 149, 107,100,33,8,6,1,1, 36.92, 18.54, 2.38,2117,1915,679,class,0.79,0.72,0.86,0.46,1.68,0.66,0.47,False
maxbin2.037,k__Bacteria (UID1453),901, 171, 117, 10, 130,28, 3,0,0, 91.45, 17.45,18.92,5620,3760,1117,kingdom,1.0,0.67,0.89,0.06,0.12,0.63,0.42,False
maxbin2.038,k__Bacteria (UID2495),2993,147,91, 91,43,10, 3,0,0, 26.60,3.14, 0.00,1672,1377,521,genus,0.49,0.4,0.84,0.39,1.47,0.71,0.29,False
maxbin2.039, k__Bacteria (UID203),5449,104,58, 33,32,21, 11, 4,3, 50.00, 30.60,11.02,929,670,272,kingdom,1.0,0.72,0.78,0.03,0.06,0.59,0.43,False
maxbin2.040, p__Euryarchaeota (UID3), 148, 188, 125, 42, 125,16, 4,1,0, 74.04, 11.90,20.59,6546,3441,1364,kingdom,1.0,0.53,0.82,0.4,0.92,0.5,0.26,False
maxbin2.041,k__Bacteria (UID2495),2993,139,83, 69,47,15, 7,1,0, 51.20, 22.77, 2.38,2606,2401,874,phylum,0.93,0.86,0.94,0.37,0.96,0.72,0.61,False
maxbin2.042, k__Bacteria (UID203),5449,104,58, 65,22,14, 1,1,1, 46.29, 30.99, 0.00,2360,2195,764,phylum,0.91,0.85,0.97,0.4,0.92,0.68,0.58,False
maxbin2.043,k__Archaea (UID2),207, 149, 107,118,25,1,5,0,0, 20.52,7.94, 0.00,2258,1906,653,genus,0.48,0.41,0.89,0.58,2.46,0.74,0.3,False
maxbin2.044,k__Bacteria (UID2495),2993,139,83, 43,66,21, 7,2,0, 67.69, 36.25, 0.00,2259,2078,589,phylum,0.92,0.85,0.94,0.31,0.8,0.62,0.53,False
maxbin2.045,p__Cyanobacteria (UID2143), 129, 472, 368, 96, 187, 119, 47, 19, 4, 80.98, 67.93,38.65,3941,3778,1467,kingdom,0.99,0.95,0.0,0.0,0.0,0.88,0.84,True
maxbin2.046, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,4261,1925,1269,kingdom,1.0,0.45,0.58,0.03,0.06,0.4,0.18,False
maxbin2.047, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,3052,1292,556,kingdom,1.0,0.42,0.08,0.03,0.05,0.43,0.18,True
maxbin2.048, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,325,135,40,kingdom,1.0,0.42,0.0,0.03,0.06,0.5,0.21,True
maxbin2.049, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,413,166,61,kingdom,1.0,0.4,0.33,0.04,0.09,0.45,0.18,True
maxbin2.050, k__Bacteria (UID203),5449,104,58,103,1, 0,0,0,0,0.86,0.00, 0.00,2108,796,308,kingdom,1.0,0.38,0.0,0.04,0.08,0.45,0.17,True
maxbin2.051, c__Gammaproteobacteria (UID4761), 52, 693, 297, 28, 586,78, 1,0,0, 95.91, 11.87,75.31,5707,5161,1452,class,0.97,0.87,0.9,0.05,0.1,0.95,0.83,False
maxbin2.052,k__Archaea (UID2),207, 149, 107, 30,75,32, 7,2,3, 73.76, 37.08,14.74,1731,1642,347,kingdom,1.0,0.95,0.27,0.04,0.09,0.77,0.73,True
maxbin2.053, p__Euryarchaeota (UID3), 148, 188, 125,107,64,11, 6,0,0, 40.86, 15.37,27.59,943,852,229,kingdom,1.0,0.9,0.47,0.06,0.13,0.8,0.73,False
maxbin2.054, c__Gammaproteobacteria (UID4443),356, 451, 270, 29, 388,31, 3,0,0, 91.62,7.47,17.50,3679,3257,544,class,0.89,0.79,0.17,0.33,1.01,0.56,0.44,True
maxbin2.055, root (UID1), 5656, 56,24, 56,0, 0,0,0,0,0.00,0.00, 0.00,665,275,125,kingdom,0.99,0.41,0.0,0.0,0.0,0.44,0.18,True
maxbin2.056, k__Bacteria (UID203),5449,103,57, 48,44,9,1,1,0, 82.46, 20.18,11.11,2369,2130,520,phylum,0.9,0.81,0.76,0.06,0.14,0.55,0.44,False
maxbin2.057,p__Cyanobacteria (UID2143), 129, 472, 368,172, 137,86, 64, 11, 2, 65.73, 56.60,29.23,4909,4531,1730,phylum,0.98,0.91,0.93,0.03,0.06,0.84,0.76,False
maxbin2.058, k__Bacteria (UID203),5449,104,58, 4, 37,51, 11, 1,0, 93.10, 55.67, 8.89,3814,3561,1366,phylum,0.97,0.91,0.87,0.33,0.79,0.66,0.6,False
maxbin2.059,k__Archaea (UID2),207, 149, 107,139,5, 4,1,0,0,7.08,4.67, 0.00,898,830,341,class,0.92,0.85,0.96,0.07,0.14,0.7,0.59,False
maxbin2.060,k__Bacteria (UID2566),525, 208, 136,119,61,14, 9,1,4, 39.05, 22.02, 3.26,2826,2573,924,phylum,0.91,0.83,0.9,0.25,0.66,0.7,0.58,False
