sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	nosemi_200/output_recluster_bins/recluster_22.bin.7.fa	1030917	0.9894863805674907	1.0	3007908	2976284	2976284	0.8888888888888888	1.0	63	56	56
gsa	nosemi_200/output_recluster_bins/recluster_7.bin.3.fa	1049029	0.882691629963671	1.0	4562752	4027503	4027503	0.35135135135135137	1.0	37	13	13
gsa	nosemi_200/output_recluster_bins/recluster_44.bin.3.fa	1035987	0.9970300113278099	1.0	2035698	2029652	2029652	0.9285714285714286	1.0	42	39	39
gsa	nosemi_200/output_recluster_bins/recluster_44.bin.6.fa	1048999	0.9984771277168797	1.0	7945512	7933412	7933412	0.6875	1.0	16	11	11
gsa	nosemi_200/output_recluster_bins/recluster_28.bin.6.fa	1036542	0.9092567908763629	1.0	5758756	5236188	5236188	0.5806451612903226	1.0	31	18	18
gsa	nosemi_200/output_recluster_bins/recluster_0.bin.9.fa	1030824	0.9903621184790546	1.0	2134909	2114333	2114333	0.9285714285714286	1.0	112	104	104
gsa	nosemi_200/output_recluster_bins/recluster_10.bin.3.fa	1030821	0.9757856536174813	1.0	4209075	4107155	4107155	0.8734177215189873	1.0	79	69	69
gsa	nosemi_200/output_recluster_bins/recluster_73.bin.2.fa	1030794	0.9977663294318173	1.0	9438724	9417641	9417641	0.8043478260869565	1.0	46	37	37
gsa	nosemi_200/output_recluster_bins/recluster_14.bin.15.fa	1030758	1.0	1.0	2978743	2978743	2978743	1.0	1.0	8	8	8
gsa	nosemi_200/output_recluster_bins/bin.64.fa	1036647	0.9865813430842241	1.0	4054057	3999657	3999657	0.9538461538461539	1.0	65	62	62
gsa	nosemi_200/output_recluster_bins/recluster_2.bin.3.fa	1036662	0.9143728715435971	1.0	4041955	3695854	3695854	0.8695652173913043	1.0	69	60	60
gsa	nosemi_200/output_recluster_bins/recluster_73.bin.0.fa	1036752	0.964655668928964	1.0	3996822	3855557	3855557	0.85	1.0	140	119	119
gsa	nosemi_200/output_recluster_bins/recluster_73.bin.3.fa	1048960	0.986518084895575	1.0	3961455	3908047	3908047	0.8596491228070176	1.0	57	49	49
gsa	nosemi_200/output_recluster_bins/recluster_56.bin.3.fa	1048948	0.9938449015983819	1.0	3889621	3865680	3865680	0.984375	1.0	64	63	63
gsa	nosemi_200/output_recluster_bins/recluster_33.bin.7.fa	1036698	0.8939104857717405	1.0	3826118	3420207	3420207	0.7763157894736842	1.0	76	59	59
gsa	nosemi_200/output_recluster_bins/recluster_42.bin.2.fa	1030743	0.9940987505862396	1.0	3629062	3607646	3607646	0.3	1.0	10	3	3
gsa	nosemi_200/output_recluster_bins/recluster_10.bin.7.fa	1030746	0.9878869841672918	1.0	3591426	3547923	3547923	0.25	1.0	8	2	2
gsa	nosemi_200/output_recluster_bins/bin.102.fa	evo_1036569.031	0.9885821544605934	1.0	3411239	3372290	3372290	0.9333333333333333	1.0	30	28	28
gsa	nosemi_200/output_recluster_bins/recluster_46.bin.0.fa	1048582	0.9984534029815063	1.0	5554776	5546185	5546185	0.8076923076923077	1.0	26	21	21
gsa	nosemi_200/output_recluster_bins/recluster_45.bin.3.fa	1048990	0.9995534515175933	1.0	3276240	3274777	3274777	0.9565217391304348	1.0	23	22	22
