,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,1195,404,152,kingdom,1.0,0.34,0.0,0.0,0.0,0.42,0.14,True
bin.1,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,973,444,141,kingdom,1.0,0.46,0.26,0.06,0.12,0.5,0.23,True
bin.10,o__Rhodospirillales (UID3754), 63, 336, 201,212, 122,2,0, 0, 0, 38.31,0.66, 0.00,2228,2187,397,kingdom,1.0,0.98,0.0,0.0,0.0,0.95,0.94,True
bin.100,c__Alphaproteobacteria (UID3422), 26, 529, 308, 84, 443,2,0, 0, 0, 80.63,0.43, 0.00,2993,2924,18,kingdom,1.0,0.98,0.0,0.0,0.0,0.94,0.91,True
bin.101,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,463,186,74,kingdom,1.0,0.4,0.07,0.05,0.1,0.42,0.17,True
bin.102,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,469,189,49,kingdom,1.0,0.4,0.36,0.03,0.07,0.44,0.18,True
bin.103, k__Bacteria (UID2570),433, 267, 178, 0,267,0,0, 0, 0, 100.00, 0.00, 0.00,2927,2772,31,family,0.92,0.87,0.14,0.02,0.05,0.85,0.74,True
bin.104,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,410,88,16,kingdom,1.0,0.21,0.0,0.26,0.63,0.4,0.09,True
bin.105,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,1136,545,175,kingdom,1.0,0.48,0.5,0.13,0.28,0.49,0.23,False
bin.108,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,296,136,48,kingdom,1.0,0.46,0.0,0.04,0.08,0.42,0.19,True
bin.112,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,819,284,71,kingdom,1.0,0.35,0.0,0.02,0.04,0.43,0.15,True
bin.12, root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,887,344,107,kingdom,1.0,0.39,0.0,0.02,0.04,0.4,0.16,True
bin.120,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,280,57,29,kingdom,1.0,0.2,0.0,0.32,0.76,0.39,0.08,True
bin.124,root (UID1), 5656, 56,24, 56,0, 0,0, 0, 0,0.00,0.00, 0.00,303,122,41,kingdom,1.0,0.4,0.71,0.06,0.12,0.46,0.19,False
