,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1,k__Bacteria (UID203),5449,104,58, 81,23, 0,0,0,0, 27.59,0.00, 0.00,842,819,175,family,0.92,0.89,0.56,0.12,0.26,0.68,0.61,False
bin.10, root (UID1), 5656, 56,24, 56,0,0,0,0,0,0.00,0.00, 0.00,594,582,123,genus,0.78,0.76,0.62,0.04,0.08,0.82,0.63,False
bin.11, c__Gammaproteobacteria (UID4201),1164,275, 174,180,91, 4,0,0,0, 32.52,0.57, 0.00,366,343,58,class,0.91,0.85,0.34,0.14,0.34,0.53,0.45,True
bin.12, k__Bacteria (UID203),5449,104,58, 85,19, 0,0,0,0, 31.03,0.00, 0.00,875,789,188,phylum,0.92,0.83,0.33,0.42,1.54,0.52,0.43,True
bin.13, c__Gammaproteobacteria (UID4267),119, 544, 284,236, 299, 9,0,0,0, 60.05,2.29,55.56,949,887,140,class,0.88,0.82,0.23,0.2,0.51,0.51,0.42,True
bin.14, k__Bacteria (UID203),5449,104,58, 0, 1,5,9,8,81,100.00, 1111.71,0.73,27631,25145,5249,family,0.53,0.48,0.79,0.76,5.52,0.59,0.28,False
bin.15, k__Bacteria (UID203),5449, 99,53, 98,1,0,0,0,0,1.89,0.00, 0.00,332,325,61,genus,0.83,0.81,0.92,0.66,2.75,0.77,0.63,False
bin.16, k__Bacteria (UID203),5449,102,58, 64,27, 10, 1,0,0, 49.92, 18.97,23.08,1693,1593,279,phylum,0.91,0.85,0.97,0.03,0.06,0.57,0.49,False
bin.17, k__Bacteria (UID203),5449,103,57, 73,28, 2,0,0,0, 36.25,3.51, 0.00,465,433,75,genus,0.47,0.44,0.66,0.37,1.32,0.66,0.29,False
bin.18, p__Euryarchaeota (UID3), 148, 188, 125, 55, 133, 0,0,0,0, 71.51,0.00, 0.00,1251,1088,119,phylum,0.93,0.8,0.17,0.03,0.06,0.54,0.43,True
bin.19, k__Bacteria (UID203),5449,104,58, 64,30, 6,3,1,0, 58.45, 17.24,38.10,2180,2150,383,family,0.94,0.93,0.94,0.02,0.04,0.89,0.83,False
bin.2, k__Bacteria (UID2495),2993,147,91, 31,58, 34, 14, 7,3, 85.62, 88.78, 7.43,3791,3515,675,genus,0.64,0.59,0.96,0.24,0.61,0.62,0.37,False
bin.20, root (UID1), 5656, 56,24, 56,0,0,0,0,0,0.00,0.00, 0.00,257,138,21,phylum,0.89,0.48,0.07,0.2,0.52,0.37,0.18,True
bin.21, k__Bacteria (UID203),5449,102,58, 26,34, 20, 11, 11, 0, 78.61, 78.08, 6.72,2497,2304,423,kingdom,1.0,0.92,0.84,0.02,0.04,0.55,0.51,False
bin.22, root (UID1), 5656, 56,24, 56,0,0,0,0,0,0.00,0.00, 0.00,316,149,24,kingdom,0.99,0.47,0.0,0.0,0.0,0.42,0.2,True
bin.23, root (UID1), 5656, 56,24, 54,2,0,0,0,0,8.33,0.00, 0.00,283,265,54,family,0.55,0.52,0.73,0.36,1.22,0.8,0.42,False
bin.24, k__Bacteria (UID203),5449,104,58, 88,16, 0,0,0,0, 12.38,0.00, 0.00,360,346,45,order,0.89,0.86,0.15,0.18,0.45,0.68,0.59,True
bin.25, root (UID1), 5656, 56,24, 56,0,0,0,0,0,0.00,0.00, 0.00,384,354,49,family,0.5,0.46,0.16,0.69,4.83,0.53,0.25,True
bin.26,k__Archaea (UID2),207, 149, 107,113,36, 0,0,0,0, 27.17,0.00, 0.00,550,499,65,kingdom,1.0,0.91,0.1,0.06,0.14,0.59,0.53,True
bin.27, root (UID1), 5656, 56,24, 56,0,0,0,0,0,0.00,0.00, 0.00,359,160,30,kingdom,1.0,0.45,0.0,0.03,0.06,0.43,0.19,True
bin.28,k__Bacteria (UID2495),2993,147,91, 48,54, 25, 9,1,10,75.03, 89.56, 0.00,3991,3739,730,family,0.57,0.54,0.73,0.66,3.3,0.66,0.35,False
bin.29, k__Bacteria (UID203),5449,104,58, 86,17, 1,0,0,0, 26.72,1.72, 0.00,814,806,113,kingdom,1.0,0.99,0.0,0.0,0.0,0.95,0.95,True
bin.3,k__Bacteria (UID203),5449,104,58, 66,38, 0,0,0,0, 45.61,0.00, 0.00,1146,1125,159,family,0.86,0.84,0.8,0.21,0.52,0.88,0.74,False
bin.30, c__Alphaproteobacteria (UID3305),564, 349, 230, 86, 251, 12, 0,0,0, 80.66,3.70,16.67,1515,1447,180,phylum,0.89,0.85,0.89,0.04,0.08,0.54,0.46,False
bin.31, k__Bacteria (UID203),5449,102,58, 91,11, 0,0,0,0, 17.24,0.00, 0.00,418,400,44,phylum,0.94,0.89,0.4,0.03,0.07,0.56,0.5,True
bin.4,k__Bacteria (UID203),5449,104,58, 99,5,0,0,0,0,7.76,0.00, 0.00,297,281,67,phylum,0.92,0.87,0.77,0.07,0.16,0.6,0.52,False
bin.5, k__Archaea (UID2),207, 149, 107,133,11, 5,0,0,0,3.04,0.36, 0.00,355,102,48,kingdom,1.0,0.29,0.0,0.18,0.41,0.37,0.11,True
bin.6, k__Archaea (UID2),207, 149, 107, 92,51, 6,0,0,0, 44.78,4.67,33.33,919,860,109,kingdom,1.0,0.94,0.14,0.08,0.16,0.61,0.57,True
bin.7, k__Archaea (UID2),207, 149, 107,112,37, 0,0,0,0, 30.22,0.00, 0.00,631,567,73,phylum,0.96,0.86,0.32,0.04,0.08,0.6,0.52,True
bin.8,c__Gammaproteobacteria (UID4201),1164,275, 174,182,85, 8,0,0,0, 33.63,3.26,12.50,593,589,104,class,0.95,0.94,0.85,0.05,0.11,0.91,0.86,False
bin.9,p__Euryarchaeota (UID3), 148, 188, 125, 25, 155, 8,0,0,0, 81.87,5.20, 0.00,1566,1465,125,phylum,0.97,0.9,0.48,0.03,0.05,0.65,0.59,False
