sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.002.fasta	1030896	0.785706805015241	1.0	3800256	2985887	2985887	0.20202020202020202	1.0	99	20	20
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.039.fasta	1049035	0.656647650287327	1.0	4804630	3154949	3154949	0.7692307692307693	1.0	39	30	30
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.096.fasta	1030740	0.9982556293647573	1.0	3263068	3257376	3257376	0.9393939393939394	1.0	33	31	31
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.027.fasta	1030905	0.7567559286348461	1.0	4112203	3111934	3111934	0.2463768115942029	1.0	69	17	17
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.097.fasta	1036785	0.9898324060980525	1.0	5032164	4980999	4980999	0.9	1.0	30	27	27
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.110.fasta	1048939	1.0	0.9999049907898545	2957327	2957327	2957608	1.0	0.9565217391304348	22	22	23
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.069.fasta	1285_BF	0.5151200660563676	0.9995929488956459	8085216	4164857	4166553	0.3333333333333333	0.8888888888888888	24	8	9
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.088.fasta	1220_E	0.9836172871123748	0.9994400075471274	7399385	7278163	7282241	0.7435897435897436	0.8055555555555556	39	29	36
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.113.fasta	1287_BN	0.9644982889995274	0.9989920377080145	4923143	4748363	4753154	0.34782608695652173	0.5517241379310345	46	16	29
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.009.fasta	1036704	0.9847985310139467	0.9988662849874306	4210251	4146249	4150955	0.8539325842696629	0.9620253164556962	89	76	79
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.100.fasta	1035939	0.9779527867471914	0.9986937614295875	1633948	1597924	1600014	0.5384615384615384	0.875	13	7	8
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.017.fasta	1053028	0.9864762809628373	0.9986764463753645	3812191	3760636	3765620	0.8666666666666667	0.9629629629629629	30	26	27
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.012.fasta	1052998	1.0	0.9985465266766114	2507576	2507576	2511226	1.0	0.96	24	24	25
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.046.fasta	1286_AF	0.9825263245895975	0.9983504260771608	4856391	4771532	4779416	0.4722222222222222	0.5862068965517241	36	17	29
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.082.fasta	1030881	0.998871544901695	0.9983382043399912	3300087	3296363	3301850	0.9090909090909091	0.9523809523809523	22	20	21
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.019.fasta	1053022	1.0	0.9982896935101455	3677834	3677834	3684135	1.0	0.925	37	37	40
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.038.fasta	1285_CG	1.0	0.9982100595084227	3726403	3726403	3733085	1.0	0.7857142857142857	11	11	14
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.025.fasta	1220_AX	1.0	0.9978194334576411	4238258	4238258	4247520	1.0	0.6153846153846154	8	8	13
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.104.fasta	1220_A	0.8446960259875483	0.9977104846563167	4567726	3858340	3867194	0.2545454545454545	0.6086956521739131	55	14	23
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.042.fasta	1048885	0.9946889425904475	0.997211110902873	12303388	12238044	12272270	0.6896551724137931	0.851063829787234	58	40	47
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.077.fasta	1030968	0.9786821561460588	0.9965366964298257	4711499	4611060	4627085	0.5955056179775281	0.9298245614035088	89	53	57
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.005.fasta	1021_AS	1.0	0.996490837255919	5555839	5555839	5575404	1.0	0.65625	21	21	32
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.072.fasta	1021_AP	0.9669255609610585	0.9961779236450388	6878998	6651479	6676999	0.5714285714285714	0.7323943661971831	91	52	71
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.059.fasta	1048966	0.9913949821302327	0.9959622793320468	3683316	3651621	3666425	0.9259259259259259	0.8333333333333334	27	25	30
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.064.fasta	1035969	0.9188915532740053	0.9958816265607091	3910012	3592877	3607735	0.5675675675675675	0.9130434782608695	74	42	46
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.011.fasta	1139_CF	0.9968580877683483	0.9957914294244695	6062550	6043502	6069044	0.9534883720930233	0.5857142857142857	43	41	70
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.034.fasta	1036635	0.8601423919531436	0.9951141006949915	3781253	3252416	3268385	0.32038834951456313	0.8918918918918919	103	33	37
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.074.fasta	1285_AD	0.9987401385847556	0.9950730866264625	5700627	5693445	5721635	0.9887640449438202	0.6821705426356589	89	88	129
gsa	/home1/pansj/binning/CAMI_medium/Maxbin2/maxbin2.091.fasta	1220_X	0.9692452379498682	0.9949765541371544	3734316	3619468	3637742	0.8	0.7272727272727273	20	16	22
