,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0,k__Bacteria (UID203),5449,104,58, 94,10,0,0,0, 0, 13.79,0.00, 0.00,344,324,96,class,0.96,0.9,0.14,0.11,0.26,0.59,0.53,True
bin.1,root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,336,310,92,phylum,0.96,0.89,0.78,0.41,1.35,0.56,0.49,False
bin.10, c__Gammaproteobacteria (UID4443),356, 451, 270, 83, 340,27, 1,0, 0, 77.04,6.69,76.67,2132,2017,327,phylum,0.96,0.91,0.77,0.03,0.05,0.67,0.61,False
bin.100,k__Bacteria (UID203),5449,104,58, 98,6, 0,0,0, 0,9.48,0.00, 0.00,506,433,128,genus,0.54,0.46,0.9,0.11,0.25,0.56,0.26,False
bin.101,k__Bacteria (UID203),5449,104,58, 93,10,1,0,0, 0,6.27,0.86, 0.00,449,420,149,phylum,0.95,0.89,0.5,0.04,0.09,0.53,0.48,False
bin.102, k__Bacteria (UID2569),434, 278, 186, 62, 197,19, 0,0, 0, 76.47,8.35,52.63,1577,1494,226,phylum,0.96,0.91,0.34,0.03,0.05,0.56,0.51,True
bin.103,k__Bacteria (UID203),5449,104,58, 94,10,0,0,0, 0,9.25,0.00, 0.00,316,301,92,genus,0.64,0.61,0.86,0.21,0.54,0.68,0.41,False
bin.106,root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,291,206,47,phylum,0.96,0.68,0.54,0.16,0.38,0.55,0.37,False
bin.107, k__Bacteria (UID1453),901, 171, 117, 80,86,5,0,0, 0, 40.60,2.85,20.00,711,659,125,phylum,0.85,0.78,0.39,0.52,1.76,0.53,0.41,True
bin.108,k__Bacteria (UID203),5449,104,58, 87,17,0,0,0, 0, 10.89,0.00, 0.00,274,264,70,genus,0.65,0.63,0.59,0.31,0.94,0.71,0.45,False
bin.11,k__Bacteria (UID2982), 88, 230, 148,192,38,0,0,0, 0, 14.40,0.00, 0.00,269,246,80,genus,0.55,0.51,0.58,0.29,0.89,0.64,0.33,False
bin.110,root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,530,519,99,genus,0.86,0.85,0.99,0.14,0.32,0.93,0.78,False
bin.111,k__Bacteria (UID203),5449,104,58, 97,6, 1,0,0, 0, 12.07,1.72, 0.00,331,310,69,kingdom,1.0,0.94,0.0,0.0,0.0,0.91,0.86,True
bin.113, f__Rhodobacteraceae (UID3340), 84, 568, 330,420, 139,8,1,0, 0, 23.89,1.53,27.27,1109,1063,259,phylum,0.99,0.95,1.0,0.02,0.04,0.79,0.75,False
bin.114,c__Gammaproteobacteria (UID4443),356, 451, 270,349, 102,0,0,0, 0, 19.05,0.00, 0.00,538,509,120,phylum,0.96,0.91,0.8,0.08,0.17,0.66,0.6,False
bin.115,root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,318,133,48,kingdom,1.0,0.42,0.19,0.03,0.06,0.45,0.19,True
bin.116,root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,345,187,69,class,0.84,0.46,0.46,0.64,3.57,0.55,0.25,False
bin.12,k__Bacteria (UID1453),901, 171, 117,127,44,0,0,0, 0, 14.72,0.00, 0.00,283,262,52,family,0.46,0.43,0.64,0.49,1.48,0.61,0.26,False
bin.120,c__Gammaproteobacteria (UID4201),1164,275, 174, 74, 194,7,0,0, 0, 67.82,2.68,42.86,1104,1012,103,class,0.86,0.79,0.22,0.1,0.23,0.52,0.41,True
bin.121, p__Cyanobacteria (UID2192),79, 584, 458,148, 412,24, 0,0, 0, 72.10,2.77, 4.17,1265,1234,94,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.95,True
bin.124, k__Archaea (UID2),207, 149, 107,132,17,0,0,0, 0,3.98,0.00, 0.00,383,74,40,kingdom,1.0,0.19,0.0,0.12,0.27,0.37,0.07,True
bin.13, root (UID1), 5656, 56,24, 55,1, 0,0,0, 0,4.17,0.00, 0.00,1723,1486,362,order,0.58,0.5,0.65,0.31,0.97,0.57,0.28,False
bin.131,root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,425,379,101,order,0.79,0.7,0.92,0.32,0.83,0.67,0.47,False
bin.14,k__Bacteria (UID2569),434, 278, 186, 35, 232,11, 0,0, 0, 88.71,3.49,18.18,2264,2093,265,phylum,0.95,0.88,0.51,0.04,0.09,0.53,0.46,False
bin.15, c__Gammaproteobacteria (UID4761), 52, 693, 297, 50, 620,21, 2,0, 0, 94.71,4.42,48.15,5234,5014,725,kingdom,1.0,0.96,0.0,0.0,0.0,0.92,0.88,True
bin.16, p__Euryarchaeota (UID3), 148, 188, 125,116,70,2,0,0, 0, 32.39,0.96, 0.00,1002,948,234,kingdom,0.98,0.93,0.0,0.0,0.0,0.84,0.78,True
bin.17, k__Bacteria (UID203),5449,104,58, 94,10,0,0,0, 0, 10.00,0.00, 0.00,344,304,75,family,0.49,0.43,0.47,0.5,2.47,0.53,0.23,False
bin.19, root (UID1), 5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,1549,617,239,kingdom,1.0,0.4,0.0,0.05,0.09,0.41,0.16,True
bin.2, k__Archaea (UID2),207, 149, 107,128,14,7,0,0, 0,7.25,0.50, 0.00,2425,843,234,kingdom,1.0,0.35,0.0,0.05,0.1,0.41,0.14,True
bin.20, c__Gammaproteobacteria (UID4443),356, 448, 269, 82, 348,17, 1,0, 0, 81.19,4.14,25.00,3248,3126,513,genus,0.87,0.83,0.42,0.07,0.15,0.76,0.64,True
