sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S19/output_recluster_bins/bin.106.fa	OTU_97.35197.0	0.9772060635666693	1.0	1817808	1776373	1776373	0.07692307692307693	1.0	13	1	1
gsa	S19/output_recluster_bins/bin.31.fa	OTU_97.44958.0	0.7631288818369375	1.0	2319295	1769921	1769921	0.00641025641025641	1.0	156	1	1
gsa	S19/output_recluster_bins/bin.40.fa	OTU_97.42987.0	0.7291486710303828	1.0	3462645	2524783	2524783	0.003676470588235294	1.0	272	1	1
gsa	S19/output_recluster_bins/bin.76.fa	OTU_97.17727.0	0.9066541490496968	1.0	2220870	2013561	2013561	0.037037037037037035	1.0	54	2	2
gsa	S19/output_recluster_bins/bin.81.fa	OTU_97.38845.0	0.9891242670701721	1.0	2728092	2698422	2698422	0.71875	1.0	32	23	23
gsa	S19/output_recluster_bins/bin.85.fa	OTU_97.39115.0	0.9656388716851528	1.0	2220125	2143839	2143839	0.045454545454545456	1.0	22	1	1
gsa	S19/output_recluster_bins/bin.86.fa	OTU_97.20271.0	0.9271524549359291	1.0	2126084	1971204	1971204	0.05714285714285714	1.0	35	2	2
gsa	S19/output_recluster_bins/recluster_0.bin.1.fa	OTU_97.38106.0	0.3707200172798824	1.0	5861151	2172846	2172846	0.005376344086021506	1.0	372	2	2
gsa	S19/output_recluster_bins/recluster_11.bin.0.fa	OTU_97.20031.0	1.0	1.0	6815179	6815179	6815179	1.0	1.0	4	4	4
gsa	S19/output_recluster_bins/recluster_24.bin.0.fa	OTU_97.23667.1	0.9702134515420917	1.0	2234465	2167908	2167908	0.06666666666666667	1.0	15	1	1
gsa	S19/output_recluster_bins/recluster_29.bin.0.fa	OTU_97.45365.0	0.8619786838618656	1.0	2432617	2096864	2096864	0.011235955056179775	1.0	89	1	1
gsa	S19/output_recluster_bins/recluster_29.bin.1.fa	OTU_97.42422.0	0.8884767234119321	1.0	2405722	2137428	2137428	0.013157894736842105	1.0	76	1	1
gsa	S19/output_recluster_bins/recluster_39.bin.0.fa	OTU_97.44228.0	0.8779809014275296	1.0	2518827	2211482	2211482	0.017857142857142856	1.0	56	1	1
gsa	S19/output_recluster_bins/recluster_42.bin.0.fa	OTU_97.45053.0	0.9778202719833455	1.0	1957914	1914488	1914488	0.07692307692307693	1.0	13	1	1
gsa	S19/output_recluster_bins/recluster_42.bin.1.fa	OTU_97.44935.0	0.9821667909990296	1.0	1924948	1890620	1890620	0.09090909090909091	1.0	11	1	1
gsa	S19/output_recluster_bins/recluster_52.bin.1.fa	OTU_97.27797.0	0.9972209707048032	1.0	2270577	2264267	2264267	0.3333333333333333	1.0	3	1	1
gsa	S19/output_recluster_bins/recluster_5.bin.0.fa	OTU_97.1906.0	0.43049266483696436	1.0	3801347	1636452	1636452	0.01282051282051282	1.0	78	1	1
gsa	S19/output_recluster_bins/bin.32.fa	OTU_97.14837.0	0.7441997052248402	1.0	2426256	1805619	1805619	0.011299435028248588	1.0	177	2	2
gsa	S19/output_recluster_bins/recluster_9.bin.1.fa	OTU_97.44565.0	0.5481163229988768	1.0	3118661	1709389	1709389	0.004672897196261682	1.0	214	1	1
gsa	S19/output_recluster_bins/bin.129.fa	OTU_97.9740.1	0.9701356554734714	1.0	1678222	1628103	1628103	0.058823529411764705	1.0	17	1	1
gsa	S19/output_recluster_bins/bin.225.fa	OTU_97.20.0	1.0	1.0	2300989	2300989	2300989	1.0	1.0	1	1	1
gsa	S19/output_recluster_bins/bin.121.fa	OTU_97.29545.0	0.9942403105443067	0.9993951914671791	2142303	2129964	2131253	0.84	0.9545454545454546	25	21	22
gsa	S19/output_recluster_bins/bin.12.fa	OTU_97.42948.0	0.7709205044642958	0.9987798177575762	3086601	2379524	2382431	0.08878504672897196	0.8636363636363636	214	19	22
gsa	S19/output_recluster_bins/recluster_52.bin.0.fa	OTU_97.16180.0	0.7956370959461294	0.9955845741932453	2717181	2161890	2171478	0.5114503816793893	0.9436619718309859	131	67	71
gsa	S19/output_recluster_bins/bin.95.fa	OTU_97.39679.0	0.9892749992653349	0.9946315983119917	1803543	1784200	1793830	0.9107142857142857	0.8947368421052632	56	51	57
gsa	S19/output_recluster_bins/recluster_11.bin.1.fa	OTU_97.38169.0	0.9812205753350445	0.9941683358501626	7276421	7139774	7181655	0.8726415094339622	0.9024390243902439	212	185	205
gsa	S19/output_recluster_bins/bin.2.fa	OTU_97.25225.0	1.0	0.9836999568009772	2365943	2365943	2405147	1.0	0.8506787330316742	188	188	221
gsa	S19/output_recluster_bins/bin.50.fa	OTU_97.31370.0	1.0	0.9820497220653213	2976522	2976522	3030928	1.0	0.843065693430657	231	231	274
gsa	S19/output_recluster_bins/bin.46.fa	OTU_97.1704.0	0.993227871260613	0.9791578527432683	2451371	2434770	2486596	0.9897959183673469	0.8220338983050848	196	194	236
gsa	S19/output_recluster_bins/bin.58.fa	OTU_97.36412.0	0.9708171889691372	0.9753055920014615	1935660	1879172	1926752	0.8789808917197452	0.7796610169491526	157	138	177
gsa	S19/output_recluster_bins/bin.26.fa	OTU_97.30766.0	1.0	0.9720334234341476	2678372	2678372	2755432	1.0	0.794425087108014	228	228	287
gsa	S19/output_recluster_bins/bin.59.fa	OTU_97.42878.0	0.9895228855775624	0.9706223122274804	2293475	2269446	2338135	0.9576719576719577	0.793859649122807	189	181	228
gsa	S19/output_recluster_bins/recluster_52.bin.2.fa	OTU_97.40059.0	1.0	0.954080787275432	2084428	2084428	2184750	1.0	0.8	4	4	5
gsa	S19/output_recluster_bins/recluster_42.bin.2.fa	OTU_97.42989.0	0.9825733159615077	0.837802635696729	1531215	1504531	1795806	0.9711191335740073	0.4890909090909091	277	269	550
gsa	S19/output_recluster_bins/bin.25.fa	OTU_97.38269.0	1.0	0.8237658717115275	2029998	2029998	2464290	1.0	0.4780058651026393	326	326	682
gsa	S19/output_recluster_bins/bin.15.fa	OTU_97.5089.0	1.0	0.8137350894370572	1236656	1236656	1519728	1.0	0.47737556561085975	211	211	442
