sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	CAMI_high/Maxbin2/maxbin2.010.fasta	1286_CM	1.0	0.998417313086016	3798269	3798269	3804290	1.0	0.8571428571428571	12	12	14
gsa	CAMI_high/Maxbin2/maxbin2.274.fasta	1285_AY	1.0	0.9983092351471194	4014458	4014458	4021257	1.0	0.7647058823529411	13	13	17
gsa	CAMI_high/Maxbin2/maxbin2.056.fasta	1286_AT	0.8855545819319275	0.9982360017316081	4002231	3544194	3550457	0.2631578947368421	0.7142857142857143	19	5	7
gsa	CAMI_high/Maxbin2/maxbin2.012.fasta	1286_AG	0.9871946939689938	0.9956775763355298	4700161	4639974	4660117	0.6333333333333333	0.59375	30	19	32
gsa	CAMI_high/Maxbin2/maxbin2.137.fasta	evo_1036569.031	0.8989032912515694	0.9948548315832861	3732258	3354939	3372290	0.52	0.9285714285714286	50	26	28
gsa	CAMI_high/Maxbin2/maxbin2.015.fasta	1220_N	1.0	0.9930014281910651	3647471	3647471	3673178	1.0	0.38461538461538464	5	5	13
gsa	CAMI_high/Maxbin2/maxbin2.249.fasta	1285_U	0.9615598591692284	0.992806509500942	5171313	4972527	5008556	0.55	0.6875	40	22	32
gsa	CAMI_high/Maxbin2/maxbin2.022.fasta	1139_CK	0.7383657532920491	0.9926369322976473	8832265	6521442	6569816	0.6627906976744186	0.7037037037037037	86	57	81
gsa	CAMI_high/Maxbin2/maxbin2.050.fasta	1220_BI	0.9860851036590615	0.9905985284492542	8154714	8041242	8117559	0.7717391304347826	0.6893203883495146	92	71	103
gsa	CAMI_high/Maxbin2/maxbin2.151.fasta	1220_BO	0.9822230179836479	0.9871569928041022	8327454	8179417	8285832	0.8085106382978723	0.7169811320754716	94	76	106
gsa	CAMI_high/Maxbin2/maxbin2.090.fasta	evo_1048963.035	0.9971450243498073	0.9827550983845791	5253635	5238636	5330561	0.8378378378378378	0.775	37	31	40
gsa	CAMI_high/Maxbin2/maxbin2.198.fasta	1036662	0.9978093726156941	0.9776912183219358	3621337	3613404	3695854	0.9574468085106383	0.75	47	45	60
gsa	CAMI_high/Maxbin2/maxbin2.169.fasta	1287_AL	1.0	0.9753312879648584	4676932	4676932	4795224	1.0	0.4666666666666667	35	35	75
gsa	CAMI_high/Maxbin2/maxbin2.248.fasta	evo_1048987.032	0.9746432593144682	0.9708124522691635	3085925	3007676	3098102	0.42424242424242425	0.3684210526315789	33	14	38
gsa	CAMI_high/Maxbin2/maxbin2.042.fasta	1285_CA	1.0	0.9619564882229094	3119698	3119698	3243076	1.0	0.5652173913043478	13	13	23
gsa	CAMI_high/Maxbin2/maxbin2.231.fasta	evo_1048972.030	1.0	0.9605231642246955	2939490	2939490	3060301	1.0	0.48148148148148145	13	13	27
gsa	CAMI_high/Maxbin2/maxbin2.167.fasta	evo_1036674.014	0.9992147127632826	0.9432120691834326	2875381	2873123	3046105	0.9375	0.75	32	30	40
gsa	CAMI_high/Maxbin2/maxbin2.055.fasta	1286_BE	1.0	0.9422451510754888	3337405	3337405	3541971	1.0	0.5	5	5	10
gsa	CAMI_high/Maxbin2/maxbin2.300.fasta	1048969	1.0	0.9398450167926603	3619705	3619705	3851385	1.0	0.8023598820058997	272	272	339
gsa	CAMI_high/Maxbin2/maxbin2.217.fasta	1286_Q	0.9870322287591642	0.9389757115314498	5693114	5619287	5984486	0.9478260869565217	0.48878923766816146	115	109	223
gsa	CAMI_high/Maxbin2/maxbin2.197.fasta	1036674	0.997772843864633	0.9373532399755143	2610504	2604690	2778771	0.9090909090909091	0.75	33	30	40
gsa	CAMI_high/Maxbin2/maxbin2.162.fasta	evo_1030719.017	0.938756297134616	0.9351022160845331	4692809	4405404	4711147	0.813953488372093	0.5737704918032787	43	35	61
gsa	CAMI_high/Maxbin2/maxbin2.038.fasta	1220_W	0.998059626381732	0.9334738238893042	4463058	4454398	4771851	0.8666666666666667	0.37142857142857144	15	13	35
gsa	CAMI_high/Maxbin2/maxbin2.163.fasta	evo_1036569.038	0.9680591455629639	0.8941255180908864	3128282	3028362	3386954	0.6875	0.39285714285714285	16	11	28
gsa	CAMI_high/Maxbin2/maxbin2.146.fasta	evo_1036569.028	0.993464977690095	0.8915507975237297	2994634	2975064	3336954	0.8125	0.4642857142857143	16	13	28
gsa	CAMI_high/Maxbin2/maxbin2.132.fasta	1036569	0.8190376964836585	0.8795956146910672	3805660	3116979	3543650	0.25	0.32142857142857145	36	9	28
gsa	CAMI_high/Maxbin2/maxbin2.024.fasta	1139_CB	0.9902375431331492	0.8746616884068938	5976262	5917919	6765952	0.8666666666666667	0.47560975609756095	45	39	82
gsa	CAMI_high/Maxbin2/maxbin2.294.fasta	1285_C	0.9913636613358668	0.860822787940063	3476589	3446564	4003802	0.9568627450980393	0.7601246105919003	255	244	321
gsa	CAMI_high/Maxbin2/maxbin2.131.fasta	1285_AJ	0.8543376697502749	0.8336462433517499	3924515	3352861	4021923	0.52	0.5416666666666666	25	13	24
gsa	CAMI_high/Maxbin2/maxbin2.092.fasta	1285_BC	1.0	0.8251820800449639	3523610	3523610	4270100	1.0	0.1791044776119403	12	12	67
gsa	CAMI_high/Maxbin2/maxbin2.110.fasta	1287_I	0.960454301940536	0.7427665177733217	3628688	3485189	4692173	0.9210526315789473	0.6140350877192983	38	35	57
gsa	CAMI_high/Maxbin2/maxbin2.165.fasta	evo_1036569.020	0.9853213147342085	0.6731424421899044	2188275	2156154	3203117	0.4	0.17391304347826086	10	4	23
gsa	CAMI_high/Maxbin2/maxbin2.044.fasta	1286_CN	0.4064794490726008	0.24032694319557757	2944417	1196845	4980070	0.34782608695652173	0.08163265306122448	23	8	98
gsa	CAMI_high/Maxbin2/maxbin2.124.fasta	1052980	0.29452254917232285	0.2014717756189055	3357529	988868	4908221	0.2374429223744292	0.21224489795918366	219	52	245
gsa	CAMI_high/Maxbin2/maxbin2.117.fasta	evo_1052962.017		0.11625283586971563	882259	304942	2623093		0.3492063492063492	66	22	63
gsa	CAMI_high/Maxbin2/maxbin2.031.fasta	1285_AM		0.1046602485505615	810192	491841	4699406		0.05063291139240506	11	4	79
gsa	CAMI_high/Maxbin2/maxbin2.127.fasta	1052956		0.09019251198919499	696257	226512	2511428		0.4418604651162791	97	19	43
gsa	CAMI_high/Maxbin2/maxbin2.029.fasta	1286_BA		0.08480774795366477	580939	395083	4658572		0.038461538461538464	7	3	78
gsa	CAMI_high/Maxbin2/maxbin2.254.fasta	1052962		0.06926247587262743	825823	173498	2504935		0.2978723404255319	106	28	94
gsa	CAMI_high/Maxbin2/maxbin2.070.fasta	1285_AR		0.050704672132463505	287399	287399	5668097		0.08823529411764706	12	12	136
gsa	CAMI_high/Maxbin2/maxbin2.296.fasta	1286_T		0.048247078393372694	848956	227743	4720348		0.054491899852724596	68	37	679
gsa	CAMI_high/Maxbin2/maxbin2.255.fasta	1052962		0.047170884673654205	473186	118160	2504935		0.1595744680851064	58	15	94
gsa	CAMI_high/Maxbin2/maxbin2.138.fasta	1220_AP		0.045911358296920377	246237	243397	5301455		0.061224489795918366	5	3	49
gsa	CAMI_high/Maxbin2/maxbin2.219.fasta	1052962		0.04203422444095356	164712	105293	2504935		0.031914893617021274	7	3	94
gsa	CAMI_high/Maxbin2/maxbin2.222.fasta	evo_1052956.019		0.03172758741750026	284760	81968	2583493		0.02127659574468085	7	1	47
gsa	CAMI_high/Maxbin2/maxbin2.192.fasta	1286_CD		0.02776537803932773	409451	143246	5159159		0.015151515151515152	26	2	132
gsa	CAMI_high/Maxbin2/maxbin2.134.fasta	1052980		0.018501815627291435	165321	90811	4908221		0.0326530612244898	16	8	245
gsa	CAMI_high/Maxbin2/maxbin2.212.fasta	1285_CB		0.009308503778597405	109041	46917	5040230		0.014184397163120567	15	2	141
