,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
maxbin2.001,o__Bacteroidales (UID2657), 160, 491, 268,326, 165, 0,0,0,0, 25.23,0.00, 0.00,573,548,49,genus,0.96,0.92,0.59,0.02,0.04,0.81,0.74,False
maxbin2.002, k__Bacteria (UID203),5449,104,58, 78,26, 0,0,0,0, 36.21,0.00, 0.00,1056,993,96,family,0.94,0.89,0.16,0.02,0.05,0.79,0.7,True
maxbin2.003,o__Bacteroidales (UID2654), 163, 486, 266,316, 164, 6,0,0,0, 35.15,0.68,16.67,1024,945,124,genus,0.91,0.84,0.3,0.11,0.24,0.78,0.66,True
maxbin2.004, k__Bacteria (UID203),5449,104,58, 99,5,0,0,0,0,6.90,0.00, 0.00,193,181,37,phylum,1.0,0.94,0.94,0.11,0.25,0.78,0.73,False
maxbin2.005, k__Bacteria (UID203),5449,104,58, 82,15, 7,0,0,0, 30.17,8.62,42.86,1119,1061,112,genus,0.89,0.84,0.59,0.06,0.13,0.84,0.7,False
maxbin2.006,o__Bacteroidales (UID2657), 160, 491, 268,151, 324, 16, 0,0,0, 65.60,1.03,62.50,1894,1794,153,genus,0.96,0.91,0.67,0.03,0.07,0.95,0.87,False
maxbin2.007,o__Bacteroidales (UID2657), 160, 492, 269,131, 322, 38, 1,0,0, 68.22,9.01, 2.44,1912,1825,134,genus,0.93,0.88,0.83,0.37,0.88,0.83,0.74,False
maxbin2.008, root (UID1), 5656, 56,24, 54,2,0,0,0,0,8.33,0.00, 0.00,364,341,29,genus,0.91,0.85,0.84,0.1,0.23,0.94,0.8,False
maxbin2.009, root (UID1), 5656, 56,24, 54,2,0,0,0,0,8.33,0.00, 0.00,345,322,39,family,0.89,0.83,0.46,0.07,0.16,0.8,0.67,False
maxbin2.010, root (UID1), 5656, 56,24, 56,0,0,0,0,0,0.00,0.00, 0.00,287,262,55,phylum,0.97,0.88,0.72,0.04,0.08,0.73,0.64,False
maxbin2.011, k__Bacteria (UID203),5449,104,58, 67,34, 3,0,0,0, 58.62,5.17, 0.00,1804,1691,125,genus,0.93,0.87,0.84,0.19,0.44,0.89,0.78,False
maxbin2.012, root (UID1), 5656, 56,24, 56,0,0,0,0,0,0.00,0.00, 0.00,188,162,24,genus,0.8,0.69,0.38,0.19,0.43,0.81,0.56,True
maxbin2.013, k__Bacteria (UID203),5449,104,58,103,1,0,0,0,0,1.72,0.00, 0.00,306,275,41,phylum,1.0,0.9,0.87,0.04,0.09,0.86,0.77,False
maxbin2.014, p__Proteobacteria (UID3887), 1487,256, 161,170,72, 11, 3,0,0, 34.72,6.30, 5.00,1481,1368,193,phylum,1.0,0.92,0.98,0.28,0.77,0.81,0.75,False
maxbin2.015,k__Bacteria (UID2329),174, 149,89, 96,53, 0,0,0,0, 13.48,0.00, 0.00,398,362,84,phylum,0.98,0.89,0.88,0.21,0.52,0.74,0.66,False
maxbin2.016, k__Bacteria (UID203),5449,104,58, 90,14, 0,0,0,0, 22.41,0.00, 0.00,793,732,77,class,0.96,0.89,1.0,0.03,0.07,0.76,0.68,False
maxbin2.017, k__Bacteria (UID203),5449,104,58, 55,32, 17, 0,0,0, 18.97,6.90, 0.00,775,654,137,class,0.89,0.75,0.92,0.21,0.51,0.76,0.57,False
maxbin2.018,o__Clostridiales (UID1212), 172, 261, 147, 1,255, 5,0,0,0, 99.32,1.81,40.00,2151,2044,143,family,0.93,0.88,0.17,0.08,0.19,0.77,0.68,True
maxbin2.019,k__Bacteria (UID2329),174, 149,89, 77,50, 22, 0,0,0, 37.08, 17.42,31.82,807,768,55,class,0.96,0.92,0.37,0.04,0.08,0.78,0.71,True
maxbin2.020,o__Bacteroidales (UID2657), 160, 492, 269,277, 211, 4,0,0,0, 42.97,0.30,25.00,914,840,88,family,0.93,0.85,0.28,0.17,0.4,0.71,0.61,True
maxbin2.021,o__Bacteroidales (UID2657), 160, 492, 269,351, 141, 0,0,0,0, 21.84,0.00, 0.00,495,443,24,order,0.96,0.86,0.95,0.04,0.09,0.68,0.59,False
