sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_200_c/output_recluster_bins/bin.21.fa	evo_1049056.011	0.9985003461884444	1.0	3359442	3354404	3354404	0.9285714285714286	1.0	28	26	26
gsa	S3N2Bin_200_c/output_recluster_bins/bin.14.fa	evo_1035930.029	0.998180033502612	1.0	2416528	2412130	2412130	0.9516129032258065	1.0	62	59	59
gsa	S3N2Bin_200_c/output_recluster_bins/bin.27.fa	1036539	0.9898353541226685	1.0	4722742	4674737	4674737	0.9333333333333333	1.0	60	56	56
gsa	S3N2Bin_200_c/output_recluster_bins/bin.10.fa	1049005	1.0	1.0	4107833	4107833	4107833	1.0	1.0	23	23	23
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_9.bin.0.fa	evo_1049056.015	0.9988584417284367	1.0	3369079	3365233	3365233	0.9285714285714286	1.0	28	26	26
gsa	S3N2Bin_200_c/output_recluster_bins/bin.4.fa	1035930	0.8670849962473454	1.0	2534206	2197372	2197372	0.8571428571428571	1.0	70	60	60
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_25.bin.2.fa	1285_BH	0.5215838673727977	1.0	8755127	4566533	4566533	0.07407407407407407	1.0	81	6	6
gsa	S3N2Bin_200_c/output_recluster_bins/bin.6.fa	1035900	0.9978645664878021	0.9998512180542976	7293601	7278026	7279109	0.96875	0.9893617021276596	96	93	94
gsa	S3N2Bin_200_c/output_recluster_bins/bin.12.fa	evo_1286_AP.033	0.9861119247128339	0.9998114913455483	3141040	3097417	3098001	0.8	0.9411764705882353	20	16	17
gsa	S3N2Bin_200_c/output_recluster_bins/bin.16.fa	1030836	0.9995452146084907	0.9997968467761217	4899014	4896786	4897781	0.9855072463768116	0.9855072463768116	69	68	69
gsa	S3N2Bin_200_c/output_recluster_bins/bin.18.fa	evo_1035930.032	0.9975594089525159	0.999564238063718	2299443	2293831	2294831	0.9827586206896551	0.9827586206896551	58	57	58
gsa	S3N2Bin_200_c/output_recluster_bins/bin.23.fa	evo_1286_AP.026	1.0	0.9994886229506768	3209296	3209296	3210938	1.0	0.8823529411764706	15	15	17
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_13.bin.1.fa	evo_1286_AP.008	0.9725427480156047	0.9988203079610891	3475366	3379942	3383934	0.7368421052631579	0.7777777777777778	19	14	18
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_30.bin.0.fa	1049089	1.0	0.9986889817171203	3120193	3120193	3124289	1.0	0.8888888888888888	24	24	27
gsa	S3N2Bin_200_c/output_recluster_bins/bin.34.fa	1220_AD	1.0	0.9984086648614872	3475186	3475186	3480725	1.0	0.7804878048780488	32	32	41
gsa	S3N2Bin_200_c/output_recluster_bins/bin.20.fa	1030755	0.9969995929999457	0.9973819794289717	4616707	4602855	4614937	0.9759036144578314	0.9310344827586207	83	81	87
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_13.bin.0.fa	evo_1286_AP.037	0.9843421746431517	0.9966882541033537	3121634	3072756	3082966	0.7368421052631579	0.8235294117647058	19	14	17
gsa	S3N2Bin_200_c/output_recluster_bins/bin.38.fa	1036554	1.0	0.9966485510997142	2647560	2647560	2656463	1.0	0.76	19	19	25
gsa	S3N2Bin_200_c/output_recluster_bins/bin.2.fa	evo_1049056.031	0.7432186011405977	0.9965107298464134	4525873	3363713	3375491	0.04193138500635324	0.9428571428571428	787	33	35
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_30.bin.1.fa	1030878	0.9988577184182921	0.9964409456385847	3280277	3276530	3288233	0.8888888888888888	0.7272727272727273	18	16	22
gsa	S3N2Bin_200_c/output_recluster_bins/bin.31.fa	1030752	1.0	0.9941488329683921	6240990	6240990	6277722	1.0	0.7619047619047619	64	64	84
gsa	S3N2Bin_200_c/output_recluster_bins/bin.28.fa	1139_AG	1.0	0.9929664309868913	7226624	7226624	7277813	1.0	0.4626865671641791	31	31	67
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_25.bin.1.fa	1052947	0.9687253228005692	0.9915272441370375	4879251	4726654	4767044	0.8979591836734694	0.9166666666666666	49	44	48
gsa	S3N2Bin_200_c/output_recluster_bins/bin.32.fa	1036608	0.9868076763563699	0.9908835878079345	3182760	3140772	3169668	0.9117647058823529	0.8051948051948052	68	62	77
gsa	S3N2Bin_200_c/output_recluster_bins/bin.17.fa	1036755	1.0	0.9859069120397244	6372642	6372642	6463736	1.0	0.9174311926605505	100	100	109
gsa	S3N2Bin_200_c/output_recluster_bins/bin.8.fa	1036641	0.9991468339601701	0.9856086912724252	2595040	2592826	2630685	0.9930555555555556	0.959731543624161	144	143	149
gsa	S3N2Bin_200_c/output_recluster_bins/bin.7.fa	1048783	0.9531517881583433	0.9827271410658074	2498772	2381709	2423571	0.8656716417910447	0.8055555555555556	67	58	72
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_13.bin.2.fa	1286_AP	0.9996106415016913	0.9760075965748187	2904778	2903647	2975025	0.9411764705882353	0.8888888888888888	17	16	18
gsa	S3N2Bin_200_c/output_recluster_bins/bin.5.fa	1036707	0.9223583373962766	0.9731611750360647	4225180	3897130	4004609	0.8477970627503337	0.8355263157894737	749	635	760
gsa	S3N2Bin_200_c/output_recluster_bins/bin.1.fa	1036728	0.9877884293102	0.9693914816675337	1975094	1950975	2012577	0.9755244755244755	0.8205882352941176	286	279	340
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_9.bin.1.fa	1049056	0.5006532277893377	0.9199802599010849	5994846	3001339	3262395	0.5777777777777777	0.7647058823529411	45	26	34
gsa	S3N2Bin_200_c/output_recluster_bins/bin.3.fa	1365_A	0.9776961384324367	0.8987788032488474	6450049	6306188	7016396	0.9450171821305842	0.6686349426884335	2037	1925	2879
gsa	S3N2Bin_200_c/output_recluster_bins/bin.0.fa	1036743	0.9804347446969284	0.8710943491258536	4529969	4441339	5098574	0.9650621118012422	0.654899894625922	1288	1243	1898
gsa	S3N2Bin_200_c/output_recluster_bins/bin.22.fa	evo_1035930.011	0.9994201952749271	0.8561687944065446	1936859	1935736	2260928	0.9791666666666666	0.8392857142857143	48	47	56
gsa	S3N2Bin_200_c/output_recluster_bins/bin.15.fa	1048993	0.9799299927911898	0.7620548036062377	2825709	2768997	3633593	0.9824267782426779	0.47186495176848875	1195	1174	2488
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_25.bin.0.fa	1053058	0.5057024862657249	0.3836821299557595	3937230	1991067	5189366	0.52	0.2708333333333333	50	26	96
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_25.bin.3.fa	1053058	0.6370969870708543	0.25580138305912514	2083587	1327447	5189366	0.6875	0.34375	48	33	96
gsa	S3N2Bin_200_c/output_recluster_bins/recluster_9.bin.2.fa	evo_1049056.013		0.1479719130627245	777022	520134	3515086		0.23076923076923078	15	6	26
gsa	S3N2Bin_200_c/output_recluster_bins/bin.24.fa	1220_AJ		0.1285828497546085	340450	336140	2614190		0.046755189826070694	251	250	5347
