sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	OTU_97.32002.0	OTU_97.32002.0	1.0	1.0	1627180	1627180	1627180	1.0	1.0	1792	1792	1792
gsa	OTU_97.18938.0	OTU_97.18938.0	1.0	1.0	2151141	2151141	2151141	1.0	1.0	1	1	1
gsa	OTU_97.39526.0	OTU_97.39526.0	1.0	1.0	5310353	5310353	5310353	1.0	1.0	1	1	1
gsa	OTU_97.6382.0	OTU_97.6382.0	1.0	1.0	5637352	5637352	5637352	1.0	1.0	1	1	1
gsa	OTU_97.270.0	OTU_97.270.0	1.0	1.0	2501077	2501077	2501077	1.0	1.0	1	1	1
gsa	OTU_97.44585.0	OTU_97.44585.0	1.0	1.0	2839465	2839465	2839465	1.0	1.0	2	2	2
gsa	OTU_97.44237.0	OTU_97.44237.0	1.0	1.0	2616366	2616366	2616366	1.0	1.0	1	1	1
gsa	OTU_97.34494.0	OTU_97.34494.0	1.0	1.0	2878896	2878896	2878896	1.0	1.0	1	1	1
gsa	OTU_97.35920.0	OTU_97.35920.0	1.0	1.0	2820433	2820433	2820433	1.0	1.0	2	2	2
gsa	OTU_97.32002.1	OTU_97.32002.1	1.0	1.0	2302172	2302172	2302172	1.0	1.0	3	3	3
gsa	OTU_97.35712.0	OTU_97.35712.0	1.0	1.0	2927210	2927210	2927210	1.0	1.0	2	2	2
gsa	OTU_97.16297.0	OTU_97.16297.0	1.0	1.0	2770154	2770154	2770154	1.0	1.0	1	1	1
gsa	OTU_97.35048.0	OTU_97.35048.0	1.0	1.0	2564551	2564551	2564551	1.0	1.0	7	7	7
gsa	OTU_97.35249.1	OTU_97.35249.1	1.0	1.0	2770753	2770753	2770753	1.0	1.0	33	33	33
gsa	OTU_97.45365.1	OTU_97.45365.1	1.0	1.0	2131018	2131018	2131018	1.0	1.0	3	3	3
gsa	OTU_97.37297.1	OTU_97.37297.1	1.0	1.0	2916342	2916342	2916342	1.0	1.0	2	2	2
gsa	OTU_97.24656.0	OTU_97.24656.0	1.0	1.0	2106330	2106330	2106330	1.0	1.0	1	1	1
gsa	OTU_97.35249.0	OTU_97.35249.0	1.0	1.0	2976338	2976338	2976338	1.0	1.0	2	2	2
gsa	OTU_97.37297.0	OTU_97.37297.0	1.0	1.0	2678832	2678832	2678832	1.0	1.0	4	4	4
gsa	OTU_97.544.0	OTU_97.544.0	1.0	1.0	2962442	2962442	2962442	1.0	1.0	1	1	1
gsa	OTU_97.10273.0	OTU_97.10273.0	1.0	1.0	2528055	2528055	2528055	1.0	1.0	1	1	1
gsa	OTU_97.34382.0	OTU_97.34382.0	1.0	1.0	2560632	2560632	2560632	1.0	1.0	9	9	9
gsa	OTU_97.45365.0	OTU_97.45365.0	1.0	1.0	2097304	2097304	2097304	1.0	1.0	302	302	302
gsa	OTU_97.29637.0	OTU_97.29637.0	1.0	1.0	2728743	2728743	2728743	1.0	1.0	378	378	378
gsa	OTU_97.29637.1	OTU_97.29637.1	1.0	1.0	2435598	2435598	2435598	1.0	1.0	1	1	1
