,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.1, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,410,168,26,kingdom,1.0,0.41,0.18,0.07,0.15,0.39,0.16,True
bin.103, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1241,394,182,kingdom,1.0,0.32,0.0,0.0,0.0,0.38,0.12,True
bin.105, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,208,60,32,kingdom,1.0,0.29,0.0,0.07,0.14,0.39,0.11,True
bin.106, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,362,82,53,kingdom,1.0,0.23,0.0,0.05,0.1,0.51,0.11,True
bin.108, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,273,109,51,kingdom,0.99,0.4,0.0,0.0,0.0,0.41,0.16,True
bin.11,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,411,187,77,order,0.89,0.4,0.25,0.7,4.64,0.48,0.19,True
bin.113, k__Bacteria (UID203),5449,104,58, 97,7,0,0, 0, 0,5.33,0.00, 0.00,1021,960,162,class,0.98,0.92,0.74,0.04,0.09,0.86,0.79,False
bin.116, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,418,165,54,kingdom,1.0,0.39,0.0,0.07,0.14,0.42,0.16,True
bin.12,root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,281,122,24,phylum,0.93,0.4,0.02,0.41,1.5,0.43,0.17,True
bin.133, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,566,226,122,kingdom,0.99,0.39,0.0,0.0,0.0,0.39,0.15,True
bin.136, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,762,327,96,kingdom,1.0,0.43,0.32,0.02,0.04,0.41,0.17,True
bin.137, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,382,138,44,kingdom,1.0,0.36,0.0,0.13,0.29,0.45,0.16,True
bin.138, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,634,257,81,kingdom,1.0,0.41,0.54,0.02,0.05,0.47,0.19,False
bin.139, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,519,202,59,kingdom,1.0,0.39,0.0,0.07,0.15,0.45,0.17,True
bin.142, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,496,275,56,genus,0.8,0.44,0.34,0.56,2.07,0.57,0.25,True
bin.153, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,692,188,26,kingdom,0.99,0.27,0.0,0.0,0.0,0.42,0.11,True
