,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0,c__Gammaproteobacteria (UID4201),1164,271, 170, 18, 252,1, 0,0,0, 90.29,0.59, 0.00,2133,1983,360,kingdom,1.0,0.93,0.0,0.0,0.0,0.94,0.87,True
bin.10,o__Clostridiales (UID1226), 155, 278, 158, 11, 265,2, 0,0,0, 94.49,0.95, 0.00,2571,2501,234,family,0.95,0.93,0.13,0.07,0.15,0.93,0.86,True
bin.100, o__Clostridiales (UID1212), 172, 263, 149, 94, 168,1, 0,0,0, 57.05,0.67,100.00,1272,1160,221,family,0.84,0.77,0.18,0.19,0.49,0.62,0.48,True
bin.101,root (UID1), 5656, 56,24, 55,1, 0, 0,0,0,4.17,0.00, 0.00,339,332,14,kingdom,1.0,0.98,0.0,0.0,0.0,0.92,0.9,True
bin.11, p__Proteobacteria (UID3887), 1487,256, 161, 62, 192,2, 0,0,0, 86.16,0.93, 0.00,1762,1726,250,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True
bin.113, o__Clostridiales (UID1226), 155, 278, 158, 8,267,3, 0,0,0, 97.83,1.16,100.00,2425,2373,132,genus,0.89,0.87,0.18,0.06,0.12,0.83,0.73,True
bin.12, f__Lachnospiraceae (UID1256), 33, 333, 171, 6,321,6, 0,0,0, 97.76,1.32,50.00,2387,2345,162,genus,0.89,0.88,0.39,0.04,0.08,0.97,0.85,True
bin.120,k__Bacteria (UID203),5449,104,58,102,2, 0, 0,0,0,3.45,0.00, 0.00,315,284,17,genus,0.89,0.8,0.21,0.21,0.55,0.76,0.61,True
bin.121, o__Bacteroidales (UID2657), 160, 492, 269,470,22,0, 0,0,0,0.72,0.00, 0.00,318,307,43,family,0.92,0.89,0.48,0.33,1.07,0.73,0.65,False
bin.122,root (UID1), 5656, 56,24, 56,0, 0, 0,0,0,0.00,0.00, 0.00,231,191,27,genus,0.72,0.6,0.33,0.54,1.87,0.65,0.39,True
bin.123,root (UID1), 5656, 56,24, 54,2, 0, 0,0,0,8.33,0.00, 0.00,320,318,86,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.97,True
bin.124,root (UID1), 5656, 56,24, 56,0, 0, 0,0,0,0.00,0.00, 0.00,353,252,73,genus,0.72,0.52,0.64,0.2,0.54,0.64,0.33,False
bin.125,root (UID1), 5656, 56,24, 56,0, 0, 0,0,0,0.00,0.00, 0.00,425,350,91,phylum,0.97,0.8,0.72,0.32,0.86,0.62,0.49,False
bin.126,root (UID1), 5656, 56,24, 56,0, 0, 0,0,0,0.00,0.00, 0.00,199,157,21,family,0.89,0.7,0.22,0.11,0.25,0.79,0.55,True
bin.13, p__Proteobacteria (UID3887), 1487,256, 161,196,60,0, 0,0,0, 19.61,0.00, 0.00,295,288,18,kingdom,1.0,0.98,0.0,0.0,0.0,0.79,0.77,True
bin.147,o__Lactobacillales (UID544), 293, 475, 267, 1,473,1, 0,0,0, 99.63,0.19,100.00,1902,1848,40,kingdom,1.0,0.97,0.0,0.0,0.0,0.94,0.91,True
