sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.39.fa	1036785	0.9140043067025467	1.0	5449645	4980999	4980999	0.3176470588235294	1.0	85	27	27
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.59.fa	1030869	0.9146178748367942	1.0	1677330	1534116	1534116	0.42857142857142855	1.0	14	6	6
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_55.bin.4.fa	1286_BU	0.5001215718153764	0.9996182288406485	5868959	2935193	2936314	0.4	0.9230769230769231	30	12	13
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.81.fa	1285_BF	0.9982687292669364	0.9995929488956459	4172080	4164857	4166553	0.8	0.8888888888888888	10	8	9
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.46.fa	1048885	0.8986994254382777	0.999441912539408	13647968	12265421	12272270	0.11466666666666667	0.9148936170212766	375	43	47
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.58.fa	1220_E	0.9970193873418027	0.9991994222657559	7298164	7276411	7282241	0.7368421052631579	0.7777777777777778	38	28	36
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_33.bin.0.fa	1287_BN	0.962872230255683	0.9989920377080145	4931457	4748363	4753154	0.2711864406779661	0.5517241379310345	59	16	29
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_22.bin.0.fa	1035939	0.7576234148062208	0.9986937614295875	2109127	1597924	1600014	0.029787234042553193	0.875	235	7	8
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_30.bin.0.fa	1036629	0.9805343867044287	0.9985519975796046	2500923	2452241	2455797	0.9216867469879518	0.9807692307692307	166	153	156
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_55.bin.2.fa	1286_BD	0.9865147604426012	0.9983802194579728	3064610	3023283	3028188	0.7333333333333333	0.6875	15	11	16
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.5.fa	1286_AF	0.967322694172789	0.9983504260771608	4932720	4771532	4779416	0.265625	0.5862068965517241	64	17	29
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_38.bin.0.fa	1030881	1.0	0.9983382043399912	3296363	3296363	3301850	1.0	0.9523809523809523	20	20	21
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.93.fa	1285_CG	0.9992775730961142	0.9982100595084227	3729097	3726403	3733085	0.9166666666666666	0.7857142857142857	12	11	14
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.77.fa	1049035	0.9988720542885726	0.9981391141346501	3152634	3149078	3154949	0.9333333333333333	0.9333333333333333	30	28	30
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.52.fa	1030740	0.8821012528390358	0.9979646193746132	3685230	3250746	3257376	0.14646464646464646	0.9354838709677419	198	29	31
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.35.fa	1220_A	0.994114423360094	0.9977104846563167	3881183	3858340	3867194	0.45161290322580644	0.6086956521739131	31	14	23
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.42.fa	1036635	0.9405958905927745	0.9974103418048975	3465804	3259921	3268385	0.576271186440678	0.918918918918919	59	34	37
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_38.bin.1.fa	1053055	0.9854882361339616	0.9970080919592919	5084978	5011186	5026224	0.6923076923076923	0.8780487804878049	52	36	41
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.68.fa	1021_AS	0.9978032510950077	0.9966820341629055	5569139	5556905	5575404	0.9166666666666666	0.6875	24	22	32
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_17.bin.0.fa	1053022	0.9916652262685406	0.9966570171831379	3702680	3671819	3684135	0.7083333333333334	0.85	48	34	40
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_24.bin.1.fa	1287_W	1.0	0.9965131992674178	4192911	4192911	4207582	1.0	0.6410256410256411	25	25	39
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_76.bin.1.fa	1220_AX	1.0	0.9962335668813802	4231522	4231522	4247520	1.0	0.5384615384615384	7	7	13
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.40.fa	1030737	0.9853643719554148	0.9962029003087841	3700422	3646264	3660162	0.8059701492537313	0.8709677419354839	67	54	62
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.31.fa	1139_CF	1.0	0.9960224378007475	6044904	6044904	6069044	1.0	0.6	42	42	70
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_50.bin.1.fa	1048966	1.0	0.9959622793320468	3651621	3651621	3666425	1.0	0.8333333333333334	25	25	30
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_33.bin.1.fa	1035969	0.8910494208352492	0.9958816265607091	4032186	3592877	3607735	0.6666666666666666	0.9130434782608695	63	42	46
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_22.bin.1.fa	1036680	0.9871404024167175	0.9953408057202503	4510250	4452250	4473091	0.9021739130434783	0.9431818181818182	92	83	88
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.41.fa	1021_AP	0.9243483863230793	0.9950850674082773	7187963	6644182	6676999	0.5	0.7323943661971831	104	52	71
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_60.bin.1.fa	1036782	0.9715444410714708	0.994845638114019	3007567	2921985	2937124	0.375	0.9545454545454546	56	21	22
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_17.bin.1.fa	1053028	0.9993066010565597	0.994684540659971	3748203	3745604	3765620	0.92	0.8518518518518519	25	23	27
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.79.fa	1052998	0.9966451589220299	0.9946619698904041	2506229	2497821	2511226	0.8846153846153846	0.92	26	23	25
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_55.bin.0.fa	1030968	0.9997542240967735	0.9942808485255836	4601753	4600622	4627085	0.9803921568627451	0.8771929824561403	51	50	57
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_48.bin.1.fa	1053040	1.0	0.9942333159616381	7100701	7100701	7141886	1.0	0.8611111111111112	62	62	72
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_24.bin.2.fa	1139_CO	0.9928416289907249	0.9939922324868254	5755220	5714022	5748558	0.6103896103896104	0.6025641025641025	77	47	78
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_44.bin.1.fa	evo_1139_Y.018	0.998995788099572	0.9938574738091356	7254445	7247160	7291951	0.9473684210526315	0.5869565217391305	57	54	92
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_6.bin.0.fa	1049032	0.518014396037718	0.9935277008227149	8630986	4470975	4500101	0.1597222222222222	0.92	144	23	25
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_9.bin.1.fa	1139_CJ	1.0	0.9934462691935593	4629098	4629098	4659636	1.0	0.36666666666666664	11	11	30
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_30.bin.1.fa	1035993	0.9678407666511235	0.9930611196749733	2860858	2768855	2788202	0.49206349206349204	0.9117647058823529	63	31	34
gsa	S3N2Bin_200_cannot/output_recluster_bins/recluster_22.bin.2.fa	1048939	1.0	0.9925906340529238	2935694	2935694	2957608	1.0	0.6956521739130435	16	16	23
gsa	S3N2Bin_200_cannot/output_recluster_bins/bin.23.fa	1030782	0.7350148107542206	0.9923979326181719	3236162	2378627	2396848	0.239247311827957	0.9081632653061225	372	89	98
