sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	CAMI_high/COCACOLA/bin.225.fa	1030743	0.4647491564000873	1.0	7762566	3607646	3607646	0.03296703296703297	1.0	91	3	3
gsa	CAMI_high/COCACOLA/bin.195.fa	1048999	0.3470251780308995	1.0	22861200	7933412	7933412	0.12790697674418605	1.0	86	11	11
gsa	CAMI_high/COCACOLA/bin.7.fa	1048876	0.20528741556504376	0.999718567320931	43813163	8994291	8996823	0.19480519480519481	0.9375	154	30	32
gsa	CAMI_high/COCACOLA/bin.44.fa	1365_F	0.998546263781533	0.9995954740783691	3694618	3689247	3690740	0.9032258064516129	0.9333333333333333	31	28	30
gsa	CAMI_high/COCACOLA/bin.417.fa	1048927	0.14448882588939813	0.9995179914702538	34113856	4929071	4931448	0.027777777777777776	0.8	144	4	5
gsa	CAMI_high/COCACOLA/bin.154.fa	1048582	0.9815577838807891	0.9992924866372109	5646393	5542261	5546185	0.37735849056603776	0.9523809523809523	53	20	21
gsa	CAMI_high/COCACOLA/bin.245.fa	1036617	0.9635350798656321	0.9989329570177637	2994467	2885274	2888356	0.6216216216216216	0.9583333333333334	37	23	24
gsa	CAMI_high/COCACOLA/bin.192.fa	1036563	0.12516632268900782	0.998898834905855	29598337	3704715	3708799	0.09917355371900827	0.8	121	12	15
gsa	CAMI_high/COCACOLA/bin.456.fa	1049026	0.698287667133629	0.9988273240700746	4761983	3325234	3329138	0.12757201646090535	0.9393939393939394	243	31	33
gsa	CAMI_high/COCACOLA/bin.269.fa	1053046	0.45830670827043335	0.9985868875505964	11722977	5372719	5380322	0.16911764705882354	0.8846153846153846	136	23	26
gsa	CAMI_high/COCACOLA/bin.130.fa	1030965	0.5198348793319127	0.998464853970152	9152337	4757704	4765019	0.6896551724137931	0.9375	87	60	64
gsa	CAMI_high/COCACOLA/bin.38.fa	1285_L	0.9029120452968479	0.9982299330518936	6117865	5523894	5533689	0.5681818181818182	0.6578947368421053	44	25	38
gsa	CAMI_high/COCACOLA/bin.412.fa	1036773	0.8447361877059535	0.9980374143698203	3518695	2972369	2978214	0.3770491803278688	0.92	61	23	25
gsa	CAMI_high/COCACOLA/bin.300.fa	1036770	0.4113494872143348	0.9979088766951165	5606826	2306365	2311198	0.1902654867256637	0.9772727272727273	452	86	88
gsa	CAMI_high/COCACOLA/bin.210.fa	1285_AN	0.9906509605759393	0.9977074736359468	4331568	4291072	4300932	0.34782608695652173	0.5925925925925926	46	16	27
gsa	CAMI_high/COCACOLA/bin.359.fa	1048864	0.5110149623529666	0.9975629212833317	15830331	8089536	8109299	0.6363636363636364	0.8974358974358975	55	35	39
gsa	CAMI_high/COCACOLA/bin.365.fa	1030794	0.42899679258763845	0.9973955261195452	21895532	9393113	9417641	0.4716981132075472	0.6756756756756757	53	25	37
gsa	CAMI_high/COCACOLA/bin.63.fa	1049080	0.9979092003534549	0.9973745640023662	6107711	6094941	6110985	0.71875	0.7931034482758621	32	23	29
gsa	CAMI_high/COCACOLA/bin.144.fa	1035984	0.9434491098814423	0.9973248836538413	2938822	2772629	2780066	0.7130434782608696	0.9534883720930233	115	82	86
gsa	CAMI_high/COCACOLA/bin.310.fa	1036599	0.9714034192867834	0.9971628398452373	4434726	4307908	4320165	0.42857142857142855	0.6818181818181818	35	15	22
gsa	CAMI_high/COCACOLA/bin.274.fa	1220_BE	0.06450983292383569	0.9970621592247868	74490458	4805367	4819526	0.0125	0.3333333333333333	320	4	12
gsa	CAMI_high/COCACOLA/bin.75.fa	1220_AM	0.9863694053907156	0.9970478087241899	3458910	3411763	3421865	0.8947368421052632	0.68	19	17	25
gsa	CAMI_high/COCACOLA/bin.331.fa	1036008	0.9324732421252732	0.9969877895300957	3750765	3497488	3508055	0.5662650602409639	0.9038461538461539	83	47	52
gsa	CAMI_high/COCACOLA/bin.495.fa	1036602	0.9912319987339769	0.9969190440322444	2527600	2505438	2513181	0.7692307692307693	0.8571428571428571	39	30	35
gsa	CAMI_high/COCACOLA/bin.194.fa	1035990	0.9238301238989469	0.9968702887382239	6285687	5806907	5825138	0.7058823529411765	0.9	51	36	40
