sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	141	1285_BX	1.0	0.9997039736835377	3245372	3245372	3246333	1.0	0.8333333333333334	10	10	12
gsa	303	evo_1052956.020	0.449715312318457	0.9995123770186157	5656374	2543758	2544999	0.08333333333333333	0.9761904761904762	492	41	42
gsa	562	1220_F	0.32690394693527963	0.9994433668624932	14450731	4724001	4726632	0.06140350877192982	0.875	114	7	8
gsa	488	evo_1220_W.003	0.4051034506733843	0.9991559556052725	11793785	4777703	4781739	0.04903677758318739	0.875	571	28	32
gsa	532	evo_1220_W.027	0.4199283191382456	0.9984782313517131	11312364	4750382	4757622	0.04283604135893648	0.8529411764705882	677	29	34
gsa	439	1286_CM	1.0	0.998417313086016	3798269	3798269	3804290	1.0	0.8571428571428571	12	12	14
gsa	89	1286_CB	1.0	0.998380825582047	3954864	3954864	3961278	1.0	0.7692307692307693	10	10	13
gsa	467	1285_AY	1.0	0.9983092351471194	4014458	4014458	4021257	1.0	0.7647058823529411	13	13	17
gsa	24	1286_AT	1.0	0.9982360017316081	3544194	3544194	3550457	1.0	0.7142857142857143	5	5	7
gsa	596	1286_BP	1.0	0.9981793352285812	3970426	3970426	3977668	1.0	0.5714285714285714	8	8	14
gsa	287	1285_BG	1.0	0.9981197084097977	3338405	3338405	3344694	1.0	0.7142857142857143	5	5	7
gsa	0	1285_F	1.0	0.9980075448042489	3935519	3935519	3943376	1.0	0.5	7	7	14
gsa	132	1286_BE	1.0	0.9980053478698725	3534906	3534906	3541971	1.0	0.6	6	6	10
gsa	586	1139_O	1.0	0.9979692421322351	2632083	2632083	2637439	1.0	0.9	9	9	10
gsa	116	1286_AV	1.0	0.9977929409011166	3887988	3887988	3896588	1.0	0.625	10	10	16
gsa	146	1220_CE	1.0	0.9975649843016293	4160659	4160659	4170815	1.0	0.5416666666666666	13	13	24
gsa	580	1285_AJ	1.0	0.9973696662019635	4011344	4011344	4021923	1.0	0.5833333333333334	14	14	24
gsa	66	1021_B	0.6185516427731903	0.9973287378272427	5839181	3611835	3621509	0.36363636363636365	0.4444444444444444	11	4	9
gsa	441	1287_AF	1.0	0.9962671067551334	3549620	3549620	3562920	1.0	0.5333333333333333	8	8	15
gsa	145	evo_1052962.015	0.31140099079277195	0.9959170395131536	8641363	2690929	2701961	0.08285714285714285	0.9206349206349206	700	58	63
gsa	599	1220_W	0.3592418328396053	0.9953625961917084	13221517	4749722	4771851	0.051056338028169015	0.8285714285714286	568	29	35
gsa	336	1139_V	0.49508096607262947	0.9953190460599222	8590203	4252846	4272847	0.41935483870967744	0.5416666666666666	31	13	24
gsa	527	1286_AN	1.0	0.995297538587637	3516641	3516641	3533256	1.0	0.5263157894736842	10	10	19
gsa	250	1139_AY	1.0	0.9945438975307346	5824243	5824243	5856195	1.0	0.7037037037037037	19	19	27
