,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0,k__Bacteria (UID2565),2921,143,88, 23, 118, 2,0, 0, 0, 81.73,1.24,50.00,4943,4071,727,order,0.53,0.44,0.17,0.64,3.77,0.48,0.21,True
bin.1,k__Bacteria (UID2329),174, 149,89, 25, 116, 8,0, 0, 0, 76.81,1.02, 0.00,580,410,94,class,0.73,0.52,0.17,0.5,2.06,0.47,0.24,True
bin.10,k__Bacteria (UID203),5449,104,58, 79,22, 3,0, 0, 0, 23.82,2.04, 0.00,1415,1350,302,family,0.92,0.88,0.62,0.15,0.34,0.86,0.75,False
bin.102, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,226,210,61,order,0.82,0.76,0.65,0.25,0.71,0.65,0.49,False
bin.103, p__Euryarchaeota (UID3), 148, 188, 125,134,54, 0,0, 0, 0, 21.81,0.00, 0.00,421,401,75,class,0.91,0.87,0.97,0.04,0.09,0.88,0.76,False
bin.104, root (UID1), 5656, 56,24, 55,1,0,0, 0, 0,4.17,0.00, 0.00,333,328,76,genus,0.89,0.88,1.0,0.04,0.08,0.93,0.82,False
bin.105, k__Bacteria (UID203),5449, 99,53, 96,3,0,0, 0, 0,2.20,0.00, 0.00,1921,789,312,kingdom,1.0,0.41,0.0,0.02,0.04,0.41,0.17,True
bin.106, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,1011,427,105,kingdom,1.0,0.42,0.02,0.03,0.07,0.43,0.18,True
bin.107, p__Proteobacteria (UID3214), 2231,190, 119,128,59, 3,0, 0, 0, 34.55,2.10,33.33,783,767,140,phylum,0.99,0.97,0.61,0.02,0.05,0.91,0.89,False
bin.108, c__Alphaproteobacteria (UID3305),564, 349, 230,265,73, 11, 0, 0, 0, 24.24,3.91,81.82,674,647,155,class,0.89,0.86,0.38,0.22,0.52,0.54,0.46,True
bin.110, c__Gammaproteobacteria (UID4443),356, 451, 270,263, 168, 19, 1, 0, 0, 35.45,3.99,18.18,816,737,142,phylum,0.92,0.83,0.46,0.11,0.26,0.52,0.43,False
bin.111, root (UID1), 5656, 56,24, 56,0,0,0, 0, 0,0.00,0.00, 0.00,458,434,108,genus,0.44,0.41,0.47,0.52,2.11,0.61,0.25,False
bin.112,k__Bacteria (UID2566),525, 208, 136,138,66, 4,0, 0, 0, 32.14,2.02,50.00,521,492,124,phylum,0.94,0.89,0.87,0.03,0.06,0.58,0.51,False
bin.113, p__Euryarchaeota (UID3), 148, 188, 125,119,67, 2,0, 0, 0, 35.56,0.80, 0.00,605,557,154,phylum,0.99,0.91,0.25,0.02,0.04,0.71,0.65,True
bin.115,k__Bacteria (UID2495),2993,147,91, 10, 135, 1,1, 0, 0, 89.01,0.23,25.00,1699,1497,217,family,0.52,0.46,0.09,0.32,1.04,0.49,0.22,True
