,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
bin.0,root (UID1),5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,574,569,131,kingdom,1.0,0.99,0.0,0.0,0.0,0.95,0.94,True
bin.1, o__Bacteroidales (UID2657),160, 491, 269,131, 354,6,0,0, 0, 77.37,1.24, 0.00,4182,4110,824,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True
bin.10,o__Clostridiales (UID1212),172, 263, 149, 1,253,9,0,0, 0, 99.33,2.91,22.22,3427,3185,112,class,0.97,0.9,0.97,0.03,0.06,0.84,0.76,False
bin.103,k__Bacteria (UID203), 5449,103,57, 99,4, 0,0,0, 0,4.39,0.00, 0.00,342,334,92,class,1.0,0.97,0.7,0.16,0.36,0.94,0.91,False
bin.104,root (UID1),5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,342,327,54,class,0.95,0.91,1.0,0.17,0.4,0.91,0.83,False
bin.107, o__Clostridiales (UID1212),172, 263, 149, 6,257,0,0,0, 0, 97.32,0.00, 0.00,2808,2665,145,genus,0.89,0.84,0.44,0.03,0.07,0.94,0.8,True
bin.109,root (UID1),5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,293,273,34,phylum,0.99,0.92,1.0,0.32,0.76,0.88,0.81,False
bin.11, k__Bacteria (UID203), 5449,102,56, 50,51,1,0,0, 0, 77.84,0.89,100.00,1975,1912,209,family,0.96,0.93,0.16,0.04,0.08,0.85,0.79,True
bin.111, o__Bacteroidales (UID2657),160, 491, 268,262, 227,2,0,0, 0, 43.21,0.37, 0.00,1576,1534,65,kingdom,1.0,0.97,0.0,0.0,0.0,0.92,0.9,True
bin.115, o__Clostridiales (UID1212),172, 263, 149,217,46,0,0,0, 0, 16.05,0.00, 0.00,296,286,59,family,0.98,0.95,0.21,0.04,0.07,0.97,0.92,True
bin.12, root (UID1),5656, 56,24, 56,0, 0,0,0, 0,0.00,0.00, 0.00,913,720,115,phylum,0.97,0.77,0.75,0.1,0.23,0.69,0.53,False
