sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	bin.13.fa	1285_BH	1.0	1.0	4566533	4566533	4566533	1.0	1.0	6	6	6
gsa	bin.24.fa	evo_1286_AP.033	1.0	0.9959896720498154	3085577	3085577	3098001	1.0	0.7058823529411765	12	12	17
gsa	bin.35.fa	evo_1286_AP.037	0.9613422251444137	0.9959496796266971	3193950	3070479	3082966	0.8571428571428571	0.7058823529411765	14	12	17
gsa	bin.10.fa	evo_1049056.013	0.44626516800987703	0.995806645982488	7843646	3500346	3515086	0.40816326530612246	0.7692307692307693	49	20	26
gsa	bin.26.fa	evo_1049056.011	1.0	0.9955863992530417	3339599	3339599	3354404	1.0	0.7692307692307693	20	20	26
gsa	bin.7.fa	evo_1286_AP.026	1.0	0.9951070372582715	3195227	3195227	3210938	1.0	0.6470588235294118	11	11	17
gsa	bin.18.fa	1220_AD	1.0	0.9908786244245092	3448976	3448976	3480725	1.0	0.5853658536585366	24	24	41
gsa	bin.6.fa	1030752	1.0	0.9908481133761577	6220269	6220269	6277722	1.0	0.7380952380952381	62	62	84
gsa	bin.22.fa	1139_AG	1.0	0.9902525662585725	7206873	7206873	7277813	1.0	0.3880597014925373	26	26	67
gsa	bin.30.fa	evo_1049056.031	0.9803121453228187	0.9877146761759993	3400980	3334022	3375491	0.5	0.6285714285714286	44	22	35
gsa	bin.33.fa	1036608	1.0	0.9870207226750561	3128528	3128528	3169668	1.0	0.7662337662337663	59	59	77
gsa	bin.23.fa	1036539	0.9994443540632232	0.9869398000358095	4616249	4613684	4674737	0.9743589743589743	0.6785714285714286	39	38	56
gsa	bin.31.fa	1035900	1.0	0.9858543126638164	7176141	7176141	7279109	1.0	0.7340425531914894	69	69	94
gsa	bin.36.fa	1052944	0.3423006215207548	0.9849582047067313	14928705	5110105	5188144	0.39344262295081966	0.7741935483870968	183	72	93
gsa	bin.21.fa	evo_1035930.032	1.0	0.9833774251785862	2256685	2256685	2294831	1.0	0.8793103448275862	51	51	58
gsa	bin.4.fa	1049089	1.0	0.9832505891740488	3071959	3071959	3124289	1.0	0.7037037037037037	19	19	27
gsa	bin.5.fa	1030755	1.0	0.9814814373413981	4529475	4529475	4614937	1.0	0.7471264367816092	65	65	87
gsa	bin.29.fa	evo_1035930.029	1.0	0.9749437219387015	2351691	2351691	2412130	1.0	0.864406779661017	51	51	59
gsa	bin.19.fa	1035930	0.8770295214690585	0.9723628953131286	2436227	2136643	2197372	0.9285714285714286	0.8666666666666667	56	52	60
gsa	bin.16.fa	1286_AP	1.0	0.9720536802211747	2891884	2891884	2975025	1.0	0.6666666666666666	12	12	18
gsa	bin.3.fa	1036641	1.0	0.9717119305428054	2556268	2556268	2630685	1.0	0.8120805369127517	121	121	149
gsa	bin.15.fa	1030836	1.0	0.9635461446724547	4719238	4719238	4897781	1.0	0.5797101449275363	40	40	69
gsa	bin.27.fa	evo_1286_AP.008	0.978650160567473	0.9598287082431277	3318854	3247997	3383934	0.9166666666666666	0.6111111111111112	12	11	18
gsa	bin.28.fa	1030878	1.0	0.949913220869689	3123536	3123536	3288233	1.0	0.5909090909090909	13	13	22
gsa	bin.1.fa	1036755	1.0	0.9473929628314027	6123698	6123698	6463736	1.0	0.6605504587155964	72	72	109
gsa	bin.32.fa	1049005	1.0	0.9471733636688736	3890830	3890830	4107833	1.0	0.6521739130434783	15	15	23
gsa	bin.25.fa	1036554	1.0	0.8981935754422328	2386018	2386018	2656463	1.0	0.56	14	14	25
gsa	bin.17.fa	1036707	0.8713847069353631	0.8922044574139448	4100290	3572930	4004609	0.8249097472924187	0.6013157894736842	554	457	760
gsa	bin.20.fa	1048783	1.0	0.8651196932130315	2096679	2096679	2423571	1.0	0.375	27	27	72
gsa	bin.12.fa	evo_1035930.011	1.0	0.8341101529991225	1885863	1885863	2260928	1.0	0.75	42	42	56
gsa	bin.14.fa	1036728	0.9978804117436059	0.8210726844239997	1655982	1652472	2012577	0.9949748743718593	0.5823529411764706	199	198	340
gsa	bin.11.fa	evo_1049056.015	1.0	0.6617702251225992	2227011	2227011	3365233	1.0	0.46153846153846156	12	12	26
gsa	bin.9.fa	1365_A	0.9994121119454982	0.6476417522614174	4546784	4544111	7016396	0.9989429175475687	0.328238971865231	946	945	2879
gsa	bin.8.fa	1036743	0.9985944583427974	0.6096418331870833	3112679	3108304	5098574	0.9983443708609272	0.3177028451001054	604	603	1898
gsa	bin.2.fa	1048993	1.0	0.36739034889157923	1334947	1334947	3633593	1.0	0.13786173633440515	343	343	2488
gsa	bin.34.fa	1036554		0.07888873287525555	209565	209565	2656463		0.08	2	2	25
