sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	42	1286_BD	0.9895604445909324	0.9993913852112221	3058272	3026345	3028188	0.43333333333333335	0.8125	30	13	16
gsa	56	1285_AC	0.4994845307237015	0.9992397295609439	6925728	3459294	3461926	0.425	0.7727272727272727	40	17	22
gsa	7	evo_1035921.007	0.8389075373158891	0.9986694013044556	3706598	3109493	3113636	0.0744336569579288	0.92	309	23	25
gsa	87	1021_AS	0.9312402731113388	0.9964910166151189	5966065	5555840	5575404	0.15789473684210525	0.65625	133	21	32
gsa	15	1220_AX	0.8916071369498493	0.9962335668813802	4745949	4231522	4247520	0.05555555555555555	0.5384615384615384	126	7	13
gsa	84	evo_1286_G.010	0.7052765559085247	0.9948101938684806	4428779	3123514	3139809	0.0365296803652968	0.7619047619047619	438	16	21
gsa	55	1285_BO	0.8810583528768097	0.9884062572889655	4006452	3529918	3571323	0.07964601769911504	0.47368421052631576	113	9	19
gsa	90	1287_N	0.999629428906761	0.9855330778069911	4422903	4421264	4486165	0.9629629629629629	0.5306122448979592	27	26	49
gsa	67	1053037	0.5976762105424251	0.9850445430215933	4495588	2686906	2727700	0.25357873210633947	0.9323308270676691	489	124	133
gsa	108	1035921	0.9831491538839835	0.9835730530620695	2812203	2764815	2810991	0.47619047619047616	0.9090909090909091	42	20	22
gsa	48	1052968	0.8056662113002241	0.9815942426890499	4708296	3793315	3864443	0.1466346153846154	0.8970588235294118	416	61	68
gsa	37	1052977	0.7648996130781788	0.9794474707911872	4611009	3526959	3600968	0.08433734939759036	0.7777777777777778	166	14	18
gsa	80	1139_B	0.9973868184216277	0.9763714188904179	4530110	4518272	4627616	0.92	0.5348837209302325	25	23	43
gsa	20	1220_AR	0.5610589421702024	0.9568761008151877	7659304	4297321	4490990	0.013133208255159476	0.21212121212121213	533	7	33
gsa	43	1052998	0.6937504446751512	0.9513070508190024	3443525	2388947	2511226	0.68	0.68	25	17	25
gsa	104	1286_G	0.9593437237386641	0.9408786269689432	3252167	3119946	3315992	0.44	0.4782608695652174	25	11	23
gsa	103	evo_1035921.028	0.9949919477111594	0.9320085040987838	2948851	2934083	3148129	0.6521739130434783	0.6521739130434783	23	15	23
gsa	115	1053025	0.9935785660586814	0.924916760380732	3502333	3479843	3762331	0.8974358974358975	0.7446808510638298	39	35	47
gsa	123	1021_AQ	0.9291745543229477	0.9050561240987992	5533435	5141527	5680893	0.11682242990654206	0.43859649122807015	214	25	57
gsa	73	1053022	0.7470160625078218	0.9040724620569007	4458706	3330725	3684135	0.14285714285714285	0.7	196	28	40
gsa	4	1139_Y	0.8606416587513206	0.8939613147513001	7426502	6391557	7149702	0.43157894736842106	0.4659090909090909	95	41	88
gsa	93	1220_BD	0.917626651691266	0.8847143443189384	7017731	6439657	7278798	0.640625	0.47674418604651164	64	41	86
gsa	16	1052974	0.8958543930396807	0.8839527453919678	3595927	3221427	3644343	0.5241379310344828	0.6495726495726496	145	76	117
gsa	53	evo_1286_G.034	0.9530656196589111	0.8315670049530245	2834745	2701698	3248924	0.1836734693877551	0.391304347826087	49	9	23
gsa	3	1285_BV	0.5513425178731522	0.7686158514494295	4098046	2259427	2939605	0.3333333333333333	0.45	27	9	20
gsa	81	evo_1030728.011	0.9907760843837372	0.7638033632301289	1934970	1917122	2509968	0.8888888888888888	0.6060606060606061	45	40	66
gsa	124	1048966	0.9687597239715997	0.7633774044198368	2889123	2798866	3666425	0.2830188679245283	0.5	53	15	30
gsa	60	evo_1035921.008	0.5052750931523069	0.7329010285006031	4381534	2213880	3020708	0.057001239157372985	0.6133333333333333	807	46	75
gsa	98	1287_BD	0.9935493221989373	0.7135503690681811	3084017	3064123	4294193	0.47058823529411764	0.36363636363636365	17	8	22
gsa	22	1286_Y	0.5064139898090675	0.6345233757716451	4814476	2438118	3842440	0.4666666666666667	0.3684210526315789	15	7	19
gsa	95	1030728	0.5839362121898878	0.6180484612685568	2726916	1592345	2576408	0.43037974683544306	0.4146341463414634	79	34	82
gsa	97	1287_BC	0.5114371932153068	0.583614271690255	10505943	5373130	9206646	0.4339622641509434	0.23469387755102042	53	23	98
gsa	0	evo_1030728.009	0.48056335710219533	0.5760889867064909	2965224	1424978	2473538	0.06373626373626373	0.4461538461538462	455	29	65
gsa	79	evo_1139_Y.035	0.8402462385657654	0.5699918745288569	4852205	4077047	7152816	0.14726027397260275	0.27741935483870966	292	43	155
gsa	121	evo_1139_Y.018	0.5579981125702846	0.5480632000955574	7162121	3996450	7291951	0.40298507462686567	0.29347826086956524	67	27	92
gsa	107	evo_1030728.035	0.8140439541695585	0.4507337133626734	1360144	1107217	2456477	0.183206106870229	0.2962962962962963	131	24	81
gsa	5	1021_P	0.4625214127862121	0.4423108448204163	4206015	1945372	4398201	0.006172839506172839	0.1	486	3	30
gsa	101	1286_BU	0.5468578663801328	0.4392091581486176	2358302	1289656	2936314	0.07692307692307693	0.3076923076923077	52	4	13
gsa	1	evo_1035921.030	0.6519835665244232	0.42898816552293134	2051179	1337335	3117417	0.034482758620689655	0.34782608695652173	232	8	23
gsa	94	1286_AO	0.5076933882940243	0.38293286746325605	2947076	1496211	3907241	0.14285714285714285	0.2608695652173913	42	6	23
gsa	23	evo_1139_Y.018	0.8200157067074928	0.34566908088109755	3073846	2520602	7291951	0.35185185185185186	0.20652173913043478	54	19	92
gsa	102	1021_C	0.5191560373643638	0.33112556711913294	5881540	3053437	9221387	0.14772727272727273	0.14285714285714285	88	13	91
gsa	17	1053004		0.3275594623528556	862260	860085	2625737		0.30303030303030304	11	10	33
gsa	96	1052992	0.35923983852796193	0.3193170955619334	6150167	2209385	6919094	0.1487603305785124	0.0967741935483871	121	18	186
gsa	85	1052995	0.3948337255532764	0.2642259269280446	4587987	1811492	6855845	0.062111801242236024	0.1652892561983471	322	20	121
gsa	50	1139_T	0.3502353066062772	0.2384803160090542	3758713	1316434	5520095	0.075	0.06818181818181818	40	3	44
gsa	65	1287_BD		0.2382356824669967	1034626	1023030	4294193		0.18181818181818182	10	4	22
gsa	119	evo_1035921.030	0.4301992955210289	0.22186220194475106	1607713	691637	3117417	0.02631578947368421	0.21739130434782608	190	5	23
gsa	74	1220_BB	0.8886371645391191	0.21252123732072467	1316696	1170065	5505638	0.56	0.21761658031088082	75	42	193
gsa	111	1139_AW	0.36883483922097743	0.20137680244685413	3053570	1126263	5592814	0.1346153846153846	0.15555555555555556	52	7	45
gsa	24	1030728		0.1289644342045204	472861	332265	2576408		0.15853658536585366	27	13	82
gsa	62	1052995	0.3324526329300232	0.10918508221816567	2251617	748556	6855845	0.01126126126126126	0.04132231404958678	444	5	121
gsa	2	1286_G		0.05424349636549183	391421	179871	3315992		0.21739130434782608	73	5	23
gsa	126	1052995		0.03752695692507634	358365	257279	6855845		0.03305785123966942	47	4	121
gsa	128	1052995		0.006534424275928059	52266	44799	6855845		0.05785123966942149	12	7	121
